"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LPP",270.923768200386,-1.40190620355951,0.0920486596906871,-15.2300555844089,2.23401503947892e-52,3.56258378345704e-48
"ANKRD28",41.3959021553892,1.16601074114218,0.102955467299711,11.3253892359871,9.82415107555615e-30,7.8332868600947e-26
"ADAM19",38.5645262452995,-1.22595817206215,0.109344567938923,-11.2118799787744,3.5653896996171e-29,1.89524231799313e-25
"HBB",568.445733192999,1.9994822655624,0.182960026009462,10.9285197929464,8.42108308902559e-28,3.35727530051728e-24
"S100A9",15.7527126196059,2.49628043692714,0.230971277149137,10.8077526683775,3.16324503519691e-27,1.0088853715257e-23
"ANO8",3.99004679461716,2.49572507874791,0.243005904744231,10.2702240152342,9.59815252787886e-25,2.5510289727014e-21
"ANK1",3922.63486643838,1.83433212491757,0.186565248536803,9.83212114423184,8.18758004776512e-23,1.86524770031015e-19
"SLC25A37",31.5446890055707,1.27381960431558,0.131384573844797,9.69535134178181,3.1554974229561e-22,6.29008967548512e-19
"PHKB",68.4715163945643,-0.764704932339484,0.0800680590954611,-9.55068651567743,1.28839652994519e-21,2.28289549589289e-18
"CDIPT",2.39877769764767,2.28111241971218,0.239966810448982,9.50594965797218,1.98230925557462e-21,3.16118856986484e-18
"HFM1",343.853578433956,-1.33042997946175,0.141201211576499,-9.42222778832858,4.41616931552219e-21,5.41728092881788e-18
"HBA1",706.360520955511,1.70246506012059,0.180468042209128,9.43360962572952,3.96213933193588e-21,5.41728092881788e-18
"TEX14",59.6953139201458,-1.31757040062169,0.13977641752431,-9.42627106888424,4.24927293357731e-21,5.41728092881788e-18
"BCL2L2-PABPN1",13.110237680271,1.68912408477442,0.180211641271177,9.3730020594656,7.04982502284178e-21,7.65319668371481e-18
"IGBP1P2",47.7680441391758,-1.72624342636092,0.184215228441695,-9.3707965457768,7.19871764317565e-21,7.65319668371481e-18
"CD52",5.46455224753934,2.05892867026019,0.221906695976827,9.27835305373205,1.72118355032369e-20,1.71548212981325e-17
"SNCA",39.5526825361899,0.905159343618685,0.099296489745426,9.11572348568727,7.81472998063421e-20,7.33067641183375e-17
"PABPN1",11.274526089256,1.9735690836896,0.217491956240687,9.0742164344945,1.14498351141939e-19,1.0143917809225e-16
"IKZF1",25.8082274888663,0.745357327172523,0.0823289610237337,9.05340378287602,1.38579727151901e-19,1.16312153099546e-16
"MEIOSIN",7.8479687797302,-1.50278779568213,0.167138991468959,-8.99124604303494,2.44443149614549e-19,1.9490674534516e-16
"EVL",207.711998576645,1.36353363933476,0.152095078493227,8.9650082885192,3.10257528361877e-19,2.35603657370803e-16
"SSC5D",5.78797719973092,-1.48548293612997,0.165945217668542,-8.95164655541365,3.50218752309344e-19,2.53860838321687e-16
"ARHGEF1",12.641312494899,-1.15463837414921,0.12920625309107,-8.93639701273108,4.02065504891838e-19,2.7877124376131e-16
"UBB",33.4876954650663,1.66329346005129,0.189147810153046,8.79361732343325,1.44820231225175e-18,9.62270094728276e-16
"ENAH",33.5882623011554,-0.736633107190774,0.085493789123926,-8.61621779475701,6.92020668627267e-18,4.24448215484578e-15
"ZDHHC6",4.06359082600292,1.10918278898077,0.128692597129865,8.61885464834848,6.7627134259402e-18,4.24448215484578e-15
"VMP1",4127.38395521395,1.53424604924334,0.179172211273065,8.56296876810372,1.09997738588084e-17,6.49679236023768e-15
"ELN",9.1906403445111,-1.61294409413498,0.188932115928834,-8.53716207117767,1.37558547297925e-17,7.56429708193106e-15
"RPS11",34.7174940448716,1.90406548898387,0.222996220407299,8.53855498315678,1.35910718836359e-17,7.56429708193106e-15
"FAM210B",4.9921427621252,1.60804406768418,0.18908830607169,8.50419627258448,1.82857952839209e-17,9.72011924642287e-15
"CCL22",1.78129466139944,1.79366261802653,0.21248224552455,8.44147055015612,3.13369882839447e-17,1.6120353295615e-14
"ELAVL3",50.7698509496403,2.61677724650669,0.315727018218647,8.28810046498628,1.15071366256056e-16,5.73450961776662e-14
"RPL18",9.40851643981338,1.71672082950009,0.209791193175725,8.1829975963869,2.76868685935586e-16,1.33794694988327e-13
"ANKRD30BL",600.846509675604,-1.07133385870645,0.131867606945032,-8.12431410204499,4.49899289902317e-16,2.11015999296243e-13
"CTD-2545G14.7",5.19386840300002,1.56816168959667,0.198399702169355,7.9040526394444,2.69978928471109e-15,1.23010113495108e-12
"DOCK4",94.6597472672917,0.870529785225515,0.110839798135128,7.85394596410426,4.03148031715825e-15,1.7375680166952e-12
"GABARAP",4.3708690353862,1.69899854983535,0.216292865915308,7.85508362768016,3.99505501525471e-15,1.7375680166952e-12
"YIF1B",8.57444870254531,-1.42134688695484,0.181806956295327,-7.81789055775185,5.37158598922162e-15,2.25422846763466e-12
"SLC8A2",41.1758799922022,-1.64066293318533,0.210748071748096,-7.78494872848178,6.97414841072069e-15,2.85171140271187e-12
"SELENOK",2.56098600489629,1.45265863722132,0.187237550315838,7.75837237119869,8.60262553301837e-15,3.4296517343761e-12
"CADM2",161.842115298312,-0.615493067868562,0.0799863150032321,-7.69497967050602,1.41516672858836e-14,5.50430824897526e-12
"CASP7",11.2308733931695,-0.781406405911744,0.102773347648345,-7.60320086668236,2.8889455032335e-14,1.09690509381106e-11
"HBA2",404.469195888931,1.20964325918174,0.159492744085233,7.58431529985654,3.34247438392604e-14,1.23959160466206e-11
"CCDC186",22.9838295722809,0.88251658662856,0.116479266643497,7.57659806813205,3.54733585579493e-14,1.28566738391731e-11
"RPL28",12.4148660227198,1.33894917861819,0.176832566685709,7.57184722086827,3.67954057171234e-14,1.30394741104659e-11
"SELENBP1",5.87385600331647,1.45494534908394,0.193756881953703,7.50912862765614,5.95222197622409e-14,2.06348008380099e-11
"SLC25A39",4.241296306281,1.50286321091832,0.200359238870284,7.50084308261573,6.34086618261383e-14,2.15144240455623e-11
"EEF1D",8.31365874163177,1.33486006658167,0.180239172097024,7.40604859116368,1.30118173933244e-13,4.32290524940301e-11
"LYL1",5.62854872957753,1.53160636370476,0.207238402449132,7.39055283964899,1.46219577804324e-13,4.75870123927665e-11
"FKBP8",19.7790871812745,1.22686337776657,0.166391075504797,7.37337248433859,1.66364812783829e-13,5.30603933892743e-11
"SLC2A1",9.50296123566641,1.05913606682323,0.144031602854669,7.35349774515751,1.93086265423187e-13,6.03754249941876e-11
"ACSF3",17.1773821168729,-0.859029384621864,0.116992447093192,-7.34260549262286,2.09475294952067e-13,6.41941589431658e-11
"MCRIP1",2.82811008551013,1.22895936182327,0.16742966628847,7.34015296731139,2.13349872953395e-13,6.41941589431658e-11
"C2orf76",13.0253638080561,-0.691884107907343,0.0943374781111124,-7.33413826361172,2.23152629222309e-13,6.59002773742252e-11
"RAD23A",6.80796875148589,1.61858655274798,0.221387852745666,7.31109016449711,2.64983642075421e-13,7.6830802548668e-11
"CCDC85B",1.79000779129506,2.83706357210539,0.388540715946722,7.30184368243771,2.83850938567609e-13,8.08316235238867e-11
"C12orf45",14.1259142040541,0.692209172228794,0.0948314916672347,7.29935973861687,2.89140302969954e-13,8.08933405519624e-11
"HBD",25.2618298675089,1.11689036798393,0.153764977309303,7.26362002276546,3.76865729495646e-13,1.03618582556329e-10
"UBA52",12.8893370028368,1.46179206972469,0.202346517838091,7.22420175717754,5.04053769744529e-13,1.36239753662983e-10
"SMC4",3637.06679706658,1.17807909377253,0.163579248441118,7.2018859665845,5.93853500894426e-13,1.5783636297939e-10
"TPRA1",30.3159639069312,1.07450885093089,0.14928116804725,7.19788614321925,6.11531736425402e-13,1.59870436078293e-10
"BIVM",13.1166080654297,0.799166008303664,0.111921766906482,7.14039842644213,9.30607777590815e-13,2.39361326278076e-10
"RPL8",12.3466521307065,1.57563147182149,0.221092182020394,7.12658157978719,1.02892265407728e-12,2.60448088326515e-10
"HDGF",7.0202068861912,1.05059802112233,0.148996013551887,7.05118208250895,1.77404165001156e-12,4.42041284261473e-10
"TTF2",51.1498535936351,1.0194627149663,0.145674334791733,6.99823147587256,2.59213583871725e-12,6.35950618769601e-10
"ZFYVE28",20.1058212711039,-0.656622131108433,0.0941628551196901,-6.97326063736919,3.09678124780656e-12,7.4824803876926e-10
"ATMIN",4.8270136237394,-1.25820820522845,0.182861563815972,-6.88065976781585,5.95759865628828e-12,1.41799739957954e-09
"PANK2",24.4349388686628,0.826280100435816,0.1202856029592,6.86931835654581,6.45093991704321e-12,1.51284027731012e-09
"SLCO5A1",303.602729033207,-0.815154339678715,0.119348487556291,-6.83003493692573,8.48939554263041e-12,1.9620346480917e-09
"EFCAB11",29.6401545716059,-0.532190560110787,0.0785529065335189,-6.77493149007413,1.24465225726222e-11,2.83549564950866e-09
"CFAP298",4.53180811731013,-1.08156747701608,0.162004477107559,-6.67615794530168,2.45287612804431e-11,5.50929797379192e-09
"SH3BGRL3",13.2714853141212,1.52616110855651,0.228877208000838,6.66803445343898,2.59251932406884e-11,5.74207023068415e-09
"AAMDC",29.2515080950896,-0.683453139855636,0.102837663737863,-6.64594191480061,3.01284064902743e-11,6.58161230548499e-09
"SKA2",16.7305987726465,0.739857215522291,0.111703432931853,6.62340624726953,3.51014588143706e-11,7.55921043645564e-09
"ANGPTL6",2.76605195771312,1.62163088182654,0.244902988976467,6.62152343915398,3.55515634748964e-11,7.55921043645564e-09
"NBPF26",9.66700642920375,-0.755440763729684,0.114985960363951,-6.56985219185522,5.03652320960722e-11,1.04308357952735e-08
"ESR2",32.5961856889344,-0.560660668648741,0.0853226670170039,-6.57106356669568,4.995712488324e-11,1.04308357952735e-08
"FAM189A1",61.4705293357322,-0.499235871738512,0.0760219930894141,-6.56699267475571,5.13415714795078e-11,1.04967184664578e-08
"TRIM58",9.1821680827259,0.933465201927128,0.142502360426576,6.55052449049144,5.73353525939315e-11,1.15737578204484e-08
"RNF220",43.2181249977062,0.732682728455518,0.112047543597441,6.53903427894738,6.1917333921951e-11,1.20414112689433e-08
"REEP1",68.3000136635755,1.1548697029082,0.176582542762538,6.54011254363479,6.14725562410956e-11,1.20414112689433e-08
"DNAJC5",18.486086158845,-1.09030698516549,0.16672715140386,-6.53946868272501,6.17377676554262e-11,1.20414112689433e-08
"HBM",2.78581359425808,1.47928235412099,0.226606800521097,6.52796981696613,6.66671265419096e-11,1.28089236983594e-08
"ARHGEF10",18.4981393101414,-0.57537754649174,0.088895225952973,-6.4725359581866,9.63715764036014e-11,1.80804415165674e-08
"DMTN",8.93978691303725,0.920138661926425,0.142142704215631,6.47334428456187,9.58571952178756e-11,1.80804415165674e-08
"PAX8",10.3135024275599,-0.653764057632531,0.101737293501337,-6.42600206013877,1.31003627366758e-10,2.42920330885778e-08
"CCDC28A",5.85407673614334,-0.950487869163004,0.148014631058239,-6.42158050435582,1.34866656734233e-10,2.47209031602393e-08
"ERRFI1",5.90021450468704,-1.0978717810312,0.17111378263899,-6.41603361283559,1.39870577098972e-10,2.53467737840602e-08
"MCM7",239.537805547433,1.06455802342965,0.166975629081671,6.37552934691419,1.82332069490553e-10,3.26702192378185e-08
"STXBP2",4.43003852086231,1.30991010081093,0.20608331600945,6.35621614682705,2.06784009545e-10,3.66398288912679e-08
"RPS27",9.87552376459093,1.38614659560721,0.218261743234754,6.35084543476925,2.14134783015874e-10,3.72185467625129e-08
"FOXO4",5.31058798649729,1.15564801277693,0.181979572115975,6.35042713497774,2.1471789691799e-10,3.72185467625129e-08
"HAUS6",21.4024173582839,0.979755521058348,0.154904541427182,6.32489862486643,2.53398885634808e-10,4.34510970883686e-08
"FBXL4",14.0707329069258,-0.653565419512374,0.103450648767095,-6.31765414041806,2.65563515344958e-10,4.47211620094928e-08
"BIVM-ERCC5",17.1158145981291,0.582521727781342,0.0922126024903036,6.31715960779434,2.66414397121829e-10,4.47211620094928e-08
"HEXIM1",5.56868983181793,1.26170043310431,0.199799954214244,6.31481842959485,2.70478849554193e-10,4.49304813941741e-08
"DYRK1B",4.42296226334847,-1.45095327915563,0.231475921018014,-6.26826873730299,3.65084320684258e-10,6.00206150716687e-08
"ZYX",5.28544808192201,1.2311890227694,0.197354642989734,6.2384598817543,4.41899918424732e-10,7.19079387665225e-08
"PTCH2",6.42755787334821,-1.49328044648918,0.239988902997326,-6.22228956355461,4.89951700635661e-10,7.89218158589584e-08
"CALN1",78.4720953906455,-0.541857531093414,0.0871409998092446,-6.21816977403936,5.02987177712762e-10,8.02113652298542e-08
"RPS6KA1",12.2099192095706,0.841857901638167,0.13605345573185,6.1876995120021,6.1048556716469e-10,9.63902310849041e-08
"GLRX5",7.07144353645063,0.844007510765985,0.136461591115543,6.18494555036632,6.21239091028831e-10,9.7126468476831e-08
"CALR",2.71646909065284,1.4413018356641,0.233674436445882,6.16799106306135,6.91630522510284e-10,1.07081863519141e-07
"CLCN5",372.516894160987,0.850147261843732,0.138254613850674,6.14914206597081,7.79031784474448e-10,1.19454037182827e-07
"RP11-108O10.8",69.0802186004386,-0.682182576675476,0.111041232944035,-6.14350686307039,8.07191828309713e-10,1.2259321986719e-07
"R3HDM4",5.84411855263491,1.17578543706838,0.191442998914363,6.14169984661774,8.16430227389174e-10,1.22826536190332e-07
"DRAP1",1.13156396916221,1.90069994678104,0.310745315116686,6.11658439988811,9.56022636718542e-10,1.42483112035052e-07
"ALG9",68.5972286629878,-0.680869473195615,0.111594931103479,-6.10125806309486,1.05236839042888e-09,1.55389988168234e-07
"WDR82",147.949223299669,1.03629131903948,0.169913864767841,6.09892147680473,1.06786507550314e-09,1.56231599624299e-07
"CNN2",2.92818165803391,1.3845525218502,0.228292845087308,6.0648090890483,1.32110482386428e-09,1.91524169328761e-07
"RPS5",9.58439712890253,1.17575959929752,0.194412163473776,6.04776768227325,1.46866524642029e-09,2.10998240402382e-07
"RPS15",6.48017341339954,1.52847156944289,0.253489601931062,6.02972097395368,1.64243001648424e-09,2.31786119228975e-07
"TLE5",4.42732460164155,1.04599011767122,0.173469234682039,6.02983070507272,1.64131524003962e-09,2.31786119228975e-07
"KRTCAP3",1.59462357621789,1.74281314742932,0.289937261211855,6.01100093221844,1.84381345637857e-09,2.57903837482212e-07
"RP11-468E2.4",8.21814385320946,-1.15268766888387,0.191858441201295,-6.00801122779106,1.87812838265209e-09,2.57903837482212e-07
"SLC4A1",20.6138723772932,0.83759093490316,0.139386240472101,6.00913642599327,1.8651412922333e-09,2.57903837482212e-07
"ANKRD60",2.66181245002967,-1.23231515238087,0.205153301211146,-6.00680147531507,1.89218968993659e-09,2.57903837482212e-07
"MAP3K3",21.1451412083202,-0.579619168163625,0.096757955241094,-5.99040323577916,2.09321388679235e-09,2.82885439429471e-07
"COPZ2",5.9262501819161,1.21485384719812,0.20404941840449,5.95372364546463,2.62109256823751e-09,3.51248430131795e-07
"NOTCH2NLR",7.19105179052994,-0.706308168640708,0.118670131865569,-5.9518613280115,2.65109960521973e-09,3.52309045036992e-07
"SPOCK1",100.152728396938,-0.438728329615793,0.0738310330916932,-5.94232954956653,2.80999781717281e-09,3.70339133805411e-07
"DDX59",6.63486792913791,-0.675986481553638,0.114159617813667,-5.92141507215794,3.19183127404145e-09,4.17214207599499e-07
"CFAP298-TCP10L",21.8901304964156,-0.549777296963107,0.0930877172283778,-5.9060133101589,3.50485668916269e-09,4.54406094488434e-07
"KBTBD11-OT1",24.5996008592281,-0.472908473793563,0.0801047893452467,-5.90362296260911,3.55604354150598e-09,4.57324406099966e-07
"FUT11",1.71278825534908,1.28616758994102,0.219351295971823,5.86350577161047,4.53195087757078e-09,5.7816816515697e-07
"RNF31",7.68427151070045,-1.2070989183267,0.206187302803351,-5.85438046821903,4.78791416363807e-09,6.05975136250289e-07
"SPRY4",2.9590235094003,-1.05024045428549,0.179509752357406,-5.85060388359539,4.89791434040642e-09,6.15016062885521e-07
"NAA38",17.7218457054866,0.699626283310877,0.119728010965968,5.84346367793367,5.11264501068299e-09,6.36963671760638e-07
"FTL",97.0066391886803,1.05004151906993,0.180208763824429,5.82680607083542,5.64982007031742e-09,6.98431633033735e-07
"CCNI",11.7624615386138,0.738870591906963,0.126911818786451,5.82192107064692,5.81750235757113e-09,7.13628539201437e-07
"KCTD3",10.3484456725537,0.651133854029405,0.112286026165098,5.79888590118968,6.67569319208516e-09,8.12650987283832e-07
"BSG",6.12542227050452,1.03553485073079,0.179805148086359,5.7592057944494,8.45106179843098e-09,1.02097789772408e-06
"ONECUT3",6.38465908362602,0.772650460269165,0.134237605304618,5.75584210188966,8.62109402382343e-09,1.03368861953317e-06
"TAGLN2",17.968944250653,1.24383628701715,0.216362921593612,5.74884216692826,8.98566484893088e-09,1.06936117422314e-06
"RPS4X",12.136966150691,1.0392651086243,0.181096186814508,5.73874650209389,9.53798605264109e-09,1.1266834339368e-06
"DEPDC5",15.401064143674,-0.637528813131447,0.111408743017577,-5.72243071650907,1.05010673134398e-08,1.23132735623106e-06
"GNG11",6.62766336626926,1.33004911071426,0.23367990480396,5.69175647272738,1.25739106399297e-08,1.46362155456174e-06
"DALRD3",252.139765637129,1.06582373617163,0.187660210764589,5.67954033425152,1.35057200387784e-08,1.56069360477101e-06
"UHRF1BP1",11.6663883980939,-0.570168727162493,0.100487537375162,-5.67402428257164,1.39481347540443e-08,1.6002223375737e-06
"RPL9",3.97331293485182,1.24656672778279,0.22248253091882,5.60298699693255,2.10689036247176e-08,2.39989861502408e-06
"PFDN5",3.27246221326692,1.18195854705946,0.211062837649841,5.60003153667608,2.14312812749449e-08,2.423862712706e-06
"KIAA0825",122.896914263159,-0.679093795734042,0.121487981126525,-5.5898022951488,2.27328289902298e-08,2.5529607317408e-06
"PRUNE1",4.26436330147434,-0.84275580152061,0.150886615499079,-5.58535824223425,2.33218957386384e-08,2.60079910030815e-06
"IL36G",5.36750066625073,-1.0944842004993,0.196528051807373,-5.56909912062864,2.56059795540778e-08,2.83568441631166e-06
"FHL2",8.34155677777052,-0.74994056424566,0.135007426013885,-5.55480973445515,2.77914309195203e-08,3.05648240602476e-06
"PHACTR1",186.539105679151,0.542945594274652,0.0978573060735883,5.54833988446769,2.88394823968179e-08,3.15002209439763e-06
