"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"REEP1",68.3000136635755,-2.19785026714799,0.114122207941337,-19.2587429457882,1.19238201023924e-82,1.99294729191386e-78
"FAM169A",75.5378639616767,-2.46731585664748,0.134956907716193,-18.2822494854143,1.14600500775408e-74,9.57716384980083e-71
"RP11-178C3.1",26.7116780143049,-2.73799956678531,0.150267423508892,-18.2208458949407,3.52660955660771e-74,1.96479173763804e-70
"ELAVL3",47.6893908038818,-3.35350303631246,0.231632938632801,-14.4776604575597,1.67708929709751e-47,7.00771762792194e-44
"ADAM19",38.5645262452995,1.02595751941106,0.0786381113326508,13.0465686678448,6.64745453076884e-39,2.22211110054541e-35
"PLA2R1",31.1886171680893,-0.921102070725394,0.072193698534482,-12.7587599669166,2.78600763422196e-37,7.76088859973098e-34
"C2orf72",4.76344963551146,-1.70965621048791,0.138909198920587,-12.3077249294721,8.23108101673217e-35,1.96534697305231e-31
"HHAT",66.0017645153356,-0.818571370901989,0.0674542162138387,-12.1352143253286,6.87298142198751e-34,1.43593764358874e-30
"RNF220",43.2181249977062,-0.981811426234139,0.0814617261989452,-12.0524259925007,1.88324259807797e-33,3.49739075380836e-30
"ANKRD33",4.28247196209843,-2.81925272851762,0.23924545191201,-11.783934473933,4.72355875868559e-32,7.8949561092671e-29
"SLC8A2",41.1758799922022,1.76342823040107,0.154647936959587,11.4028564820874,4.04621266128287e-30,6.14803622006199e-27
"HOXD8",13.1831610072112,-1.84749843513615,0.18783980266183,-9.83550029842301,7.9173104132504e-23,1.10274938539223e-19
"PHKB",68.4715163945643,0.581739124930361,0.060585121993329,9.60201293305006,7.83981376869579e-22,1.00795882561524e-18
"NAA38",17.7218457054866,-0.862318809521638,0.0904632860429817,-9.53225167071562,1.53908139217097e-21,1.83744331348182e-18
"CTDSPL",95.0081574940075,1.17279460233406,0.124580146486956,9.4139767483486,4.777126173936e-21,5.32299245807775e-18
"ACOX2",9.54192606462404,-0.956757113047705,0.104997059167209,-9.11222771986462,8.07074320987678e-20,8.43090012561753e-17
"ANKRD28",41.3959021553892,-0.790621080657702,0.0871020712818696,-9.07694925071513,1.11660644134919e-19,1.09782118004179e-16
"KRTCAP3",1.59462357621789,-2.07725655423278,0.231350758008923,-8.978818881383,2.73688882330682e-19,2.54135332181945e-16
"OAZ2",8.76989637686971,-1.15753101364885,0.129047947755807,-8.96977467506263,2.97121627843539e-19,2.61373204619837e-16
"LGMN",20.17833553609,-0.848224125829864,0.0955672396400251,-8.87567883120708,6.95081524290706e-19,5.80879629849743e-16
"SLAMF8",2.10129354053066,-1.34644949487983,0.153840685171135,-8.75223282697952,2.09172292167664e-18,1.66481223394778e-15
"FLYWCH1",7.77293901597586,-0.924571861508533,0.107139063031054,-8.6296429644951,6.15437818640055e-18,4.67564895488631e-15
"ANO8",3.99004679461716,-1.78477253305606,0.211707576363548,-8.4303668471043,3.44583269785579e-17,2.39973532133173e-14
"DNAJC5",18.486086158845,1.03906261298774,0.123191319019462,8.43454409984508,3.32496369543338e-17,2.39973532133173e-14
"TEX14",59.6953139201458,0.903058631507802,0.108428076573525,8.32864199057742,8.17749501995143e-17,5.46714607053873e-14
"DOCK4",94.6597472672917,-0.7201062363353,0.0877601004609094,-8.20539439395986,2.29835140597839e-16,1.47748636152011e-13
"CCL22",1.78129466139944,-1.51403334794802,0.185016483461882,-8.1832349184171,2.7632372868513e-16,1.71054622268269e-13
"RNF31",8.55989831813763,1.29009355471219,0.158403751671422,8.14433712017274,3.81365332555562e-16,2.27647863154774e-13
"RP11-468E2.4",9.09731570845003,1.20041822202122,0.148254962222649,8.0969851128385,5.63379636014675e-16,3.24700939184458e-13
"ARPP21",62.0987896186127,0.638734762895058,0.0799759476038149,7.98658574274386,1.38727286964947e-15,7.72895958110708e-13
"RPL8",11.6595887158437,-1.35282509577482,0.172051089283771,-7.86292665397514,3.75260764843692e-15,2.02326078180563e-12
"BCL2L2-PABPN1",13.110237680271,-1.1717875584934,0.149365566072611,-7.84509836707453,4.3261424906631e-15,2.25959829965447e-12
"NOP53",39.9180872789947,-1.5587062490087,0.199398371308151,-7.81704604096221,5.40773287729356e-15,2.73893476700256e-12
"IGBP1P2",47.7680441391758,1.11273254716837,0.14319252372083,7.77088438875321,7.79400124153438e-15,3.83143931620605e-12
"PABPN1",11.274526089256,-1.39113567499939,0.180417093819995,-7.71066446945071,1.2516433575623e-14,5.97713345094179e-12
"R3HDM1",73.6269043764538,0.592601510937779,0.0779596362049193,7.60138886974932,2.92969296714701e-14,1.3601913403582e-11
"FEZF2",4.29853560956639,-1.16038551164609,0.152737083805692,-7.59727423578613,3.0243319844031e-14,1.36618066992739e-11
"TMEM271",2.58593908041784,-1.55388994268415,0.205857911595966,-7.54836154042963,4.4076795465411e-14,1.938683051076e-11
"POU3F3",5.98881148603304,-1.08610749384264,0.144184356007787,-7.53276932335141,4.96753246474351e-14,2.12890609271084e-11
"ESR2",32.5961856889344,0.476694324423789,0.063476990010936,7.5097184718693,5.92546532985313e-14,2.47595568807913e-11
"CADM2",161.842115298312,0.462166473015671,0.0622796565189447,7.42082565717244,1.16392445783574e-13,4.74483741177231e-11
"FGFRL1",3.30619674254943,-1.35461725648657,0.18268034608691,-7.41523259345104,1.2141153928374e-13,4.83160111330578e-11
"CCNI",11.7624615386138,-0.732508272331693,0.0990434532352759,-7.3958272697907,1.40530586185763e-13,5.46239120350893e-11
"TWIST2",8.50962625302639,-0.627921941686214,0.0864685088845958,-7.26185694406113,3.81811896188001e-13,1.45036455292869e-10
"CLCN2",4.14522875359942,-0.989763340705958,0.137195583319955,-7.21425075614661,5.42317403677275e-13,2.01428735223599e-10
"CTDSP2",436.299472417011,1.11263320352789,0.155463209063472,7.15689075396376,8.25274114514919e-13,2.99861555434834e-10
"CDK14",102.550702419486,0.40794337590625,0.0585888340792554,6.96281778460396,3.33533112237625e-12,1.18610051871057e-09
"BIVM",13.1166080654297,-0.625060328539286,0.0902218405725309,-6.92803787389805,4.26717518704144e-12,1.48586595992105e-09
"KCTD12",6.84549445153707,-0.926747740270416,0.134239361274502,-6.903695991039,5.0666670369655e-12,1.72825046644574e-09
"CEMIP2",20.8206656483837,0.420304023008907,0.0610710952190723,6.88220870284389,5.89315872798707e-12,1.96996509959152e-09
"RPL18",9.40851643981338,-1.16737433765841,0.172610934055371,-6.76303818206517,1.35127606704191e-11,4.42847611461538e-09
"NR2F2",5.0763104588404,-0.799927443141965,0.118596780126869,-6.74493390365437,1.53096702200518e-11,4.82803449165934e-09
"ONECUT3",6.38465908362602,-0.714135072202246,0.105863468321864,-6.74581216280402,1.52173383892093e-11,4.82803449165934e-09
"CTC-326K19.6",55.1886084812041,-0.782221122856997,0.11605000572154,-6.74037987325843,1.57973065340031e-11,4.88955891498757e-09
"EIF3E",58.7707238363619,0.341896747982452,0.0510338757225528,6.69940785687498,2.09265770634921e-11,6.35939652798558e-09
"FOXO4",5.31058798649729,-0.975754509878133,0.146653562153366,-6.65346613850209,2.86269700863655e-11,8.54412817899131e-09
"RPL10",17.5736155183805,-1.1056574848164,0.166336897350169,-6.64709696062682,2.98930122174441e-11,8.76547028425195e-09
"PPP1R12C",5.08857990257721,-0.790455065818412,0.119055466112984,-6.63938491550036,3.14994829786707e-11,9.07728204319832e-09
"LORICRIN",0.911525136653778,-1.57419675691112,0.237783354607649,-6.62029837836463,3.58474548105963e-11,1.01551586390561e-08
"FANCC",82.4526200373272,-0.565409079203277,0.0857159451012169,-6.59631155598435,4.21512668512574e-11,1.15494471172445e-08
"PFKL",3.0098930754369,-0.928321432453089,0.140702064590799,-6.59778117082295,4.17356667174391e-11,1.15494471172445e-08
"PANK2",24.4349388686628,-0.63144381711248,0.0962071660727115,-6.56337612767065,5.26029359451951e-11,1.41807334094837e-08
"SIGLEC11",51.9905508457025,-0.837708561027987,0.128680816203207,-6.50997239328291,7.51646175598209e-11,1.99412923475372e-08
"ANGPTL6",2.76605195771312,-1.30495213683148,0.200689224704351,-6.50235277331852,7.9073397067838e-11,2.06505118529976e-08
"WIPF2",132.809796311602,-0.843596939430651,0.130636192248472,-6.4576050856268,1.06372885898964e-10,2.7352560229466e-08
"CLK1",6.09165173843016,-0.723028437218535,0.112884250643928,-6.40504262635529,1.50327375420979e-10,3.75531800237028e-08
"CDIPT",2.39877769764767,-1.37388032290567,0.214506889044228,-6.40483076803377,1.50536260714855e-10,3.75531800237028e-08
"CD52",5.46455224753934,-1.21734686391978,0.190192982994413,-6.4005876807534,1.54780034498923e-10,3.80440220090441e-08
"EVX2",2.43550062319021,-1.00136516528151,0.156596318021488,-6.39456392036055,1.61006186617877e-10,3.90008319294377e-08
"KIAA0825",122.896914263159,0.601869073495248,0.0942077786419846,6.38874074064007,1.6725734939743e-10,3.9936276254695e-08
"PAN2",3.15296067704772,-0.742899813578962,0.117005461314781,-6.34927468539548,2.16332457958189e-10,5.09264887649743e-08
"C11orf97",3.7561780031189,-0.726436285553676,0.115350275779812,-6.29765538610713,3.02181387441454e-10,7.01480515235619e-08
"GDI1",3.71582520880954,-1.01355269914614,0.163133172183491,-6.21303862102371,5.19696693961613e-10,1.18989185518827e-07
"CCDC85B",1.63522976926553,-2.02336442983082,0.325957051934139,-6.20745714143853,5.38487877029721e-10,1.21625491576686e-07
"MCRIP1",2.82811008551013,-0.867292532272627,0.140136353029166,-6.18891896017959,6.05782148417685e-10,1.35000571048709e-07
