"pathway","pval","padj","ES","NES","nMoreExtreme","size","Comparison"
"black",0.000103029054193283,0.000303679885673455,-0.70245806753101,-2.60771937562961,0,72,"NOR_vs_CHD_DEG"
"blue",9.99900009999e-05,0.000303679885673455,-0.702101431541633,-3.00227245981158,0,1224,"NOR_vs_CHD_DEG"
"brown",1e-04,0.000303679885673455,-0.519671729284428,-2.14634259925007,0,333,"NOR_vs_CHD_DEG"
"cyan",0.160935350756534,0.182393397524072,0.250794667378371,1.22382385863756,116,39,"NOR_vs_CHD_DEG"
"green",0.653019655769427,0.653019655769427,-0.241868002953144,-0.919134366617348,6411,90,"NOR_vs_CHD_DEG"
"greenyellow",0.00177304964539007,0.00363247863247863,0.607174727609361,3.10211785184537,0,46,"NOR_vs_CHD_DEG"
"grey",9.99900009999e-05,0.000303679885673455,-0.547828615144067,-2.31464530782427,0,682,"NOR_vs_CHD_DEG"
"lightcyan",0.125652705254972,0.152578284952466,-0.411822023010923,-1.30322848138859,1130,27,"NOR_vs_CHD_DEG"
"magenta",0.00185528756957328,0.00363247863247863,0.636958782745019,3.28124494460559,0,48,"NOR_vs_CHD_DEG"
"midnightblue",0.006538084341288,0.009262286150158,-0.487530370775204,-1.60257243763164,59,33,"NOR_vs_CHD_DEG"
"pink",0.0023094688221709,0.00392609699769053,0.439075458157638,2.35939611806169,0,56,"NOR_vs_CHD_DEG"
"purple",0.00192307692307692,0.00363247863247863,0.915312181489075,4.82269951933932,0,51,"NOR_vs_CHD_DEG"
"red",0.00273972602739726,0.00423412204234122,0.866226897929245,4.69545981917085,0,61,"NOR_vs_CHD_DEG"
"salmon",0.000107181136120043,0.000303679885673455,-0.716048247518928,-2.45621582718462,0,42,"NOR_vs_CHD_DEG"
"tan",0.0195035460992908,0.0255046372067649,0.281331794143714,1.43735294178184,10,46,"NOR_vs_CHD_DEG"
"turquoise",0.486251374862514,0.516642085791421,-0.231783736700378,-1.00133178342923,4862,2811,"NOR_vs_CHD_DEG"
"yellow",0.0001000200040008,0.000303679885673455,-0.685625232922604,-2.81502703913177,0,290,"NOR_vs_CHD_DEG"
"black",0.111111111111111,0.136752136752137,0.390611245803823,2.19972704171979,0,72,"NOR_vs_IPAH_DEG"
"blue",9.99900009999e-05,0.000230484449502298,-0.427627060922867,-1.37177377896402,0,1224,"NOR_vs_IPAH_DEG"
"brown",0.529247075292471,0.604853800334252,-0.317912574082736,-0.994695751104554,5292,333,"NOR_vs_IPAH_DEG"
"cyan",0.000100836946657255,0.000230484449502298,-0.746159767763156,-2.07602979536226,0,39,"NOR_vs_IPAH_DEG"
"green",1e-04,0.000230484449502298,-0.770265636755963,-2.28524764563271,0,90,"NOR_vs_IPAH_DEG"
"greenyellow",0.000100573267625465,0.000230484449502298,-0.703344680706872,-1.9853503092257,0,46,"NOR_vs_IPAH_DEG"
