"pathway","pval","padj","log2err","ES","NES","size","Comparison"
"black",1.78211479736366e-32,4.32799307931174e-32,1.48156758833633,-0.790935629132922,-3.64103754616214,72,"CHD_vs_Others_DEG"
"blue",1e-50,4.25e-50,NA,-0.711638264817059,-4.64785348851766,1224,"CHD_vs_Others_DEG"
"brown",1e-50,4.25e-50,NA,-0.602053275897417,-3.53887630526101,333,"CHD_vs_Others_DEG"
"cyan",5.89850799357343e-05,6.68497572604989e-05,0.557332238758646,0.521582051854848,2.25509306440312,39,"CHD_vs_Others_DEG"
"green",1.02859917822967e-10,1.34509123306957e-10,0.839088935621274,0.530436245375611,2.77833854051597,90,"CHD_vs_Others_DEG"
"greenyellow",1.83445816974851e-16,3.11857888857247e-16,1.04762648849882,0.754655870189954,3.40101521316009,46,"CHD_vs_Others_DEG"
"grey",1e-50,4.25e-50,NA,-0.591682521873382,-3.71993962622129,682,"CHD_vs_Others_DEG"
"lightcyan",5.77223819650266e-05,6.68497572604989e-05,0.557332238758646,-0.588063067010329,-2.13578196927039,27,"CHD_vs_Others_DEG"
"magenta",1.23343848137729e-15,1.90622310758308e-15,1.01754479730988,0.728524936024906,3.31043741458289,48,"CHD_vs_Others_DEG"
"midnightblue",0.0613200422896843,0.0613200422896843,0.0701763259905319,-0.375258537895797,-1.43949082780677,33,"CHD_vs_Others_DEG"
"pink",3.09954269072114e-19,5.85469174913993e-19,1.13308993200902,0.750729127137115,3.53680239199811,56,"CHD_vs_Others_DEG"
"purple",2.80892965812716e-39,9.55036083763234e-39,1.63441895776255,0.91291650564069,4.20729878873356,51,"CHD_vs_Others_DEG"
"red",1.85170045149665e-31,3.93486345943038e-31,1.46045153084133,0.832581793690634,4.00293983375113,61,"CHD_vs_Others_DEG"
"salmon",9.05384891169918e-12,1.28262859582405e-11,0.875325132024659,-0.677032705355361,-2.76729671949414,42,"CHD_vs_Others_DEG"
"tan",0.000151268153308336,0.000160722412890107,0.518848077743792,0.476992240355454,2.14966573519116,46,"CHD_vs_Others_DEG"
"turquoise",1e-50,4.25e-50,NA,-0.389169787895109,-2.62743557574905,2811,"CHD_vs_Others_DEG"
"yellow",3.34532714853789e-34,9.47842692085737e-34,1.52292160289117,-0.536510238209317,-3.10055065429797,290,"CHD_vs_Others_DEG"
"black",2.46699027936769e-20,7.03219238978094e-20,1.16906996676109,0.688688678065455,3.45639207445732,72,"IPAH_vs_Others_DEG"
"blue",NA,NA,NA,0.278263501871715,NA,1224,"IPAH_vs_Others_DEG"
"brown",7.17923258427932e-26,3.58961629213966e-25,1.31888879607587,0.427487492250233,2.62995771290708,333,"IPAH_vs_Others_DEG"
"cyan",3.33702055504609e-14,5.00553083256913e-14,0.965327754226083,-0.813603577806971,-2.60210789078521,39,"IPAH_vs_Others_DEG"
"green",2.80512820742172e-31,2.10384615556629e-30,1.45334466856494,-0.809586652912493,-2.89914238248122,90,"IPAH_vs_Others_DEG"
"greenyellow",2.65690595140875e-19,4.98169865889141e-19,1.13308993200902,-0.847084479981924,-2.77823487935399,46,"IPAH_vs_Others_DEG"
"grey",0.742225777422258,0.742225777422258,0.00850217489610469,-0.238801160029792,-0.933951620858698,682,"IPAH_vs_Others_DEG"
"lightcyan",5.45028962090286e-11,6.81286202612858e-11,0.851339057116899,0.778894757166821,3.0491263691115,27,"IPAH_vs_Others_DEG"
"magenta",6.58915045864829e-16,1.09819174310805e-15,1.02766987054358,-0.800983284741053,-2.64393479627324,48,"IPAH_vs_Others_DEG"
"midnightblue",2.81287695591238e-20,7.03219238978094e-20,1.16017957183021,0.863048697239365,3.56663266778393,33,"IPAH_vs_Others_DEG"
"pink",4.08623688783065e-25,1.53233883293649e-24,1.30309315086572,-0.852857684599405,-2.88607343794437,56,"IPAH_vs_Others_DEG"
"purple",3.57186133387898e-20,7.65398857259782e-20,1.16017957183021,-0.833435878097962,-2.77975368326389,51,"IPAH_vs_Others_DEG"
"red",0.00564784053156146,0.00651673907487861,0.202498775969141,-0.476593188324344,-1.63000085157537,61,"IPAH_vs_Others_DEG"
"salmon",0.00727358047864852,0.00779312194140913,0.183397180948084,-0.509250670889759,-1.64689219544219,42,"IPAH_vs_Others_DEG"
"tan",5.82614713068386e-14,7.94474608729617e-14,0.954541630725724,-0.79029287574465,-2.59197197467909,46,"IPAH_vs_Others_DEG"
"turquoise",NA,NA,NA,0.52830492722647,NA,2811,"IPAH_vs_Others_DEG"
"yellow",3.02298602261416e-35,4.53447903392124e-34,1.54318309134871,-0.644055999121414,-2.47344536268121,290,"IPAH_vs_Others_DEG"
"black",0.182448036951501,0.206774441878368,0.162190534576841,0.209452731263063,1.16515416752313,72,"SLE_vs_Others_DEG"
"blue",4.75394858158556e-16,1.15453036981364e-15,1.02766987054358,-0.351840230689711,-1.55005316840327,1224,"SLE_vs_Others_DEG"
"brown",1.69738144177986e-07,3.6069355637822e-07,0.690132458796796,-0.385097415507335,-1.63676658497839,333,"SLE_vs_Others_DEG"
"cyan",3.32613580581138e-36,1.41360771746984e-35,1.56318197862453,0.936306455777388,4.50250858596729,39,"SLE_vs_Others_DEG"
"green",1.99007889521817e-29,6.76626824374178e-29,1.40995143033448,0.70554018124116,4.03195874927072,90,"SLE_vs_Others_DEG"
"greenyellow",3.3179497478288e-42,5.64051457130896e-41,1.69047237898449,0.938490141697603,4.67792587577587,46,"SLE_vs_Others_DEG"
"grey",1.17222086079717e-06,2.21419495928354e-06,0.643551836150722,-0.327523168551792,-1.42485253429007,682,"SLE_vs_Others_DEG"
"lightcyan",0.293674354875542,0.312029002055264,0.0245208540897068,-0.357140547739087,-1.14083970038169,27,"SLE_vs_Others_DEG"
"magenta",3.41568081550149e-05,5.80665738635254e-05,0.557332238758646,-0.551052309434721,-1.96117676436427,48,"SLE_vs_Others_DEG"
"midnightblue",0.0514483838496812,0.0728852104537151,0.0657381960282851,-0.426983385947256,-1.41808323647875,33,"SLE_vs_Others_DEG"
"pink",6.3137853239843e-22,1.78890584179555e-21,1.21254456769062,0.75579513168419,3.98857227049603,56,"SLE_vs_Others_DEG"
"purple",7.5502037572461e-05,0.00011668496715744,0.538434096309916,-0.52353905638486,-1.88056811850262,51,"SLE_vs_Others_DEG"
"red",0.0753381234150465,0.091482007003985,0.052087355964136,-0.361262603965572,-1.33131516962098,61,"SLE_vs_Others_DEG"
"salmon",0.855924792304329,0.855924792304329,0.00759672803224945,-0.211506347563664,-0.734529031370534,42,"SLE_vs_Others_DEG"
"tan",3.60662517587925e-38,3.06563139949737e-37,1.60887959037681,0.920558403754726,4.58854471214545,46,"SLE_vs_Others_DEG"
"turquoise",2.91562416739693e-36,1.41360771746984e-35,1.56979165706381,-0.358831018361074,-1.5992453231588,2811,"SLE_vs_Others_DEG"
"yellow",0.0711711711711712,0.091482007003985,0.0521662308787955,-0.284415746434529,-1.20137315601057,290,"SLE_vs_Others_DEG"
