"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LPP",185.859233219263,-1.38218311272549,0.112063525876911,-12.3339249047336,5.94774826443764e-35,1.03758468473115e-30
"HBA1",624.835796220994,2.12988267425738,0.210301399730534,10.127762710978,4.1606000802635e-24,3.62908342000984e-20
"YIF1B",7.01276264970014,-1.84652806627897,0.185916021860974,-9.93205452545546,3.0196849612378e-23,1.75594680495978e-19
"HFM1",275.605947949215,-1.63080770999637,0.167175539114509,-9.75506176701681,1.75493813898889e-22,7.65372395866529e-19
"HBB",441.323387545986,2.00065634673005,0.213793622516373,9.35788599857245,8.13479531723139e-21,2.36519173848503e-17
"ARHGEF1",9.8609510950409,-1.3664168502153,0.145984502638892,-9.36001305285996,7.97268422249789e-21,2.36519173848503e-17
"ANK1",3705.78973470717,1.97810684257541,0.229052617090412,8.63603685346502,5.81967444005668e-18,1.45034600866841e-14
"ANKRD30BL",442.290409556312,-1.17874394764879,0.141450158465201,-8.33328120971166,7.86320944685362e-17,1.71467111000452e-13
"DYRK1B",4.24620355004735,-2.1012656438191,0.257657646150212,-8.15526212870112,3.48423349606452e-16,6.75360592653839e-13
"HBD",21.844673906023,1.43151421807624,0.178132798150117,8.03621923049716,9.26529091454493e-16,1.61633000004236e-12
"SLC25A37",28.1352968397589,1.28413176645751,0.162137603058222,7.92001202827938,2.37487605596496e-15,3.45247606635907e-12
"HBA2",346.041057521764,1.50655746378794,0.190017257865322,7.92852965416295,2.21755710173573e-15,3.45247606635907e-12
"UBB",31.0983287154474,1.70967236248354,0.218897929465244,7.81036333536903,5.70233604127195e-15,7.65209632615301e-12
"VMP1",3727.22517463781,1.57702351675203,0.206677732215453,7.63035040034234,2.34116498619211e-14,2.91725879886582e-11
"ERRFI1",5.14811676705368,-1.48127788264861,0.197178738265712,-7.51236109773905,5.80703441187062e-14,6.75358102100553e-11
"ANKRD28",46.1244057085965,0.915975594872457,0.122616213591292,7.47026488622143,8.0033549160228e-14,8.72615790687611e-11
"SSC5D",3.65007230276737,-1.37446752278522,0.18473983103014,-7.44001721296896,1.00672181649508e-13,1.03307424051509e-10
"ACSF3",13.0882032749767,-0.972893678474466,0.131288037234833,-7.41037568209102,1.25942132621392e-13,1.22058916865566e-10
"ATMIN",3.7497828210456,-1.47906974231031,0.200905159017934,-7.36202967380383,1.81134691720598e-13,1.66310247213991e-10
"SNCA",34.3765718602946,0.930084523843036,0.127849931390698,7.27481441504089,3.46897017336213e-13,3.02580923371512e-10
"CCDC186",19.3803312713262,1.00214665230658,0.137924442467512,7.26591048241968,3.70533917101288e-13,3.07807818277712e-10
"SLCO5A1",230.061215408879,-0.930734879001258,0.128310670321741,-7.25376055372033,4.05356468276068e-13,3.21429254048909e-10
"ENAH",25.583017899616,-0.772929495069874,0.106994462153506,-7.22401402383749,5.04750490702647e-13,3.69441954891461e-10
"ELN",5.3810860952227,-1.36380626945452,0.188812496773458,-7.22307205698809,5.08260643014908e-13,3.69441954891461e-10
"MEIOSIN",4.88359325092949,-1.39627485213802,0.194066480192925,-7.19482751864186,6.25397726316996e-13,4.36402533424e-10
"EVL",183.043008800436,1.31596608155625,0.183799192732765,7.15980338101701,8.07928554017773e-13,5.22011615734816e-10
"CFAP298",3.38662632816454,-1.18871924322662,0.165963749086363,-7.1625234412368,7.92053188273511e-13,5.22011615734816e-10
"PTCH2",5.43124746348522,-1.92067937288797,0.269068409881813,-7.13825667506496,9.45220086805244e-13,5.8890587193991e-10
"RAD23A",6.20292850832942,1.9273749423408,0.27173351879397,7.09288626186065,1.31343402134583e-12,7.90098500082001e-10
"TTF2",42.0396766256785,1.21782131466875,0.172457235558677,7.06158434422079,1.64614775593082e-12,9.57234920073772e-10
"CLCN5",302.824640525213,1.11333056497704,0.161076245504602,6.91182341312539,4.78463234779622e-12,2.69251326797758e-09
"MCM7",204.77068402919,1.28179866592801,0.185888307499722,6.895531425127,5.36638086246073e-12,2.92551606705086e-09
"CDIPT",2.5747481912611,2.06460565777406,0.303313930472817,6.8068276803366,9.97743188035633e-12,5.2744333076611e-09
"NBPF26",7.76522260857467,-0.924309983208236,0.136606538110011,-6.76622068018351,1.32189870587024e-11,6.78250674232538e-09
"CD52",5.96380171080402,1.71802876938113,0.255671056596588,6.71968423900218,1.82118780494691e-11,9.07732035922824e-09
"ZDHHC6",4.38324008723557,0.988031894683637,0.14929290940185,6.61807649567712,3.63902718399763e-11,1.76341192291219e-08
"SMC4",3493.05726954371,1.2019554890275,0.182158031808784,6.59842158532558,4.15558172982762e-11,1.95797379374733e-08
"IKZF1",24.81525308674,0.709800877365836,0.107634199518128,6.594566416098,4.26500453782737e-11,1.95797379374733e-08
"AAMDC",22.5668133010553,-0.749417318416373,0.113727903180971,-6.58956419185758,4.41119482488914e-11,1.9731613774408e-08
"TPRA1",29.7371762769511,1.03993353570613,0.162040747601473,6.41772857197477,1.38322588437699e-10,6.03259388823913e-08
"FTH1",21.0545988437707,1.47638638991864,0.231869872652944,6.36730582126318,1.92377361457686e-10,8.18542212348619e-08
"ANO8",4.74142850961895,1.95208216570791,0.309717429952831,6.30278433475702,2.92345551485262e-10,1.21427812991914e-07
"PHKB",45.4164058051766,-0.501565631045656,0.0800982538012232,-6.26187971950516,3.80364286477128e-10,1.54312906455663e-07
"CFAP77",15.4703117873112,-0.998756940358896,0.15960065948287,-6.25784970810908,3.9032169063627e-10,1.54753679389767e-07
"FTL",76.359299467996,1.23010311102249,0.197331862161922,6.23367710386844,4.55611721473383e-10,1.76625477357848e-07
"SLC25A39",4.06322356458201,1.56094936042219,0.250957012206941,6.21998702763891,4.97195986880706e-10,1.88556173720303e-07
"FKBP8",19.2313549220156,1.12839556100442,0.181623007483824,6.21284481871006,5.20338310461897e-10,1.93134081404421e-07
"PAX8",7.97721494973607,-0.745683212144926,0.120205193457579,-6.20341925915273,5.5249391757395e-10,2.00797008168282e-07
"CASP7",8.18965146583392,-0.78406345522742,0.126752740166666,-6.18577124404934,6.17995714668559e-10,2.20019086579449e-07
"ZNF266",3.10006151746288,-1.39462047701331,0.226272455814403,-6.16345666994145,7.11738609056918e-10,2.48325600699959e-07
"FAM210B",4.80949140870307,1.56733504750836,0.254798252157969,6.15127864588589,7.68607437163353e-10,2.62908955712053e-07
"SLC25A43",9.01063963722196,-1.17733361116113,0.191598104230733,-6.14480824791106,8.00601718550086e-10,2.68586480386659e-07
"RP11-108O10.8",54.0971379516929,-0.764434974616533,0.125944659992884,-6.06961005460435,1.2822119929875e-09,4.22041287125791e-07
"ALG9",53.7465529366405,-0.76425211494273,0.12660909252412,-6.03631303018092,1.57675248874489e-09,5.09378651225086e-07
"TENT5C",12.4190625802125,0.892486625608224,0.147991556184814,6.03065910391314,1.63292316223654e-09,5.1793353754939e-07
"SLC2A1",8.68058891949688,1.04991242552001,0.174733788641112,6.00863996417112,1.87086065549851e-09,5.82806502413778e-07
"SELENOK",2.70713375805177,1.35595055391137,0.226902821861432,5.97590872950643,2.28811084928929e-09,7.00282346769326e-07
"NDUFC2-KCTD14",5.43489778793497,-0.80263588651827,0.134734218296528,-5.95717922786176,2.56628755153003e-09,7.59486169145537e-07
"TEX14",33.9522332070765,-0.954891476041756,0.16029656162323,-5.95703030914778,2.56862619544779e-09,7.59486169145537e-07
"ARHGEF10",14.5387468920003,-0.656694518865674,0.111557417663533,-5.88660559395813,3.9420793146541e-09,1.14615956073568e-06
"CCDC28A",4.25680865459811,-0.996036787500251,0.169652606842553,-5.87103732761754,4.33076737774545e-09,1.23852847384868e-06
"SUN2",6.67726776470465,-0.812914138293053,0.138852723228389,-5.85450626672945,4.78429172607521e-09,1.34616079292552e-06
"ADAM19",21.1433599150799,-0.755318710598404,0.129128970476651,-5.84933580597997,4.93539800333427e-09,1.36663520901851e-06
"CCDC85B",2.07906022888384,2.71645972608588,0.466162612801031,5.82727926155101,5.63382940862885e-09,1.53565865677391e-06
"IGBP1P2",24.2698744645352,-1.27355226742027,0.219027500552746,-5.81457700154677,6.0787399870499e-09,1.63144029344747e-06
"RP11-20I23.1",7.61939634112244,1.11309564865825,0.191977086212105,5.79806512652476,6.70844013416863e-09,1.77316269909957e-06
"SELENBP1",5.56263487212355,1.43772093534996,0.248359474832751,5.78887089497245,7.08611348356177e-09,1.81000166626166e-06
"ATP6V0C",6.2210806371326,1.32827107650712,0.229497951537262,5.78772519584542,7.13460040850396e-09,1.81000166626166e-06
"RPS11",34.3302327557474,1.52588671281615,0.263668091386059,5.78714968805979,7.15907795769872e-09,1.81000166626166e-06
"NOTCH2NLR",5.47886401129351,-0.772058476991343,0.133575453502761,-5.77994277201077,7.47260397249295e-09,1.86227966143056e-06
"RP11-701H24.9",9.32416990903663,1.01319668294947,0.175600709728865,5.76988945269004,7.93235519366374e-09,1.94901318807696e-06
"KCTD14",3.11339964541454,-1.00616065640794,0.175243715181035,-5.74149352727729,9.38451465532811e-09,2.27378969669721e-06
"TOP2A",12.4501759883522,0.852972068531643,0.149341234133781,5.71156434777783,1.11942354229909e-08,2.67511557471336e-06
"SH3BGRL3",12.3188326344008,1.47172611285591,0.258105011079358,5.70204393437136,1.18379305569905e-08,2.79071214279323e-06
"GCNT1",31.3496376691535,-0.550881919660503,0.0975398836704829,-5.64776067932925,1.62551244744242e-08,3.78094195275106e-06
"TRIM58",7.8466162890206,0.990578040205079,0.177352957618774,5.58534829926186,2.33232301625006e-08,5.35360197611609e-06
"MAP3K3",15.2650843038644,-0.557486334992643,0.0998747037668105,-5.5818572067485,2.37963717510382e-08,5.39126889866053e-06
"MBNL3",15.0822642341661,0.627629256865933,0.112523800885265,5.57774668050803,2.43654124128713e-08,5.44941819926332e-06
"KCTD3",8.70116499837016,0.786697978694738,0.141340571456764,5.56597423221393,2.6069176782643e-08,5.68470986216508e-06
"ELAVL3",76.2208120208942,1.69912255595952,0.30519738486233,5.56729067886991,2.58730592017853e-08,5.68470986216508e-06
"TSNARE1",25.7573191685869,-0.579158205544419,0.104148059379886,-5.56091211869734,2.68368319011114e-08,5.77985842610973e-06
"SLC4A1",17.8596439863568,0.878514730687887,0.15807089370409,5.55772609429587,2.73311832710131e-08,5.8145425873515e-06
"SPOCK1",82.1951345780725,-0.52612509835736,0.0948541864484004,-5.54667240379069,2.91157526693817e-08,6.04671792044481e-06
"RNF215",5.25067779857303,-0.900305693429048,0.162306307336752,-5.54695444805543,2.90688434731102e-08,6.04671792044481e-06
"PID1",100.467120793877,-0.674418467717191,0.121880369326114,-5.53344620996885,3.1399930842672e-08,6.44437404176957e-06
"ADGRF3",3.72182293512251,-0.909997192958143,0.165866804101041,-5.48631293579274,4.10409589809561e-08,8.32511080724162e-06
"TAGLN2",15.4187641546124,1.30610466855404,0.238723475035466,5.47120331739472,4.46990133977539e-08,8.96292285889445e-06
"LYL1",5.78025191777083,1.31431192289232,0.240872665236578,5.45645941851246,4.85722220994384e-08,9.62889107414436e-06
"STXBP2",4.03421924656811,1.44808241999959,0.266117647086975,5.44151218775174,5.28301779125584e-08,1.03553084683661e-05
"C12orf45",13.8083948445448,0.663015030809162,0.121911867877294,5.43847815929206,5.37375956990552e-08,1.04161372996669e-05
"IMPG1",29.017240592118,-0.622233418440666,0.114913094051233,-5.41481737636661,6.13512910777971e-08,1.15083147618513e-05
"ZYX",4.55936092071118,1.25550927698987,0.231827457371418,5.41570567708201,6.10474509206347e-08,1.15083147618513e-05
"FBXO7",11.5239249740893,0.737165641190035,0.136042831294857,5.41862907566453,6.00577723405894e-08,1.15083147618513e-05
"PLEKHB1",1.96146518350391,-1.15942140263161,0.214409620733203,-5.40750642936083,6.39082494926757e-08,1.18604192808482e-05
"KBTBD11-OT1",19.6623520969991,-0.558580249939364,0.103855982359188,-5.37841188587,7.5145744032526e-08,1.37991316278675e-05
"TMEM229B",11.4415449265176,-0.632717747937965,0.117757535164655,-5.37305529580983,7.7413576077625e-08,1.40674982778559e-05
"KIF5A",3.71111425172334,-0.883331400954725,0.164706359571164,-5.36306796686298,8.18202013590162e-08,1.47149836361653e-05
"EIF1",8.08426636071538,1.26696634735784,0.236689620852023,5.35285976122266,8.65749460202627e-08,1.54112238094233e-05
"DOCK4",88.2532656160854,0.710943921014841,0.133002342605259,5.34534886445473,9.02430705492935e-08,1.55870333240834e-05
"SUDS3",4.57429592484637,-0.751143521359362,0.14047695952777,-5.34709409916345,8.93775553215323e-08,1.55870333240834e-05
"CCL22",2.38273047573867,1.19240743825705,0.223040599814621,5.3461452275869,8.98471278618771e-08,1.55870333240834e-05
"RP11-20I23.3",6.91221714019737,1.11571313125515,0.209053462606868,5.33697513230522,9.45099961383958e-08,1.61639890454345e-05
"SLC15A4",3.3615587255503,-0.85934901619826,0.16127475810387,-5.32847809726549,9.9039137857394e-08,1.67741530089538e-05
"ANKRD27",7.1153305448758,-0.864104590356221,0.16235730012075,-5.32224045185255,1.02496965805409e-07,1.71928804661093e-05
"DALRD3",223.482998443042,1.02093544284815,0.19289727281058,5.29263803460137,1.2056440419842e-07,2.00309145832517e-05
"TINCR",2.83311065641426,-1.05671489506184,0.200188698008832,-5.27859417425861,1.30178757117628e-07,2.14242303577077e-05
"ANKRD60",1.87504889192326,-1.22352461406944,0.231933919217013,-5.27531556488133,1.3252783824903e-07,2.16069919463021e-05
"C2orf76",9.08782899301286,-0.569716963174855,0.108270284764538,-5.26198822154992,1.4250589800892e-07,2.30186610256075e-05
"UBAP2L",9.73771890570247,-0.860129812031814,0.163817533705062,-5.2505357184805,1.5165749217215e-07,2.427215551324e-05
"PLCG2",20.056667335099,-0.656949479342239,0.125850509592215,-5.22007802329058,1.788477672351e-07,2.78571366019315e-05
"CTNS",2.2758622639763,-1.04026961203592,0.199161272421248,-5.22325248974932,1.75807407683265e-07,2.78571366019315e-05
"UBA52",11.6202591166269,1.29265526292184,0.247622219377096,5.22027169522009,1.78660830151609e-07,2.78571366019315e-05
"NUSAP1",4.19713804624037,-0.953095949216969,0.182705585865881,-5.21656710548856,1.82269561218056e-07,2.81388716411414e-05
"PACSIN2",17.4738071994766,-0.594197177368186,0.114128798807441,-5.20637370739983,1.92566645980673e-07,2.94677643783583e-05
"GPX1",5.03235402190716,1.46894146094678,0.282694178615787,5.19622111831046,2.03380331004156e-07,3.08519119510218e-05
"USP22",5.77180881983122,-0.715874377737466,0.137811866632425,-5.19457718141837,2.05185636591754e-07,3.08574433650271e-05
"RP11-205M5.4",2.65526574161654,-1.0577080248601,0.204323685423496,-5.1766295359631,2.25930206137762e-07,3.36867730433611e-05
"NPM1",5.29062666071996,-1.20233330346811,0.232764312584765,-5.16545380224583,2.39856267109718e-07,3.54601066078731e-05
"SLC23A2",16.6184940168375,-0.584558455239548,0.113435742735283,-5.15321221639719,2.56061908954853e-07,3.75378151404825e-05
"BBS2",14.4347838347043,-0.503531870381535,0.0977764128216189,-5.14982965574905,2.60723143858335e-07,3.79026270384054e-05
"FAM189A1",48.6344929735917,-0.532063331857314,0.103384490048079,-5.14645215747429,2.6545912639505e-07,3.82098081283374e-05
"SKA2",15.8647467321705,0.62807179435366,0.122069142124114,5.14521347020747,2.67216772236008e-07,3.82098081283374e-05
"GGA2",5.58800561097893,-0.801168330430625,0.155774225068152,-5.14313796188113,2.70187057441589e-07,3.83204326590937e-05
"ANKS1A",20.2559910395172,-0.579099373868569,0.1127736742081,-5.1350581413173,2.82056812781773e-07,3.96812991853066e-05
"NPLOC4",7.70096302250246,-0.690572339766932,0.134581193726646,-5.13126924085384,2.8779489754806e-07,4.01646559018072e-05
"EIF2D",3.71532436567407,-0.858947581653003,0.167500451616717,-5.12803143730318,2.92787559102317e-07,4.05371346709517e-05
"COL5A3",5.02187398402063,-0.833240237428564,0.162653909260679,-5.12278027141149,3.01063112371772e-07,4.13546928765792e-05
"NIPSNAP2",3.69035428135086,-0.882918743304775,0.172425663417513,-5.12057617065315,3.0460354885236e-07,4.15141321072611e-05
"TMOD1",8.62592891162806,-0.683202126452149,0.133516228594894,-5.11699688975696,3.10438738695717e-07,4.19814247794324e-05
"NBPF12",4.3620456966474,-0.953108643190061,0.186442028322744,-5.11209115114413,3.18612014877752e-07,4.23071647250586e-05
"SCN4B",1.55910625107852,-1.2259058633787,0.239847090558667,-5.11119755725718,3.20123000499154e-07,4.23071647250586e-05
"CUEDC1",7.43649909125523,-0.812164953003337,0.158845407557933,-5.11292687330057,3.17205117741426e-07,4.23071647250586e-05
"HAUS6",18.2818687990418,0.891745789690337,0.174635318074362,5.10633129382579,3.28473600333526e-07,4.30843756226945e-05
"RRP12",5.49188463865153,-0.798189106546416,0.156630278388258,-5.09600771166256,3.46891002313811e-07,4.51605487713763e-05
"KDM4A",5.26737599829473,-0.772080392704779,0.151953832608813,-5.08101954027317,3.75414494946414e-07,4.85118952914088e-05
"RAB7A",12.7686395983675,-0.560375145728734,0.110545305848261,-5.06918988037291,3.99512512342894e-07,5.12462924839837e-05
"GP1BB",4.92890695963319,1.58533210883617,0.313447855333307,5.05772198425282,4.24294391654177e-07,5.40278515504169e-05
"EIF2B3",14.7762848048188,-0.481484023446393,0.0952270939931982,-5.05616629948599,4.27768352751268e-07,5.40754993749701e-05
"ZCCHC14",8.75314782001037,-0.663654790323277,0.131403713164969,-5.05050256449072,4.40649195206893e-07,5.53030590675125e-05
"CRMP1",12.3733300642253,-0.708785876075638,0.140479697957648,-5.04546839422537,4.52411678404814e-07,5.60200930136276e-05
"MEGF11",30.7172684346928,-0.6990881498371,0.138599084336567,-5.04395936801047,4.5599617127745e-07,5.60200930136276e-05
"SNX29",52.9399207428454,-0.676164877277003,0.134043797911619,-5.04435779805962,4.55047100469506e-07,5.60200930136276e-05
"PTPN23",2.66558277598173,-1.01055010907832,0.200468887364255,-5.04093239786449,4.6326911015285e-07,5.61741984840197e-05
"DNAJB1",3.7373448669141,-0.909539885338271,0.180481710256092,-5.03951277970324,4.66718465360427e-07,5.61741984840197e-05
"RPL28",11.5172590037235,1.09840010447295,0.217961009340608,5.03943392350728,4.66910792787782e-07,5.61741984840197e-05
"SUGP2",3.19662030235503,-0.924132939667333,0.183488726103435,-5.03645624062149,4.74229460688388e-07,5.66639242582804e-05
