"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"REEP1",70.1646030174531,-2.37938169033321,0.163426700667464,-14.5593203596193,5.09619357162524e-48,9.49217014650917e-44
"HHAT",68.210133900221,-1.07382904456237,0.0758347407765594,-14.1601201977642,1.61717313384518e-45,1.50607333955002e-41
"RP11-178C3.1",28.2885556417581,-2.92847902949941,0.218233208591077,-13.4190348407825,4.67765496562502e-41,2.90420004632439e-37
"FAM169A",78.460785917468,-2.51723925348034,0.198785075075366,-12.663119967764,9.46610743518841e-37,4.40789292719548e-33
"PLA2R1",33.5514193372997,-1.124230392255,0.0967755457960152,-11.6168850612806,3.38244925924104e-31,1.26002999805247e-27
"RNF220",42.0286736545625,-1.05074296986686,0.09251613764151,-11.3574020344253,6.81409702944038e-30,2.11532285450594e-26
"ELAVL3",36.3395099187198,-3.09985299678543,0.308071519984495,-10.0621212793102,8.12289338565075e-24,2.16138588858758e-20
"C2orf72",5.58081831641137,-1.94881678282869,0.200463838528792,-9.72153779520081,2.44067231769065e-22,5.68249532366326e-19
"ANKRD33",5.60642501746799,-3.40490035133585,0.36855729117019,-9.23845609057171,2.50079462096158e-20,5.17553340111449e-17
"FLYWCH1",11.3726733631451,-1.46814806122753,0.162147746711416,-9.05438460295401,1.37340017381972e-19,2.55809516375662e-16
"SLC8A2",68.187215820825,1.84679337484509,0.209428345993755,8.81825889462052,1.1625321048806e-18,1.96848390777327e-15
"TNR",63.939395792848,-0.600679624946639,0.0683234845071608,-8.79170067626869,1.47312810819606e-18,2.28654034527164e-15
"TMEM229B",14.2995863140613,-0.928086652866239,0.108887236400578,-8.5233741212052,1.549711920823e-17,2.22037955671148e-14
"ADAM19",55.3467904877521,0.957166609336562,0.114864608699374,8.33299847685615,7.88201764472364e-17,1.04864614750445e-13
"DMD",220.204596138191,0.454730661009929,0.0553080907029217,8.22177470295332,2.00513602410917e-16,2.48984423900382e-13
"DYRK1B",7.42947022886151,-1.64146327118067,0.203734175241339,-8.05688721215392,7.82617995917883e-16,9.11065174497906e-13
"CFAP47",50.5926319346416,0.507845483786219,0.0653206058904588,7.7746597243428,7.56504820928287e-15,8.28862282035899e-12
"SLAMF8",2.22204331390286,-1.52265417792945,0.196606150315919,-7.74469250063007,9.58134359566259e-15,9.91456143404507e-12
"FANCC",103.714715805574,-1.0277748279855,0.132849256330219,-7.73639880550624,1.0227231516546e-14,1.0025916538273e-11
"CLCN2",6.2395381376722,-1.5801702631438,0.206800834081971,-7.64102461268341,2.1549985853515e-14,2.00695018253786e-11
"TWIST2",9.56023963756202,-0.840820984559086,0.110466096554349,-7.61157505140416,2.70775589027181e-14,2.40165053391442e-11
"HOXD8",15.9043522830409,-2.00582431173499,0.265797924588613,-7.5464257850752,4.47365816659208e-14,3.78756168231564e-11
"CTDSPL",165.513498738808,1.45738559960745,0.19356552316472,7.52915899370804,5.10681697977818e-14,4.13563361153689e-11
"MBNL3",22.0710481566624,0.631836775964831,0.0851863196698293,7.41711554641338,1.1969851551964e-13,9.28960229195341e-11
"IL1RAPL1",139.955861002402,0.432402419671457,0.0584374634501963,7.39940432287886,1.36796743282026e-13,1.01919045614841e-10
"OAZ2",12.8227012645218,-1.47061458103,0.199614405037427,-7.36727682931631,1.74148621474242e-13,1.24757393214585e-10
"CDK14",117.135007027651,0.301688548660768,0.0422488490755039,7.1407518846635,9.28217682239358e-13,6.40332687014455e-10
"FGFRL1",4.47099160682874,-1.82238377210218,0.255678694889817,-7.12763248767178,1.02109972409693e-12,6.79250123608192e-10
"CNKSR2",30.1987930609129,0.507908192126192,0.0727548736890105,6.98108822643604,2.92902290402123e-12,1.88124071069998e-09
"NPM1",7.43296640428562,-1.22525813415689,0.181802929708165,-6.73948509038719,1.58948903952315e-11,9.86860761671938e-09
"CFAP77",20.1373348948186,-0.743662333699191,0.111702010991163,-6.65755546476261,2.7841935211646e-11,1.67285124274877e-08
"ANKRD28",40.0992992305816,-0.657644544278762,0.0990997307274138,-6.63618901334551,3.21897024411377e-11,1.87364186771447e-08
"DIAPH2",94.2148790018306,0.365810890877199,0.0553517021567368,6.60884627976479,3.87326644038351e-11,2.1861654763207e-08
"HTR2C",29.669160327255,0.458777582762483,0.0696813306905504,6.58393831196881,4.58147274039931e-11,2.50983856654934e-08
"HNRNPH1",5.96635024141479,-1.37579455340252,0.209722021074108,-6.56008628162305,5.37766533941516e-11,2.70714580032289e-08
"INTS1",21.891380958687,-1.14007389658774,0.173578403479341,-6.56806304088069,5.09739618977842e-11,2.70714580032289e-08
"PRKCA",106.650100691092,-0.485717098440869,0.0740149864914393,-6.56241555211319,5.2943025113512e-11,2.70714580032289e-08
"C11orf97",4.07511759095389,-0.906596213171586,0.139363623387011,-6.50525719078056,7.75605668409582e-11,3.80169241573602e-08
"HNRNPDL",2.85963056150166,-1.34232953773479,0.212254445805794,-6.32415275279075,2.54625750002929e-10,1.21606646655245e-07
"COL4A5",27.3413426315413,0.457186478573753,0.0723919827532618,6.31542970900535,2.69411820757623e-10,1.25451614335787e-07
"TMEM271",3.86597369763467,-1.91966665382713,0.304727655216615,-6.29961416682888,2.98387455844493e-10,1.32820301218336e-07
"LUZP2",71.5345877889224,0.275117400049127,0.0437014108607062,6.29538943092788,3.06629064339551e-10,1.32820301218336e-07
"PAN2",3.58000700285387,-0.935943181609312,0.148647284484078,-6.29640282268033,3.04632106397947e-10,1.32820301218336e-07
"ACOX2",11.739732424835,-0.979174551252193,0.156317118364945,-6.26402636828403,3.75161994323993e-10,1.58812893324516e-07
