"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TOP2A",63.4133884643691,4.99295081142033,0.417782351633684,11.9510812074661,6.40860138749775e-33,8.96627420124811e-29
"CD96",39.0118185285118,1.38107918229042,0.161258938154497,8.56435741234542,1.0868023188215e-17,7.60272562131577e-14
"IDH1",5.80949047873281,2.44257691199461,0.295388553585993,8.26903034102684,1.3505289959294e-16,6.29841706068273e-13
"CLOCK",18.2731721610714,1.79729971882699,0.223515586950884,8.04104869528376,8.90728496037643e-16,3.11554559701567e-12
"RPS29",50.8086507357015,2.43969677710547,0.346465554985217,7.04167194112431,1.89946628068886e-12,5.31508654662358e-09
"PDS5A",24.1507407658283,1.55081753258498,0.222369431833541,6.97405897833061,3.07924892898413e-12,7.18029529423616e-09
"IFI27",2.07708857819515,1.83318203976802,0.282711854619234,6.48427722366651,8.91581546281922e-11,1.78201677343291e-07
"TFAP2D",12.7577199494439,1.6049382146261,0.250255998627038,6.41318579147419,1.42509665362228e-10,2.49231591010366e-07
"KRIT1",13.1947465412706,1.71493102768779,0.26875533942305,6.38101193215106,1.75921598430859e-10,2.73479898182905e-07
"AL135749.6",58.0667601180323,1.50306869782458,0.247093456338895,6.0829967741561,1.17956721882102e-09,1.65033249585249e-06
"ZNF354B",4.37576402347499,2.10264275729636,0.351282684905533,5.98561457095958,2.15574311533054e-09,2.7419092660536e-06
"ACAP3",3.35715218747694,2.89068693480638,0.486863348476414,5.93736814211311,2.89633815912361e-09,3.1957774027444e-06
"HDAC8",55.9520126765769,1.52606208843123,0.257203783844253,5.93328008485024,2.96941649886907e-09,3.1957774027444e-06
"QRFPR",8.74048277388238,1.49205585424389,0.253867023358174,5.87731259659822,4.1698034857262e-09,4.16712289777109e-06
"SMYD3",87.0999302503226,-0.404476596463209,0.0696492917582256,-5.80733251196973,6.34759968285425e-09,5.92061781085425e-06
"REPS2",28.3416104683621,0.99531300593187,0.171999401229676,5.78672366773414,7.17725007589026e-09,6.27605661323628e-06
"BRD3",8.55011451745327,1.82743413194228,0.318857797812908,5.731188462308,9.97293829791595e-09,8.20772821918483e-06
"NR2F2",9.94459896352352,2.06711582960632,0.361987099064112,5.71046823201898,1.12665767331591e-08,8.75725972631272e-06
"GJB3",1.49565177561255,3.34724337182293,0.592585135321069,5.64854427205528,1.61812183126157e-08,1.19153381795688e-05
"CTB-161K23.3",17.9587872267195,1.22496565481599,0.21836971457289,5.60959498075046,2.02800670969837e-08,1.41869209376949e-05
"COPS2",9.07915618769004,1.06292517519135,0.197011293902623,5.39524995819132,6.84282242559536e-08,4.35172402529567e-05
"DLG3",9.8147385328523,1.34298623229205,0.248632084834188,5.40150010481425,6.60859006176249e-08,4.35172402529567e-05
"RP1-27O5.3",14.6905126451916,0.736411542012661,0.139611835948057,5.27470709780398,1.32968285263247e-07,8.08851860486127e-05
"ZNF280D",13.1891941253493,0.932186655411072,0.177290637800541,5.25795759424038,1.45664096554813e-07,8.49160989540993e-05
"C19orf47",4.81150089467486,1.33955235601898,0.255210328049949,5.24881718641423,1.53078891064985e-07,8.5669070595608e-05
"KDM6B",3.61921795106393,1.91119524983349,0.367877547909269,5.19519405491106,2.04506402864443e-07,0.000110048041633709
"USP2",4.81870315880656,1.82548001705079,0.35275232396321,5.17496241142037,2.27956868985179e-07,0.00011812387236932
"BRD1",10.7876195622962,1.28078557192555,0.249080629246186,5.14205209695233,2.71753732342616e-07,0.000135789516757341
"ILDR2",14.4364421292773,0.863704273068699,0.168723556128567,5.11904972184535,3.07079001699306e-07,0.000148149734923276
"EEF1AKMT4-ECE2",6.21180743906522,1.46379995453988,0.286758715225359,5.10463981326427,3.3142516386936e-07,0.000154565648923207
"CHGA",2.10995205152233,2.06319538614754,0.416548671003715,4.95307158507088,7.30510851847334e-07,0.000329696042845034
"MEX3D",2.5415882128208,2.04203242572232,0.414383112825429,4.92788524078341,8.31244138922777e-07,0.000363435523364643
"CPOX",2.29273929772955,1.35418491642528,0.277799960396187,4.87467642001819,1.08986949429115e-06,0.000462071639231134
"SEPTIN9",88.9138946640245,1.56825641149742,0.322771494964898,4.85872028962152,1.18146905758203e-06,0.000486174517195005
"PANK1",21.1951523672754,1.39285904321683,0.289418002190876,4.81262061334463,1.48963913628683e-06,0.000595472604451115
"CCER1",6.796453408288,0.96733315543907,0.202284410102968,4.78204501744189,1.73520805609032e-06,0.00067436933090999
"ALAS2",5.40860934747798,1.68018369374652,0.353573755727106,4.75200341238932,2.01410972766277e-06,0.000761605654046754
"USP9Y",9.0759951709064,-2.69370108927769,0.569172635036769,-4.73266092475384,2.21595493141165e-06,0.000815879616983694
"NAA38",27.8706912606245,1.68804962844996,0.35878005120385,4.70497069941842,2.53902417261746e-06,0.000910858646130534
"DACH1",48.3609172573995,0.584484887056319,0.125546653466682,4.65551944967957,3.23164896038485e-06,0.00112064361109887
"KLHL28",9.74353554600035,0.830258340912364,0.178465439108708,4.65220798524823,3.28399600136184e-06,0.00112064361109887
"GRIA1",30.3609657403475,-0.638750708822176,0.13949209683262,-4.57911755092927,4.66941733883462e-06,0.00155547185684846
"SNTG2",38.2619884615053,-0.485652957160392,0.106377302748718,-4.56538137940562,4.98587065038499e-06,0.00162226316905898
"ANGPTL6",2.92139971714535,1.98452212123692,0.435218066521002,4.55983396346703,5.11940816634798e-06,0.00162785544671306
"DDX42",15.2734893159595,1.4216804499226,0.313099834431295,4.54066177487734,5.60779308017825e-06,0.00174352517743942
"MBNL3",13.7081120590044,0.72448663107455,0.159916929587899,4.53039357960116,5.88739050699199e-06,0.00179066262137663
"DMGDH",41.5446185035919,0.858277501048294,0.189927109045122,4.51898365306234,6.21371916257947e-06,0.00181116968340936
"FAM71F2",5.01997559859601,1.62037721077653,0.35838243004015,4.52136342341058,6.14425969560059e-06,0.00181116968340936
"RNF220",60.7760749189824,1.13426290497572,0.251393369039802,4.51190462703148,6.42480780069967e-06,0.00183447930488957
"OR9Q1",14.9041878019515,-0.726824987679942,0.161671674075904,-4.49568541820566,6.93461980218544e-06,0.00194044531304753
"MYL9",5.63798247605353,2.1723336069379,0.485133343271716,4.47780726075802,7.54136402715769e-06,0.00206884753145026
"CNKSR2",19.7873757976911,0.744492296090555,0.166472863457529,4.47215408342208,7.74355977544441e-06,0.00208346432342775
"TANC1",26.988536446893,-0.635122526127631,0.142223847723226,-4.46565422251553,7.98244452450295e-06,0.00210721474230794
"ITGB3",11.5002689439845,1.12689807289051,0.253436836695249,4.44646519260961,8.72948038170226e-06,0.00226174370408141
"RUFY1",6.26857633202084,0.933316461541144,0.21219752779765,4.39833805430169,1.09082977108313e-05,0.00277487260494983
"WEE1",3.60823004830844,1.55090551658507,0.355064334758581,4.3679563525849,1.25414548556931e-05,0.00313334812296432
"MROH7-TTC4",10.3275084247292,-1.04451801326941,0.240094020063755,-4.35045409707435,1.35855894008257e-05,0.00333466633871846
"PKD1",6.07506987179019,1.40616252218262,0.323901635374373,4.34132578724819,1.41625547234923e-05,0.00341635005407552
"PCSK5",43.7332987143189,-0.446951299619624,0.103517704692811,-4.31763147131165,1.57712469233299e-05,0.00373992399498828
"MARCKS",2.84711371827418,2.15091854073266,0.498631180931822,4.31364628403925,1.60583799777158e-05,0.00374454657113702
"MBNL1",30.982479092524,0.574349285958775,0.133328109773441,4.30778840962151,1.64895011238965e-05,0.00378204279056452
"UTY",9.85497660278266,-2.22520326537926,0.523168775784123,-4.25331818024525,2.10625965303016e-05,0.00475301271057178
