"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TOP2A",22.3496898534371,3.93983831069107,0.303095959515872,12.9986500545375,1.24521944604396e-38,1.31756669585912e-34
"NR2F2",5.0763104588404,2.15186329230004,0.268143997676985,8.0250287567214,1.01502163521035e-15,5.36997196108033e-12
"SEPTIN9",59.7363504315843,1.43705682087841,0.198847426976571,7.22693193836364,4.94027531238361e-13,1.7424351026777e-09
"PDS5A",21.551996676162,1.1963489475732,0.166519968230494,7.18441734217262,6.74944003889006e-13,1.78539562628739e-09
"NAA38",17.7218457054866,1.63056026272768,0.234519532256673,6.9527695498859,3.58183551693751e-12,7.57988032094315e-09
"BRD3",5.98000529399784,1.52174959962653,0.240323260949818,6.33209450309635,2.41855267432064e-10,4.26511764116444e-07
"AL135749.6",48.5401156173,1.15143650914499,0.188850528275519,6.09707857139337,1.08024431471338e-09,1.48225470820589e-06
"HDAC8",46.1085698461197,1.18531341615206,0.194594479675484,6.09119754131131,1.12069158545006e-09,1.48225470820589e-06
"IDH1",4.88959097728784,1.51579440589905,0.270174137090785,5.61043489292133,2.01818791338207e-08,2.37271625683285e-05
"PANK1",16.5939299644395,1.02227009666231,0.183553200517316,5.56933953633713,2.55706758864661e-08,2.70563321554698e-05
"TFAP2D",11.756952836195,1.05927973488223,0.191096784809693,5.54315833171727,2.9706401751645e-08,2.85748579031051e-05
"DDX42",12.1410227777425,1.04241523367445,0.19169487844831,5.43788776263805,5.3915918833717e-08,4.754036143163e-05
"DOCK4",94.6597472672917,1.28447716498688,0.238314759927064,5.38983471011191,7.0522516770708e-08,5.44578631973214e-05
"LGMN",20.17833553609,1.37757968338847,0.255771840847005,5.38597086695128,7.2054634227625e-08,5.44578631973214e-05
"CD96",40.7181841312432,1.0047260306282,0.19672325712468,5.10730680913556,3.26782921097985e-07,0.00021961341707954
"ULK1",7.22144884315737,1.5264348234859,0.299051008883741,5.10426241056193,3.32087200951956e-07,0.00021961341707954
"ZNF90",6.6755922152658,-1.4709742669355,0.290143908841004,-5.06980922953507,3.98214647299034e-07,0.000247853481357122
"PLA2R1",31.1886171680893,1.06373167663098,0.212182117739867,5.0132955970168,5.35056022347722e-07,0.000314523765136736
"HHAT",66.0017645153356,0.97546551168526,0.197967412569739,4.92740446027515,8.3329146196405e-07,0.000450707856091844
"CXXC4",7.84704500611237,1.06940855804038,0.217223408302222,4.92308157025376,8.51919206297787e-07,0.000450707856091844
"ADAM19",38.5645262452995,-1.22921246721229,0.250537910798398,-4.90629327631541,9.28137135012078e-07,0.000452462760365955
"BRD1",9.47781122350256,0.945918044654575,0.192901131552456,4.90364176219126,9.40759921373312e-07,0.000452462760365955
"UNC13A",14.0663873102168,1.10107544268545,0.225039964744018,4.89279956979158,9.9411633566211e-07,0.000457336736853947
"USP2",3.28976930787609,1.51461604295876,0.310448000945106,4.87880752444135,1.06729153766456e-06,0.000470542156667861
