"","Module","MMlightcyan","MMsalmon","MMbrown","MMyellow","MMblue","MMmidnightblue","MMturquoise","MMblack","MMcyan","MMgreen","MMtan","MMgreenyellow","MMpink","MMmagenta","MMpurple","MMred","MMgrey","p.MMlightcyan","p.MMsalmon","p.MMbrown","p.MMyellow","p.MMblue","p.MMmidnightblue","p.MMturquoise","p.MMblack","p.MMcyan","p.MMgreen","p.MMtan","p.MMgreenyellow","p.MMpink","p.MMmagenta","p.MMpurple","p.MMred","p.MMgrey","GS.IPAH","GS.CHD","GS.SLE","p.GS.IPAH","p.GS.CHD","p.GS.SLE"
"SAMD11","cyan",-0.0126888114659804,0.0381760716713096,-0.0155216509402621,0.148495940852971,0.0341970013530952,-0.174419467272324,-0.140395756861915,0.0843041658790111,0.446989247291856,0.384245825165493,0.179797805472508,0.290137044805723,0.23840034548914,0.0276659890875432,0.0185922593863218,-0.00916924309146682,0.0269945684129301,0.79139101044011,0.425998406099523,0.746268758002875,0.00185432665618336,0.475824843477007,0.000248463447532114,0.00327066678539745,0.0783353343740506,7.48189720923062e-23,7.98462415239893e-17,0.000157672378280134,6.35891767468745e-10,4.60066463086772e-07,0.56407535091509,0.698324633330752,0.848420713041881,0.573574176810118,-0.16088056266473,0.0677420161576938,0.0993072404625964,0.000736775456276371,0.157454606836952,0.0379718243329394
"NOC2L","yellow",0.0440240614373342,0.0850129640332766,0.125667833480133,0.363033237877139,0.162381045921349,-0.179190984168791,-0.166201600513148,0.0567489485691585,0.210007559146977,0.424126992384504,0.17191173571327,0.212310740441797,0.179597724976962,0.0568930332993228,0.164192928768407,0.0847713877541291,0.149407539722794,0.358560105503932,0.0758513016510336,0.00854004224816482,4.64227988252923e-15,0.000655800496816504,0.000166083425756559,0.000485354822410295,0.236465573488598,9.55517548342953e-06,1.65363363666395e-20,0.00030577574797396,7.5811137042658e-06,0.000160400484151239,0.235275725924603,0.000569029340851369,0.0766906272226239,0.00173650748107674,-0.143037398173081,0.0481744220173816,0.123296359240518,0.00272657627784647,0.315010783158295,0.00988224354869207
"AGRN","green",0.0660828934549914,0.0702315948885383,-0.0601071720535479,0.157300063386322,0.103077971871759,-0.179690159015649,-0.202169601759519,0.245029947175865,0.325160534188254,0.497318693603155,0.319359993799806,0.376817182698781,0.274147370230987,-0.0129200003725826,-0.00225887604763116,0.00326819425365098,0.0547240475255832,0.16789973707995,0.142712354555622,0.209824454685567,0.000968810701101558,0.0312113341427919,0.00015913468683097,2.06071712185384e-05,2.13884506762319e-07,3.21227825067765e-12,1.10880670748968e-28,8.09814994692271e-12,3.42735188861095e-16,5.6598519227132e-09,0.787680062937295,0.962445014538164,0.945686436532143,0.253636828117673,-0.122075177909085,0.0244723413206252,0.148446414781681,0.0106439381045844,0.609915340123801,0.00186093253651601
"C1orf159","green",-0.044462969971826,0.0684382973102593,-0.00494712820760815,0.0339350374426043,0.139693667175385,-0.0190257651259725,-0.0108713063462795,0.0166423621928128,0.101786333722255,0.310608662957002,0.126347692666159,0.178200310418878,0.215192236335572,-0.0746870365371274,-0.0395457380550311,-0.084353553662529,0.0766368055238824,0.353783975743927,0.153220265979957,0.917866233185331,0.479213267833324,0.00343098093735514,0.691646442339844,0.820722741906619,0.728644971363213,0.0334009645280769,3.14830613596147e-11,0.00818647195078054,0.000180724648633722,5.65495743611458e-06,0.118995262207591,0.409575724065607,0.0781601391370557,0.109637973568041,-0.206604807683623,0.200966319732627,0.0307387777887556,1.3387726835274e-05,2.3127977541538e-05,0.521593402893547
"SDF4","pink",-0.0238037940417,0.0847776436368955,-0.0269981099464369,0.16955041720682,0.0811134602544263,-0.166395090319294,-0.180678124139833,0.135807534046594,0.22803390456796,0.390406628756768,0.278310924841457,0.329614185302656,0.3571940235215,0.00709372088855962,0.0262162192410446,0.0454664055318593,0.0463944026202974,0.61971622876767,0.076668797188585,0.573523875881,0.000370811343606083,0.0903460862807829,0.000477929821805559,0.000146178072814654,0.00445439498537722,1.45805766388187e-06,2.31828188877607e-17,3.24625943974702e-09,1.55815377099078e-12,1.3489428001737e-14,0.882446836265544,0.584679406809571,0.34301610784559,0.333245608155706,-0.134061319645064,0.0546823603926131,0.163093499285968,0.00499825766242368,0.253999197766991,0.00062031334397145
"SCNN1D","green",0.06104839626404,0.0606700357540384,-0.055023276916905,0.128000117515357,0.0824783300575499,-0.15146587205397,-0.136874491016301,0.145960569951239,0.137841799856393,0.329251594698367,0.344501051270525,0.25632924287016,0.122912706911324,-0.00499908794824425,0.0225692854775864,0.030674858298998,0.0408752079642515,0.20276196210074,0.205579968657889,0.251046273596109,0.00738095183283818,0.0850389365711972,0.00149528693762554,0.00414898454517967,0.00222153073454855,0.00388859921611775,1.6534196944293e-12,1.27239840671479e-13,5.50576757023032e-08,0.0101161556272915,0.917006672351067,0.637991223248912,0.522460104885796,0.393999598717514,-0.0528794139461784,-0.0194657664056693,0.0306681922072174,0.270015954207846,0.684892542959307,0.5225505347071
"ACAP3","cyan",-0.0115873002890644,-0.029684737465629,-0.213880813113722,0.0823797433744087,-0.146500034467262,-0.252658199732714,-0.323181414405232,0.0663455540277132,0.555591670444758,0.225416670414188,0.318481934537693,0.449162176928563,0.224293927929349,0.0705710185570168,0.294793282591149,0.170176664516188,-0.152040608372013,0.809135405011028,0.535978961307207,6.46522030099213e-06,0.085413665928513,0.00213824890067651,8.61828517462873e-08,4.41363708036481e-12,0.166212449160968,9.23450100492864e-37,1.93460429390742e-06,9.29877058389574e-12,4.38335901673666e-23,2.18187462963332e-06,0.140787045193445,3.27693946969537e-10,0.000352409781689748,0.001433655020381,-0.135679041276156,0.0733183808584834,0.351245425601315,0.00449251308429221,0.12592819828778,3.91047434653645e-14
"INTS11","grey",0.0115922713192986,-0.0104901727345549,0.0227263703901286,0.280562050759431,-0.0565809888637412,-0.251169814252842,-0.236788229050786,0.0934746536241792,0.224553235431789,0.273023181498812,0.224867059172902,0.386573260357363,0.311812376570734,0.0824874225411243,0.146522773531237,0.111607840659222,-0.0785034870964024,0.809055098464177,0.826906955446053,0.6356533041283,2.39421159052251e-09,0.237857924405596,1.03147967023892e-07,5.52401611549139e-07,0.0508521203092211,2.12221272143667e-06,6.56595876456474e-09,2.05209476252601e-06,5.01974323647133e-17,2.61884391876036e-11,0.0850044427506922,0.00213480196097167,0.0196101765264219,0.10123212431397,-0.188605865065189,0.0493167351373191,0.0597452428460256,7.27565664270769e-05,0.30365964256138,0.212586905292547
"DVL1","turquoise",-0.0335177527937194,-0.0478605422626604,-0.163679685376417,0.188992002482493,-0.125037945881619,-0.327957597109735,-0.36683817418003,0.197304818264591,0.298649066395866,0.265250612368139,0.217251590912142,0.307073646807876,0.240484632539913,0.0635225076706226,0.221508351812712,0.140083680836073,-0.0963574396690168,0.48463771673998,0.31817784994557,0.000592459706518071,7.02735008461334e-05,0.00887970058782266,2.04212163274052e-12,2.28939131937019e-15,3.27206133847572e-05,1.87534332084632e-10,1.79973392872603e-08,4.5748818034371e-06,5.38062736713177e-11,3.62476590062548e-07,0.185023715084563,2.93274808488168e-06,0.00334106692167247,0.0440908830440167,-0.0888884426151983,0.078068481428242,0.0330300896263403,0.06337852599992,0.103143782891747,0.491018831252636
"AURKAIP1","grey",-0.0423097960830002,0.253580955001481,-0.0659515677793322,0.196258707705531,-0.114717929742925,-0.246975767576366,-0.265221394249086,0.07731220280776,0.145253057171025,0.156908493638069,0.115937337645377,0.148207857578006,0.225661818010871,0.117875040854257,0.3187475233265,0.104667216877038,-0.108893680523524,0.377598967965091,7.70530321839461e-08,0.168748142748374,3.60885497911395e-05,0.0164317044180059,1.70102627921563e-07,1.80645966318405e-08,0.106535276343983,0.00233524531469703,0.000997913914851912,0.0153143858467004,0.00189305459366929,1.88430163690722e-06,0.0136758093261181,8.91837721068071e-12,0.0286866571329293,0.0228085304858037,-0.122592950274114,0.0584792387288231,0.00309151406749113,0.0103148507999075,0.222455484755837,0.948618490547531
