grop,counts
N-CIRI2,1556
N-CIRI2,1604
N-CIRI2,1357
N-CIRI2,1258
N-CIRI2,1658
N-CIRI2,1746
N-CIRI2,1808
N-CIRI2,1480
N-CIRI2,1573
N-CIRI2,1359
N-CIRI2,1650
N-CIRI2,1702
N-CIRI2,1570
N-CIRI2,1576
N-CIRI2,1230
N-CIRI2,1657
N-CIRI2,1558
N-CIRI2,1434
N-CIRI2,1640
N-CIRI2,1606
N-CIRI2,1350
N-CIRI2,1442
N-CIRI2,1721
N-CIRI2,1488
N-CIRI2,1422
N-CIRI2,1778
N-CIRI2,1588
N-CIRI2,1557
N-CIRI2,1599
N-CIRI2,1785
P-CIRI2,1559
P-CIRI2,1543
P-CIRI2,1404
P-CIRI2,1390
P-CIRI2,1520
P-CIRI2,1789
P-CIRI2,1756
P-CIRI2,1592
P-CIRI2,1614
P-CIRI2,1694
P-CIRI2,1877
P-CIRI2,1719
P-CIRI2,1679
P-CIRI2,1864
P-CIRI2,1437
P-CIRI2,1408
P-CIRI2,1452
P-CIRI2,1323
P-CIRI2,1615
P-CIRI2,1427
P-CIRI2,1551
P-CIRI2,1393
P-CIRI2,1739
P-CIRI2,1274
P-CIRI2,1753
P-CIRI2,1662
P-CIRI2,1745
P-CIRI2,1557
P-CIRI2,1584
P-CIRI2,1470
T-CIRI2,1126
T-CIRI2,845
T-CIRI2,1007
T-CIRI2,998
T-CIRI2,1142
T-CIRI2,1076
T-CIRI2,733
T-CIRI2,926
T-CIRI2,1082
T-CIRI2,972
T-CIRI2,1092
T-CIRI2,1003
T-CIRI2,974
T-CIRI2,1088
T-CIRI2,923
T-CIRI2,837
T-CIRI2,1103
T-CIRI2,894
T-CIRI2,1033
T-CIRI2,948
T-CIRI2,723
T-CIRI2,965
T-CIRI2,944
T-CIRI2,728
T-CIRI2,996
T-CIRI2,999
T-CIRI2,881
T-CIRI2,1138
T-CIRI2,1016
T-CIRI2,1010
