grop,counts
N-DCC,105876
N-DCC,97106
N-DCC,71695
N-DCC,82032
N-DCC,91190
N-DCC,93217
N-DCC,147338
N-DCC,80025
N-DCC,84935
N-DCC,67437
N-DCC,93621
N-DCC,101067
N-DCC,73583
N-DCC,88240
N-DCC,102122
N-DCC,81892
N-DCC,71335
N-DCC,67463
N-DCC,113319
N-DCC,91119
N-DCC,68266
N-DCC,73434
N-DCC,97637
N-DCC,69914
N-DCC,66895
N-DCC,131237
N-DCC,92063
N-DCC,74083
N-DCC,84946
N-DCC,132143
P-DCC,81026
P-DCC,84849
P-DCC,75422
P-DCC,78849
P-DCC,70674
P-DCC,99257
P-DCC,108466
P-DCC,90771
P-DCC,79413
P-DCC,92079
P-DCC,190613
P-DCC,98188
P-DCC,89089
P-DCC,142269
P-DCC,76551
P-DCC,68081
P-DCC,55145
P-DCC,65572
P-DCC,105870
P-DCC,80682
P-DCC,92270
P-DCC,69877
P-DCC,93053
P-DCC,74081
P-DCC,99015
P-DCC,104286
P-DCC,124159
P-DCC,64551
P-DCC,79027
P-DCC,69572
T-DCC,97857
T-DCC,77612
T-DCC,70125
T-DCC,90673
T-DCC,97798
T-DCC,77832
T-DCC,59630
T-DCC,83415
T-DCC,63503
T-DCC,70183
T-DCC,126334
T-DCC,63561
T-DCC,70920
T-DCC,82820
T-DCC,68635
T-DCC,63762
T-DCC,93407
T-DCC,79818
T-DCC,93513
T-DCC,80058
T-DCC,53354
T-DCC,91845
T-DCC,79650
T-DCC,79604
T-DCC,68215
T-DCC,91002
T-DCC,56203
T-DCC,95295
T-DCC,127316
T-DCC,82020
