CIRI2-N-averag,DCC-N-averag,,CIRI2-P-averag,DCC-P-averag,,CIRI2-T-averag,DCC-T-averag
3.133333333,2.433333333,,4.033333333,2.366666667,,1.666666667,1.333333333
2.933333333,2.572677596,,6.466666667,5.4,,71.86666667,22.36666667
4.266666667,3.299453552,,4.7,3.9,,3.966666667,2.5
7.033333333,5.131693989,,2.766666667,1.733333333,,7.9,5.866666667
8.333333333,5.87431694,,35.2,28.13333333,,2.266666667,2.033333333
26.16666667,21.39617486,,2.133333333,2.033333333,,6.533333333,4.233333333
2.666666667,2.191256831,,3.5,3,,6.166666667,4.466666667
3.166666667,2.756830601,,1.633333333,1.533333333,,18.66666667,12.43333333
5.566666667,4.091256831,,5.9,4,,2.066666667,1.666666667
2.333333333,2.218579235,,2.733333333,2.7,,29.83333333,23
1.633333333,1.715300546,,9.8,7.133333333,,6.9,3.933333333
5.933333333,5.064480874,,18.5,4.066666667,,7.233333333,6.166666667
2.266666667,1.987978142,,4,2.7,,3.166666667,2.866666667
5.366666667,3.956830601,,2.166666667,1.533333333,,4.3,3.333333333
17.1,14.49344262,,2.033333333,1.9,,5.433333333,4.4
3.8,3.013114754,,3.8,2.633333333,,3.233333333,1.7
23.03333333,19.88579235,,3.133333333,2.466666667,,1.7,1.6
5.566666667,4.550273224,,16.86666667,9.666666667,,3.5,2.333333333
4.866666667,4.342076503,,8.933333333,6.766666667,,8.733333333,6.333333333
3,2.721311475,,8.033333333,4.5,,4.066666667,3.266666667
7.366666667,5.907650273,,1.6,1.5,,4.2,2
13.53333333,11.1726776,,2.366666667,1.866666667,,3.7,2.866666667
6.566666667,5.64863388,,3.9,3.066666667,,3.533333333,2.7
5.366666667,4.596174863,,5.033333333,2.933333333,,4.9,1.933333333
23.36666667,16.56338798,,1.8,1.6,,3.366666667,2.566666667
11.26666667,9.004371585,,2.3,1.833333333,,5,3.233333333
2.3,1.906557377,,3.3,2.633333333,,2.366666667,2.233333333
4.133333333,3.313661202,,27.63333333,22.13333333,,5.333333333,4.066666667
1.933333333,1.769398907,,6.466666667,4.433333333,,3.8,2.933333333
1.766666667,1.701092896,,13.56666667,11.5,,3,1.866666667
22.7,19.3557377,,3.533333333,3.033333333,,3.8,2.9
