CIRI2-P-averag,DCC-P-averag
4.033333333,2.366666667
6.466666667,5.4
4.7,3.9
2.766666667,1.733333333
35.2,28.13333333
2.133333333,2.033333333
3.5,3
1.633333333,1.533333333
5.9,4
2.733333333,2.7
9.8,7.133333333
18.5,4.066666667
4,2.7
2.166666667,1.533333333
2.033333333,1.9
3.8,2.633333333
3.133333333,2.466666667
16.86666667,9.666666667
8.933333333,6.766666667
8.033333333,4.5
1.6,1.5
2.366666667,1.866666667
3.9,3.066666667
5.033333333,2.933333333
1.8,1.6
2.3,1.833333333
3.3,2.633333333
27.63333333,22.13333333
6.466666667,4.433333333
13.56666667,11.5
3.533333333,3.033333333
17.63333333,4.566666667
4.666666667,3.833333333
44.33333333,8.1
10.03333333,5.4
6.033333333,4.3
2.133333333,2.066666667
2.433333333,2.1
3.066666667,2.2
3.166666667,2.366666667
1.966666667,1.8
1.7,1.833333333
2.366666667,2.1
2.166666667,1.466666667
2.966666667,2.466666667
6.4,4.933333333
6.933333333,5.966666667
9.7,6.366666667
1.866666667,1.533333333
2.066666667,1.966666667
2.266666667,1.833333333
1.966666667,1.566666667
17.36666667,13.23333333
2.533333333,1.666666667
4.466666667,2.966666667
3.733333333,2.666666667
4.5,4
3.7,2.833333333
5.433333333,4
3.433333333,3.166666667
6.033333333,4.933333333
3.366666667,2.8
4.533333333,2.333333333
3.8,3.033333333
5.1,2.8
15.9,13.06666667
2.566666667,2.3
4.266666667,2.966666667
3.7,2.533333333
3.666666667,2.133333333
5.4,4.333333333
3.933333333,2.8
10.3,8.466666667
6.866666667,6.333333333
33.4,30.86666667
3.633333333,2.766666667
3.333333333,2.633333333
4,3.2
6.533333333,5.133333333
4.633333333,2.266666667
3,1.8
2.233333333,1.9
5.533333333,4.3
8.833333333,3.566666667
11.96666667,9.833333333
5.333333333,4.2
9.1,7
3.2,2.366666667
5.066666667,3.2
1.933333333,1.533333333
6.033333333,5.2
4.833333333,3.466666667
8.933333333,7.366666667
13.2,10.1
3.3,2
3.866666667,3.5
3.833333333,2.3
2.433333333,1.966666667
3.5,2.533333333
7.766666667,6.366666667
2.3,2.3
17.3,11.33333333
22,15.03333333
4.066666667,3.3
6.233333333,4.433333333
4,2.2
19.4,15.03333333
7.133333333,4.333333333
7.533333333,4.9
4.033333333,3.566666667
2.866666667,2.466666667
1.766666667,1.766666667
2.6,1.633333333
4.833333333,3.8
7.3,4.766666667
4.866666667,2.1
5.366666667,3.533333333
3.8,3.333333333
6.7,4.6
10.13333333,7.3
3.633333333,2.266666667
7.633333333,5.733333333
41.83333333,29.4
2,1.8
6.866666667,5
10,5.533333333
6.266666667,3.866666667
5.066666667,3.766666667
4.2,3.066666667
16.2,11.73333333
6.066666667,2.833333333
2.066666667,1.6
3.466666667,1.766666667
3.233333333,2.433333333
20.43333333,15.1
2.133333333,1.766666667
2.9,1.966666667
1.766666667,1.533333333
2.2,2.066666667
5.433333333,3.433333333
4.8,3.066666667
3.4,3.333333333
3.7,2.466666667
5.9,3.933333333
25.5,13.8
5.2,3.633333333
2.9,2.2
12.5,5.666666667
4.5,3.866666667
2.7,2.533333333
18.53333333,11.86666667
4.333333333,3.133333333
1.733333333,1.566666667
12.86666667,11.1
3,2.4
5,2.9
7.866666667,3.2
2.2,2.333333333
4.866666667,3.433333333
4.333333333,3.6
8.2,6.533333333
3.833333333,2.866666667
5.333333333,3.566666667
11.53333333,8.166666667
8.966666667,7.533333333
1.733333333,1.766666667
8.133333333,5.633333333
5.066666667,3.466666667
2.766666667,2.333333333
27.7,20.6
4,2.266666667
2.566666667,2.133333333
2.8,2.433333333
6.133333333,4.7
37.73333333,27
31.53333333,22.03333333
7.266666667,6.166666667
1.966666667,1.833333333
39.63333333,21.2
3.2,1.533333333
14.3,8.966666667
2.033333333,1.766666667
3.133333333,2.8
6.566666667,4.933333333
9.466666667,4.7
1.733333333,1.8
2.566666667,2.333333333
9,5.833333333
2.566666667,1.966666667
7.6,5.366666667
3.666666667,2.433333333
14.6,9.833333333
7.733333333,6.3
2.566666667,2.1
2.466666667,1.833333333
3.833333333,2.766666667
4.9,4.233333333
2.266666667,2
2.3,2
10,5.866666667
2.1,1.7
3.8,2.933333333
2.633333333,1.6
7.433333333,6.066666667
4.166666667,3.166666667
9.033333333,7.533333333
3.3,1.966666667
3.6,2.733333333
12.2,6.666666667
6.966666667,3.7
3.1,2.866666667
2.266666667,1.7
14.76666667,11.66666667
3.166666667,2
4.8,2.766666667
2.5,2.3
3.266666667,2.233333333
2.733333333,2
2.533333333,2.1
2.933333333,2.366666667
8.366666667,5.166666667
2.5,1.933333333
2.333333333,2.066666667
24.3,11.76666667
12.76666667,11.16666667
5.833333333,4.1
1.833333333,1.666666667
4.333333333,4.1
10.83333333,7.3
3.133333333,2.366666667
2.333333333,2.066666667
2.666666667,2.133333333
4.1,2.533333333
3.566666667,2.966666667
6.566666667,5.2
4.1,3
1.733333333,1.533333333
13.3,10.6
1.7,1.866666667
11.83333333,9.3
5.833333333,3.4
4.466666667,3.533333333
3.3,1.8
2.366666667,1.966666667
2.7,2.133333333
2,1.733333333
3.766666667,2.966666667
6.266666667,3.766666667
4.166666667,3.233333333
6.366666667,5.1
8,5.233333333
5.9,3.5
2.966666667,2.666666667
5.9,4.733333333
3.4,2.7
4.933333333,3.866666667
106.0333333,9.066666667
8.133333333,5.466666667
4.533333333,3.033333333
2.833333333,2.666666667
18.96666667,12.43333333
5.266666667,3.4
6.5,3.9
2.666666667,2.3
6.4,5.266666667
4.966666667,3.433333333
4.066666667,2.7
2.633333333,1.733333333
