ID,NT.log2FoldChange,GEO-log2FoldChange
hsa_circ_0000095,-1.04844119,-1.010433757
hsa_circ_0000110,-1.036610775,0.01477972
hsa_circ_0000111,-1.24429456,0.01477972
hsa_circ_0000448,1.806052181,1.286387925
hsa_circ_0000467,1.402078037,1.584199872
hsa_circ_0000566,1.101488281,0.636692664
hsa_circ_0000690,-1.288498284,0.303415038
hsa_circ_0001098,1.354361913,1.510921227
hsa_circ_0001461,1.470456047,-0.42609056
hsa_circ_0001495,1.244693595,2.713219084
hsa_circ_0001663,1.03279708,1.227072927
hsa_circ_0001686,1.267477082,1.214891417
hsa_circ_0001730,1.562349873,0.912038298
hsa_circ_0001821,2.890997231,1.303538753
hsa_circ_0001900,1.218297306,1.392953007
hsa_circ_0001944,6.107786699,3.720700345
hsa_circ_0003250,1.308677407,0.828190136
hsa_circ_0004865,1.531929606,0.176120459
hsa_circ_0004887,1.290480073,1.032256458
hsa_circ_0005245,1.723008626,0.960942242
hsa_circ_0005720,-1.216889833,0
hsa_circ_0005887,-1.166100806,-0.154562421
hsa_circ_0006859,2.097098158,0.157979002
hsa_circ_0006877,1.928721918,2.613391808
hsa_circ_0008039,2.111815512,1.216788254
hsa_circ_0008500,1.22275591,1.456005107
hsa_circ_0008806,1.457232237,1.335125317
hsa_circ_0019223,-1.610741658,-0.714570576
hsa_circ_0033144,1.424920013,2.806043401
hsa_circ_0038704,-1.124813249,-0.437628468
hsa_circ_0055151,-1.248510621,-0.41916365
hsa_circ_0073244,-2.864718211,-0.175085405
hsa_circ_0073762,1.695857709,1.208193715
hsa_circ_0077837,-2.047612978,-1.918904029
hsa_circ_0084188,1.107592737,1.338699612
hsa_circ_0087960,-1.723754679,-0.968495719
