"","host_gene_id","HA_vs_NC_log2FoldChange","SA_vs_NC_log2FoldChange","MA_vs_NC_log2FoldChange","mRNA_HA_Vs_NC_log2FoldChange","mRNA_SA_Vs_NC_log2FoldChange","mRNA_MA_Vs_NC_log2FoldChange"
"1","ENSRNOG00000000277",-1.83434397302661,-1.31115279549306,-2.48172425424427,-0.374153793,-0.622728802,-1.738462104
"2","ENSRNOG00000000940",2.54154075674418,2.65238187104144,1.97914420384264,0.470299565,0.613289521,0.476752271
"3","ENSRNOG00000001120",1.86346839177394,2.21340169706723,2.02407356888355,-0.183870427,-0.12518472,0.507921496
"4","ENSRNOG00000002790",1.93851765172178,2.20919941930228,1.91437678229407,0.050845891,0.078336893,-0.155472013
"5","ENSRNOG00000005289",1.10871357989045,1.56923113551869,1.03482178547761,-0.058507627,0.014651258,-0.227320277
"6","ENSRNOG00000005711",-1.58151585075987,-2.29038196052686,-5.47080556025864,-0.554069719,-0.535765785,-1.172225842
"7","ENSRNOG00000007175",-2.0347821474099,-1.80312460240221,-1.90021793765966,-0.064559613,0.252284503,-0.209341147
"8","ENSRNOG00000008034",4.05807578917845,4.04515361057777,3.20002361409072,1.790219651,1.664564871,1.87909528
"9","ENSRNOG00000008479",-1.76020785085506,-3.82300631073629,-5.51414654552711,-0.732761168,-0.368320184,-0.157357557
"10","ENSRNOG00000008519",-3.20359517619092,-4.57121097667443,-3.41987621496738,-0.946106497,-0.64574524,-0.641654608
"11","ENSRNOG00000010960",5.79953633378001,5.54238821561665,7.19621259927669,0.612576316,1.2190845,2.837848465
"12","ENSRNOG00000011307",-2.14642442873293,-2.90199175393628,-1.76013984965304,-0.619824344,-0.366246405,-0.918520747
"13","ENSRNOG00000011501",2.25042257719937,2.0838199181897,2.76767350922393,0.301809485,0.869437161,0.984967488
"14","ENSRNOG00000011619",-1.16621170868127,-1.12525284250216,-1.76664588347719,-0.227784388,-0.193559685,-0.462160526
"15","ENSRNOG00000013152",-4.35992736368369,-3.8673875675042,-4.11315187627583,-0.538382289,-0.437430788,-0.343862296
"16","ENSRNOG00000013152",-2.92326853704988,-2.71875467342861,-4.43521855651726,-0.538382289,-0.437430788,-0.343862296
"17","ENSRNOG00000013152",-1.73427160225123,-2.6547029367299,-4.04052069160491,-0.538382289,-0.437430788,-0.343862296
"18","ENSRNOG00000013925",5.68734856771014,5.83044533219124,4.89940673840893,1.659644884,2.491500417,2.551479581
"19","ENSRNOG00000016419",-4.66441415575717,-4.16957845619607,-4.40110053703905,-0.693543494,0.2081899,-0.517984964
"20","ENSRNOG00000016576",-1.70507508546657,-2.70053686666671,-2.83667793356808,-0.092701189,-0.250692765,-0.037773062
"21","ENSRNOG00000017660",2.16633042456193,1.57296877666859,1.94366313036924,0.580114663,0.75791285,0.93750208
"22","ENSRNOG00000017824",-2.45908593803975,-2.22371656273748,-4.11439469388977,-0.398069681,-0.316520069,-0.739460248
"23","ENSRNOG00000018651",-2.78274211154826,-1.63777892820796,-1.10819740001215,-0.695879805,-0.469805325,-0.547815189
"24","ENSRNOG00000018651",-2.4270916340254,-1.25036617116418,-1.10979596756286,-0.695879805,-0.469805325,-0.547815189
"25","ENSRNOG00000018674",-1.71228512420955,-1.53885712188349,-1.55694804414221,-1.155151833,-0.653387318,-1.305521283
"26","ENSRNOG00000019740",-1.82285304397431,-2.12498093455544,-1.49241437619765,-0.276996822,-0.035661491,-0.24227358
"27","ENSRNOG00000020457",-1.58180772778088,-2.46460713117369,-3.3535067477752,-1.205201884,-1.327835227,-1.64103598
"28","ENSRNOG00000021047",-1.06253607073316,-1.45646823473882,-1.24783996795182,-0.221906697,-0.065863492,-0.36151972
"29","ENSRNOG00000024194",-4.84467556998534,-4.34913656284441,-4.58538657361713,-0.137503495,-0.232860704,-0.349305528
"30","ENSRNOG00000026573",-4.59771118020176,-4.10912715135728,-4.34874581408131,-0.067117675,-0.263705866,-0.310258325
"31","ENSRNOG00000031669",-5.66724923237826,-2.75265781201118,-2.20026965382436,-0.773216427,-0.53437294,-0.778075295
"32","ENSRNOG00000032410",-5.76324307651711,-3.85718785258794,-5.50775481637342,-1.503894515,-1.214202238,-1.786153272
"33","ENSRNOG00000032410",-4.96742809178682,-4.47687902458528,-4.71955192058426,-1.503894515,-1.214202238,-1.786153272
"34","ENSRNOG00000033090",2.14677218513388,1.99039622295888,3.39939935076629,0.034562915,0.601950415,0.722856003
"35","ENSRNOG00000042118",-4.44143590985659,-3.94212508967888,-4.17749247783794,-0.154913956,0.066463748,-0.083811293
