"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Annotation"
"DCN",0,5.20769600591019,0.996,0.32,0,"Fibroblasts"
"PLA2G2A",0,4.97380699254668,0.929,0.189,0,"Fibroblasts"
"CFD",0,4.77829808514421,0.986,0.417,0,"Fibroblasts"
"FBLN1",0,4.77710153629858,0.98,0.159,0,"Fibroblasts"
"SFRP2",0,4.38539264303713,0.963,0.094,0,"Fibroblasts"
"IGFBP6",0,4.34995009899973,0.991,0.336,0,"Fibroblasts"
"APOD",0,4.32742449011804,0.911,0.149,0,"Fibroblasts"
"SERPINF1",0,4.22931538243005,0.986,0.197,0,"Fibroblasts"
"MFAP5",0,4.00097056830487,0.864,0.086,0,"Fibroblasts"
"C1R",0,3.79523536758571,0.99,0.209,0,"Fibroblasts"
"RARRES1",0,3.74459899399904,0.832,0.088,0,"Fibroblasts"
"C1S",0,3.69822888790177,0.981,0.148,0,"Fibroblasts"
"CCDC80",0,3.65812251017681,0.934,0.114,0,"Fibroblasts"
"LUM",0,3.61574786040763,0.982,0.245,0,"Fibroblasts"
"ADH1B",0,3.45379563654476,0.948,0.139,0,"Fibroblasts"
"C3",0,3.23292128375489,0.925,0.12,0,"Fibroblasts"
"GSN",0,3.02105711569309,0.974,0.415,0,"Fibroblasts"
"SERPING1",0,3.0161106919438,0.979,0.303,0,"Fibroblasts"
"IGFBP5",0,2.94197047550598,0.8,0.143,0,"Fibroblasts"
"MMP2",0,2.88382770431883,0.858,0.081,0,"Fibroblasts"
"UAP1",0,2.87937426518349,0.819,0.125,0,"Fibroblasts"
"CYR61",0,2.87847221098105,0.851,0.174,0,"Fibroblasts"
"GPX3",0,2.8316038320965,0.958,0.323,0,"Fibroblasts"
"PCOLCE",0,2.7728445954706,0.882,0.089,0,"Fibroblasts"
"PLAC9",0,2.69396621316359,0.937,0.196,0,"Fibroblasts"
"C7",0,2.68453337832373,0.53,0.055,0,"Fibroblasts"
"PI16",0,2.66920865512186,0.678,0.038,0,"Fibroblasts"
"NNMT",0,2.66497687240639,0.962,0.252,0,"Fibroblasts"
"MFAP4",0,2.64748811483198,0.912,0.154,0,"Fibroblasts"
"PRELP",0,2.60176979861332,0.883,0.118,0,"Fibroblasts"
"HAS1",0,2.56578116876082,0.531,0.03,0,"Fibroblasts"
"CLU",0,2.54699294595111,0.988,0.379,0,"Fibroblasts"
"PDGFRL",0,2.48931869045688,0.771,0.04,0,"Fibroblasts"
"FBLN2",0,2.48261153954812,0.801,0.06,0,"Fibroblasts"
"MGST1",0,2.47790370079114,0.854,0.099,0,"Fibroblasts"
"IGFBP4",0,2.45681580762191,0.814,0.138,0,"Fibroblasts"
"SFRP4",0,2.44455067396625,0.532,0.062,0,"Fibroblasts"
"NUPR1",0,2.44105597646173,0.967,0.336,0,"Fibroblasts"
"TIMP3",0,2.4346383759163,0.913,0.197,0,"Fibroblasts"
"FGF7",0,2.41774817091019,0.681,0.038,0,"Fibroblasts"
"IGF1",0,2.40628429723669,0.636,0.058,0,"Fibroblasts"
"COL1A2",0,2.37014581076096,0.846,0.143,0,"Fibroblasts"
"FSTL1",0,2.34111245888607,0.81,0.126,0,"Fibroblasts"
"FBN1",0,2.33984526658867,0.676,0.055,0,"Fibroblasts"
"MEG3",0,2.32905962372326,0.704,0.037,0,"Fibroblasts"
"SLPI",0,2.31327051888341,0.876,0.159,0,"Fibroblasts"
