Iteration,GLMNETRIDGE,GLMNETLASSO,SVMLIN,SVMRAD,RF,EXTRATREES,NNET,LDA,C5,KNN,NB,RPART,GLM,GBM
1,0.906102265934902,0.9058305711025376,0.9057762321360648,0.9192522958213335,0.9926642395261642,0.9487040156496223,0.9159919578329621,0.9058305711025376,0.9343585285007879,0.9194424822039885,0.7315655056240831,1.0,0.9076780959626148,1.0
2,0.8497527577025485,0.848774656306037,0.8536108243221213,0.8873553225017661,0.9860348856164757,0.9508775743085366,0.5872412106721732,0.85301309569092,0.9626147910666739,0.9266423952616422,0.8479595718089442,1.0,0.85339346845623,1.0
3,0.9018638265500191,0.9018094875835462,0.9042004021083518,0.9390045101342173,0.9918491550290713,0.9768516002825626,0.9518556757050483,0.8982231157963375,0.93297288485573,0.9297668858338314,0.8345921860566212,1.0,0.9022441993153291,1.0
4,0.9295223604847036,0.928978970819975,0.9289246318535022,0.9395207303157094,0.9947834592186057,0.9626691300331468,0.942726729337608,0.9232733793403249,0.9648155192088247,0.9395207303157094,0.8183448350812367,1.0,0.9295766994511764,1.0
5,0.9494104222137695,0.9493560832472967,0.9478889311525295,0.9554420474922568,0.9952181709503886,0.9520730315709395,0.9688094332445797,0.9447916100635766,0.9392490354833452,0.913329348475792,0.7469434331359018,1.0,0.9502798456773353,1.0
6,0.8644786176166929,0.8670868880073901,0.8732815301852959,0.9089822311579634,0.9856001738846927,0.9523990653697766,0.8965929468021518,0.8655110579796773,0.9305819703309244,0.8865402380046732,0.7965005705591481,1.0,0.8729011574199859,1.0
7,0.9224582948432319,0.9220235831114492,0.922838667608542,0.9413954246590229,0.9916861381296527,0.9746780416236484,0.9533228277998153,0.9106124001521491,0.9578329620170625,0.9206922784328642,0.8435581155246428,1.0,0.9241971417703635,1.0
8,0.9501711677443896,0.9496277780796609,0.9497907949790797,0.9501711677443895,0.9962506113133729,0.9627778079660925,0.9632125196978754,0.9432701190023366,0.9587838939303375,0.9062109438678476,0.7140683584198229,1.0,0.9520186926044666,1.0
9,0.8894202032277347,0.8881704069988589,0.8921914905178504,0.9419116448405151,0.9945117643862413,0.9767429223496168,0.9238167690050535,0.8909960332554474,0.9440308645329565,0.9371026463076672,0.8200836820083682,1.0,0.8945824050426561,1.0
10,0.9725588219312068,0.9737542791936097,0.9729120252132805,0.9747323805901211,0.9991305765364342,0.9816334293321741,0.977449328913764,0.9725588219312069,0.9565559963049503,0.9374830190729773,0.7421616040862903,1.0,0.9781013965114383,1.0
11,0.9313698853447807,0.9312612074118349,0.9313698853447808,0.9444655762647396,0.9971200347769384,0.9635385534967126,0.9526164212356681,0.9251752431668748,0.9553877085257839,0.8690430908004131,0.7066782589795141,1.0,0.9359886974949736,1.0
12,0.9384882899527252,0.9375101885562137,0.9378633918382872,0.9445199152312124,0.9952725099168613,0.9791881758408956,0.9582676737488454,0.9367494430255936,0.9585393685812096,0.9290333097864478,0.795305113296745,1.0,0.9416399500081509,1.0
13,0.9306634787806335,0.930500461881215,0.9272401238928436,0.9446285931641581,0.9963592892463186,0.9547899798945825,0.6753246753246753,0.9264250393957508,0.9506330489594089,0.9017008096506004,0.7575938705645819,1.0,0.9309895125794707,1.0
14,0.8961038961038961,0.8950171167744391,0.9024072162147476,0.9262620224963322,0.9908710536325599,0.9777210237461283,0.9341411726348964,0.8978970819975004,0.9733739064282998,0.9331902407216215,0.8187795468130196,1.0,0.9005596913546705,1.0
15,0.8433407596587514,0.8454599793511928,0.8492093680378199,0.9084116720099984,0.9903276639678313,0.9526164212356681,0.9146334836711406,0.8482856056077813,0.9607400967233604,0.9202303972178449,0.8210617834048796,1.0,0.8526327229256099,1.0
16,0.9257729717980765,0.9253382600662936,0.9231647014073793,0.9390860185839265,0.99505515405097,0.9790251589414769,0.9459870673259796,0.9243058197033093,0.9263707004292777,0.909661468238874,0.8053578220942237,1.0,0.926316361462805,1.0
