Iteration,GLMNETRIDGE,GLMNETLASSO,SVMLIN,SVMRAD,RF,EXTRATREES,NNET,LDA,C5,KNN,NB,RPART,GLM,GBM
1,0.9379449002879965,0.9426180514046623,0.9463131011248166,0.9818507851980656,0.9988588817040699,0.9815247513992283,0.9960332554474813,0.9416399500081508,0.9787262946258763,0.9533228277998153,0.880508612726186,1.0,0.9501711677443895,1.0
2,0.9561484540564039,0.9560397761234583,0.9532141498668696,0.9616638591533989,0.9939683747215129,0.9712546867358584,0.9868499701135685,0.9493017442808238,0.9556050643916754,0.9610117915557246,0.8680106504374286,1.0,0.9582133347823726,1.0
3,0.9409878824104766,0.9406075096451666,0.9361517143943922,0.9682660435798511,0.9928272564255829,0.9753301092213226,0.9976090854751943,0.9305004618812149,0.9761180242351791,0.9648970276585339,0.8794761723632016,1.0,0.9420203227734609,1.0
4,0.9647340107591152,0.9645166548932239,0.9642449600608597,0.9744606857577569,0.9952181709503884,0.9772319730478726,0.99657664511221,0.9612563169048526,0.9718524153670599,0.9414225941422594,0.9025702331141662,1.0,0.9683747215127969,1.0
5,0.9764168885507798,0.9768516002825626,0.9712003477693855,0.9827745476281041,0.9966309840786828,0.976688583383144,0.9866869532141499,0.9681030266804326,0.9672064337336304,0.9500896592946803,0.8849100690104874,1.0,0.9782644134108568,1.0
6,0.9468564907895453,0.9460957452589251,0.9407433570613487,0.976308210617834,0.9936423409226756,0.9767972613160897,0.9878824104765528,0.9352822909308266,0.9583763516817909,0.9581318263326633,0.9088735532250176,1.0,0.9482149649513666,1.0
7,0.9517469977721024,0.951149269140901,0.9497907949790796,0.9701679074064011,0.9951638319839157,0.9779383796120198,0.9917948160625984,0.9451176438624137,0.9821496495136662,0.9556050643916751,0.884312340379286,1.0,0.9524534043362496,1.0
8,0.9703852632722926,0.970222246372874,0.961799706569581,0.9780470575449656,0.9990762375699613,0.9804379720697712,0.9899472912025213,0.9658207900885726,0.9827473781448677,0.9451719828288866,0.8714883442916916,1.0,0.9710373308699668,1.0
9,0.9297940553170679,0.9293050046188123,0.9206379394663914,0.9634842145302397,0.9967396620116286,0.9767972613160897,0.9891322067054285,0.9260446666304406,0.9761995326848883,0.9438406781503016,0.8929522360484704,1.0,0.9309895125794707,1.0
10,0.9220235831114492,0.9213715155137749,0.9193609737542792,0.9701135684399282,0.9937510188556214,0.9736999402271368,0.9864695973482583,0.9150681954029234,0.9674237895995218,0.9513122860403196,0.8780090202684345,1.0,0.9219692441449764,1.0
11,0.9456610335271424,0.945715372493615,0.9479432701190024,0.9882627832418628,0.9985328479052329,0.9840786828234527,0.9976090854751943,0.9431614410693909,0.9620985708851818,0.9568820301037875,0.8832799000163016,1.0,0.9495191001467151,1.0
