Iteration,GLMNETRIDGE,GLMNETLASSO,SVMLIN,SVMRAD,RF,EXTRATREES,NNET,LDA,C5,KNN,NB,RPART,GLM,GBM
1,,,,,,,,,,,,,,
2,0.5488779003423355,0.5488779003423355,0.5488779003423355,0.46660870510242897,0.907053197848177,0.7690593924903548,0.5488779003423355,0.5488779003423355,0.6772808781176983,0.7917187415095365,0.5324131935010595,1.0,0.5488779003423355,0.968700755311634
3,0.5998478508938762,0.5950660218442646,0.6128892028473618,0.6355485518665435,0.8821931206868446,0.803401619301201,0.3904798130739554,0.6121827962832147,0.8057381948595338,0.8315220344509047,0.6213117426506548,1.0,0.6102809324566647,0.9703037548225832
4,0.558604575340977,0.558604575340977,0.558604575340977,0.4056403847198827,0.8723305982720209,0.7575938705645818,0.558604575340977,0.558604575340977,0.7229799489213714,0.7888931152529479,0.5534967124925284,1.0,0.558604575340977,0.9755202956039776
5,0.5681138944737272,0.5681138944737272,0.5681138944737272,0.5729500624898115,0.8953974895397491,0.7233874911699179,0.5681138944737272,0.5681138944737272,0.647937836222355,0.7611802423517905,0.5557246101179154,1.0,0.5681138944737272,0.976933108732272
6,0.5546921697549313,0.5546921697549313,0.5546921697549313,0.4304189534315057,0.9042275715915884,0.7703091887192306,0.5546921697549313,0.5546921697549313,0.6954029234363962,0.785415421398685,0.5437156985274141,1.0,0.5546921697549313,0.9729391946965169
7,0.5497473238059012,0.5497473238059012,0.5497473238059012,0.4223767863935228,0.8689344128674673,0.7581644297125468,0.5497473238059012,0.5497473238059012,0.6893169591914361,0.7920447753083737,0.5653969461500843,1.0,0.5497473238059012,0.9620714014019454
8,0.5630603705917513,0.5630603705917513,0.5630603705917513,0.4160734662826713,0.9080584687279247,0.7575123621148725,0.5630603705917513,0.5630603705917513,0.6950497201543226,0.7648481225887085,0.5416508178014454,1.0,0.5630603705917513,0.9604955713742326
9,,,,,,,,,,,,,,
10,0.4785632777264577,0.4785632777264577,0.5214367222735423,0.44405803401619304,0.8602401782318101,0.7441993153290225,0.5214367222735423,0.4785632777264577,0.701027006466337,0.7588980057599304,0.5216540781394338,1.0,0.4785632777264577,0.9775580068467098
11,0.5956637504754658,0.5956637504754658,0.5956637504754658,0.5938705645818617,0.8798837146117481,0.7235505080693365,0.5956637504754658,0.5956637504754658,0.7205890343965657,0.7872357767755258,0.5876215834374829,1.0,0.5956637504754658,0.9649513666250068
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,0.5806118567624844,0.5806118567624844,0.5806118567624844,0.5874042275715916,0.8942292017605825,0.7568602945171983,0.5806118567624844,0.5806118567624844,0.6387002119219692,0.796826604357985,0.5629516926588056,1.0,0.5806118567624844,0.9756289735369233
18,0.5515948486659784,0.5515948486659784,0.4484051513340216,0.44737271097103737,0.9036841819268597,0.7684616638591535,0.5515948486659784,0.5515948486659784,0.6907569418029669,0.7748193229364777,0.5382274629136553,1.0,0.5515948486659784,0.9807096669021355
19,0.554420474922567,0.554420474922567,0.554420474922567,0.4416127805249144,0.8565179590284193,0.7539803292941368,0.554420474922567,0.554420474922567,0.6611422050752596,0.7725914253110905,0.5647992175188827,1.0,0.554420474922567,0.9726403303809161
20,0.5545291528555125,0.5659403358148128,0.597185241536706,0.6113133728196489,0.9367222735423572,0.7938923001684508,0.5045373037004836,0.5974025974025974,0.7214041188936586,0.7933489105037221,0.5901211758952345,1.0,0.5969135467043417,0.9898386132695757
21,0.5424115633320654,0.5424115633320654,0.5424115633320654,0.43498342661522577,0.8767863935227951,0.7816660327120579,0.5424115633320654,0.5424115633320654,0.6328859425093736,0.7835135575721349,0.5154594359615281,1.0,0.5424115633320654,0.9802749551703526
22,,,,,,,,,,,,,,
23,0.5657773189153944,0.5657773189153944,0.5657773189153944,0.41808400804216705,0.9133021789925556,0.7821279139270771,0.5657773189153944,0.5657773189153944,0.6013421724718796,0.8123947182524588,0.56474487855241,1.0,0.5657773189153944,0.9811715481171548
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,0.57235233385861,0.57235233385861,0.57235233385861,0.5826767374884531,0.9096614682388742,0.7660979188175842,0.57235233385861,0.57235233385861,0.7426778242677824,0.8134814975819161,0.5638754550888442,1.0,0.57235233385861,0.9689452806607619
27,0.5686029451719828,0.5686029451719828,0.5686029451719828,0.4347660707493344,0.9203390751507906,0.7481117209150682,0.5686029451719828,0.5686029451719828,0.6428299733739065,0.795930011411183,0.5687116231049285,1.0,0.5686029451719828,0.9876378851274248
28,,,,,,,,,,,,,,
29,0.5985980546650003,0.5939249035483345,0.6178340487963919,0.6613595609411509,0.893875998478509,0.8135358365483889,0.3898277454762811,0.6165299136010433,0.7926425039395751,0.8310873227191219,0.6435363799380536,1.0,0.6128348638808889,0.9726403303809161
30,0.5661033527142313,0.5661033527142313,0.5661033527142313,0.4139542465902299,0.8924903548334511,0.7541433461935554,0.5661033527142313,0.5661033527142313,0.6839645709938598,0.8031027549856002,0.5688746400043472,1.0,0.5661033527142313,0.9760636852687062
