Feature,Frequency
HBA1,30
PID1,27
DMD,26
CTDSPL,24
HFM1,21
WDR43,20
CLCN5,20
HSPA8,18
CTDSP2,16
DALRD3,16
VMP1,13
RPL13,9
RPS13,9
MT-ND1,8
HBB,8
AOPEP,8
SMC4,7
RPS8,7
EVL,7
MT-CO3,7
IL1RAPL2,6
WWP2,6
KAZN,6
MT-CO2,6
HOXD3,5
ASIC2,5
ZFHX3,5
RPL13A,5
GSKIP,5
AP1B1,5
PUM2,4
ACTB,4
TAF1D,4
SLC37A3,4
ANK1,4
CCDC200,3
MCM7,3
MT-ND2,3
SPOCK1,3
MT-ND4,3
FTL,2
KIAA0825,2
SLCO5A1,2
PCDH15,2
RBMX,2
JAK1,2
IL1RAPL1,2
RPS3A,2
RPS3,2
WDR82,2
PTK2,2
RCC1,1
CAMTA1,1
PTPRN2,1
TANGO2,1
RBFOX1,1
IFT88,1
TMEM107,1
LPP,1
NOP56,1
ANKRD30BL,1
RP5-972B16.2,1
CADM2,1
SORCS2,1
NFYC,1
EIF4A2,1
WDR74,1
