Feature,Frequency
Homo-28S-14418,30
Homo-18S-23918,27
Homo-28S-171,25
Homo-18S-10954,24
Homo-5S-600,24
Homo-28S-22,23
Homo-5.8S-2391,23
Homo-18S-1807,23
Homo-5.8S-2283,21
Homo-28S-11110,21
Homo-28S-571,18
Homo-18S-8842,16
Homo-28S-6179,15
Homo-18S-89,14
Homo-5.8S-2791,12
Homo-5.8S-2285,12
Homo-5.8S-243,12
Homo-18S-2116,12
Homo-18S-547,11
Homo-5S-19605,11
Homo-5S-13861,10
Homo-18S-303,10
Homo-28S-9837,10
Homo-28S-479,10
Homo-5.8S-37,10
Homo-28S-8167,9
Homo-mt16S-564,9
Homo-18S-4813,8
Homo-28S-7250,8
Homo-5S-139,8
Homo-28S-1777,8
Homo-5.8S-23992,7
Homo-5.8S-1059,7
Homo-28S-3714,7
Homo-5.8S-105,7
Homo-5S-44,6
Homo-28S-15363,6
Homo-5.8S-15863,6
Homo-28S-23826,6
Homo-5.8S-751,5
Homo-5S-13410,5
Homo-5.8S-2688,5
Homo-28S-1250,5
Homo-5S-2672,4
Homo-5S-168,4
Homo-5S-607,4
Homo-5S-748,4
Homo-28S-301,4
Homo-28S-1372,4
Homo-18S-9200,3
Homo-5.8S-1276,3
Homo-18S-15418,3
Homo-5.8S-678,3
Homo-28S-6641,3
Homo-18S-7097,3
Homo-28S-281,3
Homo-5.8S-2484,3
Homo-28S-251,3
Homo-28S-249,3
Homo-28S-637,3
Homo-28S-5360,3
Homo-5.8S-7210,3
Homo-28S-52,2
Homo-5S-3888,2
Homo-5.8S-3680,2
Homo-5.8S-15598,2
Homo-28S-7451,2
Homo-5S-845,2
Homo-5S-955,2
Homo-5.8S-523,2
Homo-mt12S-228,2
Homo-5S-126,2
Homo-5.8S-430,2
Homo-mt16S-555,2
Homo-5.8S-472,2
Homo-28S-5015,2
Homo-5S-424,2
Homo-28S-315,2
Homo-5.8S-4383,2
Homo-5S-237,2
Homo-5.8S-7238,1
Homo-5S-592,1
Homo-28S-455,1
Homo-5.8S-1333,1
Homo-5.8S-1307,1
Homo-28S-544,1
Homo-18S-13536,1
Homo-5S-1540,1
Homo-mt16S-182,1
Homo-5.8S-6590,1
Homo-18S-8725,1
Homo-5S-1037,1
Homo-5S-1630,1
Homo-28S-354,1
Homo-5S-417,1
Homo-5.8S-20601,1
Homo-28S-6145,1
Homo-5S-2000,1
Homo-5S-2919,1
Homo-28S-10361,1
Homo-28S-642,1
Homo-5S-1882,1
Homo-18S-14695,1
Homo-28S-14305,1
Homo-18S-7836,1
Homo-5S-2920,1
Homo-5S-415,1
Homo-18S-9120,1
Homo-28S-5774,1
Homo-18S-1212,1
Homo-18S-2193,1
Homo-28S-10362,1
Homo-5S-372,1
Homo-5S-2381,1
Homo-5.8S-1828,1
Homo-18S-390,1
Homo-28S-9079,1
Homo-28S-9022,1
Homo-5S-3671,1
Homo-5S-12528,1
Homo-28S-193,1
Homo-28S-8719,1
Homo-5S-400,1
Homo-5S-613,1
Homo-5.8S-1476,1
Homo-5S-501,1
Homo-5S-223,1
Homo-18S-5586,1
Homo-5S-18596,1
Homo-28S-13859,1
Homo-28S-11191,1
Homo-18S-200,1
Homo-28S-4201,1
