Iteration,GLMNETRIDGE_Class_1,GLMNETRIDGE_Class_2,GLMNETRIDGE_Class_3,GLMNETLASSO_Class_1,GLMNETLASSO_Class_2,GLMNETLASSO_Class_3,SVMLIN_Class_1,SVMLIN_Class_2,SVMLIN_Class_3,SVMRAD_Class_1,SVMRAD_Class_2,SVMRAD_Class_3,RF_Class_1,RF_Class_2,RF_Class_3,EXTRATREES_Class_1,EXTRATREES_Class_2,EXTRATREES_Class_3,NNET_Class_1,NNET_Class_2,NNET_Class_3,LDA_Class_1,LDA_Class_2,LDA_Class_3,C5_Class_1,C5_Class_2,C5_Class_3,KNN_Class_1,KNN_Class_2,KNN_Class_3,NB_Class_1,NB_Class_2,NB_Class_3,RPART_Class_1,RPART_Class_2,RPART_Class_3,GLM_Class_1,GLM_Class_2,GLM_Class_3,GBM_Class_1,GBM_Class_2,GBM_Class_3
1,0.9344040574809805,0.9164783427495292,0.9752791068580542,0.9334742180896026,0.916195856873823,0.9752791068580542,0.9348267117497888,0.9131826741996234,0.9756778309409888,0.9274725274725275,0.9141242937853108,0.970494417862839,0.9935756551141167,0.996045197740113,1.0,0.9650887573964497,0.9857815442561204,1.0,0.958748943364328,0.9384180790960451,0.9760765550239234,0.9371090448013526,0.9171374764595104,0.9669059011164275,0.9366441251056635,0.9374293785310734,0.9920255183413078,0.9575232459847846,0.9501883239171375,0.9754784688995215,0.8262890955198647,0.816572504708098,0.8951355661881978,1.0,1.0,1.0,0.9336432797971259,0.8996233521657251,0.9784688995215312,1.0,1.0,1.0
2,0.8600169061707522,0.835593220338983,0.9413875598086124,0.8593406593406593,0.8357815442561205,0.9405901116427433,0.8750633981403212,0.847834274952919,0.9433811802232854,0.8601014370245139,0.8445386064030131,0.9358054226475279,0.9857142857142858,0.9888888888888889,1.0,0.9261200338123414,0.9669491525423729,0.9968102073365231,0.8950972104818259,0.8749529190207156,0.9342105263157895,0.8721048182586644,0.8493408662900189,0.9342105263157895,0.9642011834319526,0.9578625235404896,0.9856459330143541,0.9135249366018596,0.9122410546139359,0.9667065390749601,0.7857142857142858,0.7344632768361582,0.9334130781499203,1.0,1.0,1.0,0.870414201183432,0.8188323917137476,0.9473684210526316,1.0,1.0,1.0
3,0.9297548605240913,0.9020715630885122,0.9055023923444976,0.9292476754015215,0.9007532956685499,0.9142743221690591,0.9320371935756551,0.900376647834275,0.9190590111642744,0.9521555367709214,0.939924670433145,0.9553429027113238,0.9951817413355876,0.9959510357815443,1.0,0.9689771766694844,0.9712806026365349,0.9996012759170654,0.9357565511411664,0.9073446327683616,0.888755980861244,0.9277261200338123,0.9012241054613936,0.9158692185007975,0.9476331360946745,0.9465160075329567,0.9986044657097288,0.9712172442941673,0.9611581920903954,0.9625199362041468,0.8774302620456466,0.8600753295668551,0.9258373205741627,1.0,1.0,1.0,0.9310228233305156,0.8693032015065913,0.9262360446570973,1.0,1.0,1.0
4,0.9675401521555368,0.9473634651600753,0.9493620414673046,0.9673710904480136,0.9470809792843691,0.9509569377990431,0.972189349112426,0.9398305084745764,0.9421850079744816,0.9478444632290786,0.9352165725047081,0.9413875598086124,0.9978867286559594,0.9981167608286252,1.0,0.9798816568047337,0.9908662900188323,0.9992025518341308,0.9805579036348268,0.9662900188323917,0.9581339712918661,0.9671174978867287,0.9488700564971753,0.937799043062201,0.9720625528317836,0.9775423728813559,0.9992025518341308,0.968385460693153,0.9709039548022599,0.9706937799043062,0.8261200338123414,0.8213747645951037,0.8740031897926634,1.0,1.0,1.0,0.9706677937447169,0.9406779661016949,0.9517543859649122,1.0,1.0,1.0
5,0.9550295857988166,0.9440677966101695,0.9581339712918661,0.9544378698224851,0.9423728813559321,0.9569377990430622,0.9498732037193576,0.9123352165725047,0.9577352472089314,0.9508030431107353,0.9371939736346516,0.9449760765550239,0.997971259509721,0.9983992467043314,1.0,0.9797971259509721,0.9941619585687382,0.9996012759170654,0.9631445477599323,0.9419962335216572,0.8819776714513556,0.9551141166525782,0.9326741996233521,0.9425837320574162,0.9628064243448858,0.9598870056497175,0.9920255183413078,0.9709213863060017,0.9666666666666667,0.9627192982456141,0.8278951817413355,0.8322975517890772,0.8680223285486444,1.0,1.0,1.0,0.9534234995773458,0.9207156308851224,0.9589314194577353,1.0,1.0,1.0
6,0.9371090448013525,0.9032956685499058,0.9645135566188198,0.9377007607776838,0.9028248587570622,0.965311004784689,0.9356720202874049,0.8981167608286252,0.9597288676236045,0.9311918850380387,0.9000941619585687,0.9716905901116427,0.9942519019442098,0.9935969868173258,1.0,0.9651732882502113,0.9625235404896422,1.0,0.4437869822485207,0.4732580037664783,0.19178628389154703,0.9373626373626374,0.9010357815442561,0.9649122807017544,0.9458579881656806,0.9386534839924671,0.9968102073365231,0.9413355874894336,0.9144538606403014,0.9796650717703349,0.8435333896872357,0.7957627118644067,0.9613237639553429,1.0,1.0,1.0,0.9400676246830093,0.8694915254237288,0.968500797448166,1.0,1.0,1.0
7,0.9653423499577345,0.9530131826741997,0.979665071770335,0.9653423499577345,0.9538606403013182,0.9792663476874004,0.9709213863060017,0.9600753295668549,0.9860446570972887,0.9590025359256128,0.9496233521657251,0.967304625199362,0.9978021978021978,0.9984934086629002,1.0,0.9635672020287405,0.9951977401129943,1.0,0.9672865595942518,0.9612994350282487,0.9692982456140351,0.9713440405748097,0.9591337099811675,0.9780701754385964,0.9431107354184277,0.9603578154425612,0.988835725677831,0.9638207945900255,0.9539548022598869,0.9730861244019139,0.8101437024513947,0.8032015065913372,0.8907496012759171,1.0,1.0,1.0,0.9683009298393914,0.9533898305084746,0.9824561403508772,1.0,1.0,1.0
8,0.9713440405748097,0.9418079096045198,0.985645933014354,0.970414201183432,0.9446327683615819,0.9852472089314195,0.9699070160608623,0.932391713747646,0.986842105263158,0.950211327134404,0.9092278719397364,0.9609250398724083,0.9956889264581572,0.996045197740113,1.0,0.9794590025359255,0.992090395480226,1.0,0.9727810650887574,0.9368173258003767,0.9513556618819776,0.972189349112426,0.9437853107344633,0.9820574162679426,0.968385460693153,0.9561676082862524,0.9970095693779903,0.9663144547759932,0.9526365348399247,0.9712918660287081,0.8229923922231613,0.7740112994350282,0.8656299840510366,1.0,1.0,1.0,0.974894336432798,0.9444444444444444,0.9924242424242424,1.0,1.0,1.0
9,0.9566356720202874,0.9319209039548023,0.9573365231259967,0.9566356720202874,0.9304143126177024,0.9585326953748006,0.9610312764158919,0.9241996233521658,0.962121212121212,0.9376162299239222,0.9092278719397364,0.9605263157894737,0.9930684699915469,0.996421845574388,1.0,0.9668639053254438,0.987758945386064,1.0,0.961876584953508,0.9396421845574388,0.9238437001594897,0.9614539306846999,0.9370056497175141,0.9433811802232854,0.9566779374471682,0.9514595103578155,0.9976076555023923,0.9794167371090449,0.9736346516007532,0.962121212121212,0.8228233305156382,0.772693032015066,0.8692185007974482,1.0,1.0,1.0,0.9633136094674556,0.9018832391713747,0.9605263157894738,1.0,1.0,1.0
10,0.9397295012679627,0.8998116760828625,0.9665071770334929,0.9378698224852071,0.8988700564971752,0.9677033492822966,0.9467455621301776,0.8962335216572505,0.9665071770334929,0.8920540997464074,0.8473634651600753,0.9681020733652312,0.9953508030431107,0.99924670433145,1.0,0.9498732037193576,0.987758945386064,1.0,0.9311918850380388,0.9004708097928436,0.9501594896331738,0.9360946745562131,0.8908662900188324,0.956140350877193,0.909213863060017,0.9036723163841807,0.9992025518341308,0.9279797125950973,0.9092749529190207,0.9621212121212122,0.7550295857988165,0.7096045197740113,0.8169856459330144,1.0,1.0,1.0,0.9445477599323753,0.8594161958568738,0.9665071770334928,1.0,1.0,1.0
