Iteration,GLMNETRIDGE_Class_1,GLMNETRIDGE_Class_2,GLMNETRIDGE_Class_3,GLMNETLASSO_Class_1,GLMNETLASSO_Class_2,GLMNETLASSO_Class_3,SVMLIN_Class_1,SVMLIN_Class_2,SVMLIN_Class_3,SVMRAD_Class_1,SVMRAD_Class_2,SVMRAD_Class_3,RF_Class_1,RF_Class_2,RF_Class_3,EXTRATREES_Class_1,EXTRATREES_Class_2,EXTRATREES_Class_3,NNET_Class_1,NNET_Class_2,NNET_Class_3,LDA_Class_1,LDA_Class_2,LDA_Class_3,C5_Class_1,C5_Class_2,C5_Class_3,KNN_Class_1,KNN_Class_2,KNN_Class_3,NB_Class_1,NB_Class_2,NB_Class_3,RPART_Class_1,RPART_Class_2,RPART_Class_3,GLM_Class_1,GLM_Class_2,GLM_Class_3,GBM_Class_1,GBM_Class_2,GBM_Class_3
1,0.981825866441251,0.975517890772128,0.9884370015948963,0.9835164835164835,0.9759887005649717,0.9900318979266347,0.9813186813186813,0.9721280602636535,0.99481658692185,0.9806424344885883,0.9766478342749529,0.99481658692185,0.9999154691462384,0.9999058380414313,1.0,0.9896027049873203,0.9987758945386064,0.9996012759170654,0.986306001690617,0.9856873822975518,0.9800637958532695,0.9778529163144547,0.9676082862523541,0.9756778309409888,0.9857565511411666,0.988653483992467,0.9984051036682615,0.983643279797126,0.9806967984934086,0.9758771929824561,0.8921386306001691,0.8975517890772129,0.8935406698564593,1.0,1.0,1.0,0.9876584953508031,0.9875706214689266,0.9952153110047847,1.0,1.0,1.0
2,0.9772612003381234,0.9777777777777777,0.9856459330143541,0.9765004226542688,0.9769303201506591,0.9860446570972887,0.9743026204564667,0.9790018832391714,0.988835725677831,0.9760777683854607,0.9758003766478343,0.99481658692185,0.9998309382924768,0.9995291902071562,1.0,0.9967878275570583,0.9969868173258004,1.0,0.9783601014370246,0.9738229755178907,0.9844497607655502,0.9755705832628909,0.9722222222222222,0.985645933014354,0.9928148774302621,0.9880414312617702,0.9936204146730462,0.9866863905325444,0.9843220338983051,0.9708931419457736,0.9239222316145392,0.9301318267419962,0.8775917065390749,1.0,1.0,1.0,0.9776838546069316,0.9757062146892655,0.9888357256778308,1.0,1.0,1.0
3,0.9870667793744716,0.9811676082862524,0.9876395534290271,0.9868131868131867,0.9811676082862523,0.9864433811802232,0.9878275570583263,0.9796610169491525,0.9896331738437001,0.9823330515638208,0.9757062146892654,0.9884370015948963,0.9996618765849535,0.9992467043314501,1.0,0.9965342349957734,0.9965160075329567,1.0,0.9880811496196111,0.9783427495291903,0.965311004784689,0.9847844463229078,0.9730696798493408,0.970494417862839,0.9777683854606931,0.9804613935969868,0.9986044657097288,0.9817413355874893,0.9772128060263654,0.9593301435406698,0.9355874894336433,0.9384180790960451,0.8588516746411483,1.0,1.0,1.0,0.9872358410819949,0.983050847457627,0.9932216905901116,1.0,1.0,1.0
4,0.974894336432798,0.9727871939736347,0.9896331738437002,0.9756551141166526,0.9721280602636535,0.9880382775119617,0.9790363482671175,0.9801318267419963,0.9944178628389154,0.9888419273034658,0.9890772128060263,0.998006379585327,1.0,0.9998116760828626,1.0,0.9989856297548606,0.9973634651600753,1.0,0.9858833474218089,0.9821092278719397,0.9808612440191388,0.974218089602705,0.9721280602636535,0.9892344497607656,0.9904480135249366,0.9930320150659133,0.9800637958532695,0.9906593406593407,0.9856403013182674,0.9798644338118022,0.9273034657650042,0.9360640301318268,0.9162679425837321,1.0,1.0,1.0,0.9817413355874894,0.9807909604519773,0.9960127591706539,1.0,1.0,1.0
5,0.9904480135249365,0.9828625235404896,0.9828548644338118,0.9901098901098901,0.9819209039548022,0.9824561403508771,0.989010989010989,0.9810734463276837,0.9888357256778308,0.9892645815722738,0.9868173258003767,0.9924242424242424,0.9994928148774302,0.9992467043314501,1.0,0.9978867286559594,0.9988700564971752,0.9996012759170654,0.9945900253592562,0.9873822975517891,0.981658692185008,0.9882502113271344,0.9816384180790961,0.9768740031897927,0.9815300084530854,0.979331450094162,0.9856459330143541,0.9938292476754015,0.9886064030131827,0.979665071770335,0.9420118343195266,0.9458568738229756,0.8668261562998405,1.0,1.0,1.0,0.9904480135249366,0.985969868173258,0.9864433811802233,1.0,1.0,1.0
6,0.9749788672865596,0.9665725047080979,0.9856459330143541,0.9743026204564665,0.964783427495292,0.9864433811802233,0.9806424344885882,0.9745762711864407,0.9844497607655502,0.9843617920540998,0.9804143126177025,0.990829346092504,0.9989856297548605,0.9984934086629002,1.0,0.9961115807269654,0.9914312617702448,0.9960127591706539,0.8305156382079459,0.8233521657250471,0.4282296650717704,0.9787827557058326,0.9682674199623352,0.9808612440191388,0.9819103972950127,0.9902071563088511,0.9960127591706539,0.991715976331361,0.9852165725047082,0.9866427432216905,0.9252747252747253,0.9325800376647834,0.9389952153110048,1.0,1.0,1.0,0.9802197802197802,0.9680790960451978,0.9836523125996811,1.0,1.0,1.0
7,0.9797971259509721,0.9757062146892654,0.9828548644338118,0.9784446322907862,0.9746704331450095,0.9824561403508771,0.9843617920540997,0.9773069679849341,0.9768740031897927,0.9777683854606931,0.9757062146892657,0.9876395534290271,0.9992392223161454,1.0,1.0,0.9934065934065934,0.9986817325800377,0.9996012759170654,0.9850380388841927,0.9781544256120527,0.9824561403508771,0.9761622992392224,0.969114877589454,0.9800637958532696,0.9904057480980558,0.9944915254237288,0.9928229665071769,0.9915469146238377,0.9846516007532957,0.9798644338118022,0.9144547759932375,0.9129943502824859,0.8955342902711323,1.0,1.0,1.0,0.9838546069315299,0.9659133709981169,0.9804625199362041,1.0,1.0,1.0
8,0.9897717666948436,0.9831450094161959,0.9912280701754386,0.9884192730346576,0.9819209039548022,0.9896331738437002,0.9901944209636516,0.9831450094161959,0.9936204146730462,0.9874049027895182,0.9817325800376648,0.9948165869218502,1.0,0.9998116760828626,1.0,0.9945900253592561,0.9966101694915255,1.0,0.9945054945054945,0.9921845574387947,0.9980063795853269,0.9881656804733726,0.9782485875706215,0.9852472089314195,0.9805579036348266,0.9940207156308851,0.9730861244019139,0.9888841927303466,0.9839924670433146,0.9786682615629985,0.8956889264581572,0.9009416195856874,0.9003189792663477,1.0,1.0,1.0,0.9937447168216398,0.9941619585687382,1.0,1.0,1.0,1.0
9,0.9906170752324599,0.9891713747645952,0.9960127591706539,0.9912933220625528,0.9896421845574389,0.9972089314194577,0.9922231614539306,0.9921845574387947,0.9992025518341308,0.9909551986475063,0.9882297551789078,0.9976076555023923,1.0,1.0,1.0,0.9972104818258665,0.9993408662900188,0.9992025518341308,0.9907861369399831,0.9875706214689266,0.9940191387559809,0.9886728655959426,0.9860640301318268,0.9828548644338118,0.9868131868131867,0.9947269303201507,0.9700956937799043,0.9880811496196111,0.9843220338983051,0.9834529505582138,0.9076923076923076,0.9092278719397363,0.9062998405103667,1.0,1.0,1.0,0.9978867286559594,0.9976459510357816,1.0,1.0,1.0,1.0
10,0.9753169907016062,0.9724105461393597,0.9692982456140351,0.9754860524091293,0.9709039548022599,0.972488038277512,0.9781910397295013,0.9708097928436912,0.9681020733652312,0.9926458157227389,0.9900188323917138,0.9888357256778308,0.9997464074387151,0.9998116760828626,1.0,0.9966187658495351,0.997834274952919,0.9992025518341308,0.985883347421809,0.977683615819209,0.9589314194577352,0.9775993237531699,0.97090395480226,0.9692982456140351,0.9947168216398986,0.9943973634651602,0.9952153110047847,0.9908284023668639,0.9919491525423729,0.9633173843700159,0.9364327979712594,0.947834274952919,0.9035087719298245,1.0,1.0,1.0,0.9771766694843618,0.9680790960451977,0.976475279106858,1.0,1.0,1.0
