Iteration,GLMNETRIDGE_Class_1,GLMNETRIDGE_Class_2,GLMNETRIDGE_Class_3,GLMNETLASSO_Class_1,GLMNETLASSO_Class_2,GLMNETLASSO_Class_3,SVMLIN_Class_1,SVMLIN_Class_2,SVMLIN_Class_3,SVMRAD_Class_1,SVMRAD_Class_2,SVMRAD_Class_3,RF_Class_1,RF_Class_2,RF_Class_3,EXTRATREES_Class_1,EXTRATREES_Class_2,EXTRATREES_Class_3,NNET_Class_1,NNET_Class_2,NNET_Class_3,LDA_Class_1,LDA_Class_2,LDA_Class_3,C5_Class_1,C5_Class_2,C5_Class_3,KNN_Class_1,KNN_Class_2,KNN_Class_3,NB_Class_1,NB_Class_2,NB_Class_3,RPART_Class_1,RPART_Class_2,RPART_Class_3,GLM_Class_1,GLM_Class_2,GLM_Class_3,GBM_Class_1,GBM_Class_2,GBM_Class_3
1,0.9871513102282332,0.98060263653484,0.9669059011164274,0.9867286559594253,0.9805084745762712,0.9673046251993621,0.9890955198647506,0.9840866290018833,0.9816586921850079,0.9898562975486053,0.9883239171374765,0.9832535885167464,0.9999154691462384,1.0,1.0,0.9940828402366865,0.9983050847457627,0.9996012759170654,0.9882502113271344,0.984557438794727,0.9605263157894737,0.9895181741335588,0.9765536723163842,0.9569377990430621,0.9945054945054945,0.9962806026365348,0.9874401913875598,0.9916314454775994,0.9910546139359698,0.9639154704944178,0.9746407438715131,0.9702448210922787,0.956140350877193,1.0,1.0,1.0,0.9793744716821641,0.9873822975517892,0.9812599681020734,1.0,1.0,0.9999999999999999
2,0.9958579881656805,0.9809792843691147,0.9820574162679426,0.9950972104818259,0.9822975517890773,0.9812599681020734,0.9920540997464076,0.977683615819209,0.9860446570972887,0.9916314454775993,0.984839924670433,0.9864433811802232,1.0,1.0,1.0,0.9980557903634827,0.998587570621469,1.0,0.9913778529163144,0.9828625235404896,0.9605263157894737,0.992138630600169,0.9760828625235405,0.956140350877193,0.9941251056635672,0.9992937853107344,0.9928229665071769,0.9967032967032967,0.9961393596986817,0.9860446570972887,0.9828402366863905,0.9732580037664784,0.9712918660287082,1.0,1.0,1.0,0.9947590870667794,0.9810734463276836,0.981658692185008,1.0,1.0,1.0
3,0.987912087912088,0.97984934086629,0.9832535885167463,0.9868977176669484,0.9776836158192089,0.9828548644338119,0.994167371090448,0.982391713747646,0.9900318979266348,0.9874894336432798,0.9797551789077212,0.9812599681020733,1.0,1.0,1.0,0.9955198647506339,0.9958568738229755,1.0,0.9819103972950127,0.972316384180791,0.9577352472089314,0.9901098901098901,0.9789077212806027,0.9669059011164275,0.9985629754860524,0.9989642184557439,0.9972089314194577,0.9947168216398985,0.9911958568738231,0.9685007974481659,0.9707523245984785,0.9614877589453861,0.9677033492822967,1.0,1.0,1.0,0.993491124260355,0.9790960451977402,0.988835725677831,1.0,1.0,1.0
4,0.995519864750634,0.9887005649717513,0.9716905901116427,0.995519864750634,0.9880414312617702,0.9716905901116427,0.9956043956043956,0.9898305084745762,0.9736842105263157,0.9987320371935757,0.9961393596986818,0.9896331738437001,1.0,0.9996233521657251,1.0,1.0,0.9966101694915254,0.9968102073365231,0.997548605240913,0.9908662900188324,0.9657097288676236,0.9945054945054945,0.9856873822975518,0.923444976076555,0.9822062552831784,0.9783898305084746,0.9984051036682615,0.9966610312764159,0.9936911487758945,0.9798644338118022,0.9497886728655959,0.9466101694915254,0.974481658692185,1.0,1.0,1.0,0.9953508030431109,0.9883239171374765,0.9728867623604466,1.0,1.0,1.0
5,0.9997464074387151,0.9958568738229756,0.9940191387559809,0.9998309382924767,0.9959510357815443,0.9944178628389155,0.9999154691462384,0.9965160075329567,1.0,0.9996618765849535,0.9990583804143126,0.9992025518341308,1.0,1.0,1.0,0.999577345731192,1.0,1.0,0.9989010989010989,0.9945386064030133,0.9952153110047847,0.9996618765849535,0.9955743879472693,0.9840510366826156,0.99530853761623,0.994774011299435,1.0,0.9956466610312764,0.9924199623352166,0.9838516746411483,0.986306001690617,0.9813559322033898,0.9784688995215312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.9901944209636517,0.9779661016949153,0.9968102073365231,0.9864750633981404,0.9777777777777777,0.9972089314194577,0.9917159763313609,0.9883239171374765,1.0,0.987912087912088,0.9856873822975517,0.9996012759170654,1.0,1.0,1.0,0.9957734573119189,0.9977401129943503,1.0,0.9872358410819949,0.9822975517890773,0.9980063795853269,0.9929839391377853,0.9784369114877589,0.9960127591706539,1.0,1.0,1.0,0.9956043956043956,0.9919020715630884,0.9918261562998405,0.9809805579036348,0.9772128060263653,0.9944178628389155,1.0,1.0,1.0,0.9966187658495351,0.9962335216572504,1.0,1.0,1.0,1.0
7,0.984953508030431,0.9690207156308851,0.9784688995215312,0.98385460693153,0.9681732580037665,0.9788676236044658,0.9863060016906171,0.9755178907721281,0.981658692185008,0.9892645815722739,0.9852165725047081,0.99481658692185,0.9998309382924768,1.0,1.0,0.9947590870667794,0.9962335216572504,1.0,0.9845308537616231,0.9777777777777779,0.9696969696969697,0.9860524091293322,0.9722222222222222,0.952950558213716,0.9888419273034658,0.9961393596986817,0.9964114832535885,0.9978021978021978,0.9930790960451977,0.9916267942583732,0.9678782755705834,0.9570621468926553,0.9748803827751196,1.0,1.0,1.0,0.9872358410819949,0.9693032015065913,0.9804625199362041,1.0,0.9999999999999999,1.0
8,0.9982248520710059,0.9906779661016949,0.9772727272727273,0.9977176669484361,0.989924670433145,0.9780701754385965,0.9983939137785292,0.9907721280602637,0.9808612440191388,0.9971259509721048,0.9917137476459511,0.9800637958532695,0.9998309382924768,1.0,1.0,0.9991546914623838,0.9998116760828626,0.9984051036682615,0.9973795435333898,0.9854990583804143,0.9505582137161085,0.9969568892645815,0.9868173258003767,0.9553429027113238,0.996196111580727,0.9946327683615819,0.9984051036682615,0.9958157227387996,0.9914783427495292,0.9667065390749602,0.9797125950972105,0.9711864406779661,0.9505582137161085,1.0,1.0,1.0,0.998647506339814,0.9906779661016949,0.986842105263158,1.0,1.0,1.0
9,0.9848689771766694,0.9763653483992467,0.9812599681020733,0.984530853761623,0.9763653483992467,0.9812599681020734,0.9893491124260354,0.9852165725047081,0.9960127591706539,0.9888419273034658,0.9872881355932203,0.998006379585327,0.9998309382924768,0.9999058380414313,1.0,0.9944209636517329,0.9955743879472693,0.9992025518341308,0.9852916314454776,0.9767419962335216,0.9657097288676236,0.987235841081995,0.973069679849341,0.9589314194577352,0.9944209636517329,0.992231638418079,0.9982057416267942,0.9980135249366018,0.9941148775894538,0.9912280701754386,0.9794590025359255,0.9629001883239171,0.9808612440191388,1.0,1.0,1.0,0.9937447168216399,0.9777777777777779,0.9952153110047847,1.0,1.0,1.0
10,0.9972950126796281,0.9903954802259888,0.9792663476874003,0.9973795435333898,0.99030131826742,0.9804625199362041,0.9976331360946745,0.9843691148775895,0.9832535885167465,0.9983939137785292,0.9981167608286252,0.9944178628389155,1.0,1.0,1.0,0.9990701606086221,0.9994350282485875,1.0,0.9969568892645816,0.9927495291902072,0.9665071770334929,0.9978867286559594,0.9907721280602636,0.9617224880382775,0.997083685545224,0.9997175141242938,0.9946172248803827,0.9970414201183433,0.9957627118644068,0.9880382775119617,0.9730346576500422,0.971939736346516,0.9708931419457735,1.0,1.0,1.0,0.9974640743871513,0.9941619585687382,0.9884370015948963,1.0,1.0,1.0
