Iteration,GLMNETRIDGE_Class_1,GLMNETRIDGE_Class_2,GLMNETRIDGE_Class_3,GLMNETLASSO_Class_1,GLMNETLASSO_Class_2,GLMNETLASSO_Class_3,SVMLIN_Class_1,SVMLIN_Class_2,SVMLIN_Class_3,SVMRAD_Class_1,SVMRAD_Class_2,SVMRAD_Class_3,RF_Class_1,RF_Class_2,RF_Class_3,EXTRATREES_Class_1,EXTRATREES_Class_2,EXTRATREES_Class_3,NNET_Class_1,NNET_Class_2,NNET_Class_3,LDA_Class_1,LDA_Class_2,LDA_Class_3,C5_Class_1,C5_Class_2,C5_Class_3,KNN_Class_1,KNN_Class_2,KNN_Class_3,NB_Class_1,NB_Class_2,NB_Class_3,RPART_Class_1,RPART_Class_2,RPART_Class_3,GLM_Class_1,GLM_Class_2,GLM_Class_3,GBM_Class_1,GBM_Class_2,GBM_Class_3
1,0.9994082840236687,0.9989642184557439,1.0,0.9985629754860524,0.998210922787194,1.0,1.0,1.0,1.0,0.9984784446322909,0.9981167608286252,1.0,1.0,1.0,1.0,0.9970414201183432,0.9984934086629002,1.0,1.0,0.9995291902071562,1.0,0.9973795435333896,0.9966101694915255,1.0,0.9963229078613695,0.9959039548022599,1.0,0.9971259509721049,0.9908662900188323,0.9920255183413078,0.9790363482671175,0.9785310734463277,0.9932216905901117,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.9955198647506339,0.9929378531073447,0.9976076555023923,0.9950972104818259,0.9919962335216572,0.9984051036682615,0.9999154691462384,0.9993408662900188,1.0,0.9927303465765004,0.9903013182674199,1.0,1.0,1.0,1.0,0.9956889264581572,0.9969868173258004,1.0,0.9983939137785292,0.9968926553672316,1.0,0.9965342349957735,0.9937853107344633,0.9996012759170654,0.9996618765849534,0.9983992467043314,0.9956140350877193,0.9953508030431107,0.9894538606403014,0.9962121212121212,0.956297548605241,0.9447269303201508,0.9996012759170654,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
3,0.9994928148774302,0.9982109227871939,0.9996012759170654,0.9992392223161454,0.9980225988700565,0.9996012759170654,1.0,1.0,1.0,0.9956889264581572,0.9940677966101696,1.0,1.0,1.0,1.0,0.9957734573119188,0.9979284369114878,1.0,0.9997464074387152,0.9992467043314501,1.0,0.9987320371935757,0.9967043314500942,0.9980063795853269,0.9941251056635673,0.9927024482109228,0.9984051036682615,0.9941251056635672,0.9856403013182674,0.9884370015948963,0.9590870667793745,0.9460451977401131,0.9984051036682615,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.9988165680473373,0.996045197740113,0.9972089314194577,0.9988165680473373,0.9958568738229755,0.9988038277511961,0.9989010989010989,0.9963276836158192,1.0,0.9994082840236687,0.9969868173258004,0.9996012759170654,1.0,1.0,1.0,0.9983939137785292,0.9979284369114878,1.0,0.9999154691462384,0.9991525423728813,0.9996012759170654,0.9991546914623837,0.9954802259887006,0.9916267942583732,0.9981403212172443,0.999340866290019,0.9900318979266348,0.9926035502958579,0.987994350282486,0.9840510366826156,0.9722738799661876,0.9467043314500941,0.9904306220095694,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.9984784446322909,0.9962335216572505,1.0,0.9978021978021978,0.9957627118644068,1.0,0.9991546914623838,0.9979284369114878,1.0,0.9994928148774302,0.9988700564971751,1.0,1.0,1.0,1.0,0.9991546914623837,0.9984934086629002,1.0,0.9998309382924767,0.9998116760828626,1.0,0.9992392223161455,0.9971751412429379,0.9988038277511961,0.9964919695688926,0.9968926553672317,0.9966108452950558,0.9962806424344887,0.989030131826742,0.9856459330143541,0.9779374471682164,0.9550847457627119,0.9948165869218502,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.9956043956043956,0.9927495291902072,1.0,0.9949281487743026,0.9913370998116761,1.0,1.0,1.0,1.0,0.9959425190194421,0.995291902071563,1.0,1.0,1.0,1.0,0.9971259509721048,0.9994350282485877,1.0,0.998647506339814,0.9980225988700565,1.0,0.9968723584108199,0.9951977401129944,1.0,0.9989856297548605,0.9993879472693032,0.9934210526315789,0.9940405748098057,0.989924670433145,0.9932216905901117,0.9754015215553677,0.9743879472693032,0.9936204146730463,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.9999154691462384,0.9996233521657251,1.0,0.9998309382924768,0.9991525423728813,0.9996012759170654,1.0,1.0,1.0,0.9965342349957734,0.9951977401129943,1.0,1.0,1.0,1.0,0.9956889264581572,0.9984934086629002,1.0,1.0,1.0,1.0,0.9977176669484362,0.9961393596986818,0.9984051036682615,0.9983516483516484,0.9997645951035782,0.9956140350877193,0.9935333896872358,0.989406779661017,0.9924242424242424,0.9692307692307692,0.9666666666666666,0.9996012759170654,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.9994082840236687,0.9988700564971752,1.0,0.9991546914623837,0.9979284369114878,1.0,0.9990701606086221,0.9988700564971752,1.0,0.9993237531699071,0.9984934086629003,1.0,1.0,1.0,1.0,0.9978867286559594,0.9972693032015065,1.0,0.9996618765849535,0.9995291902071564,1.0,0.9987320371935756,0.997457627118644,0.9988038277511961,0.998224852071006,0.9986817325800377,0.9960127591706539,0.9967032967032967,0.9911487758945386,0.9920255183413078,0.9665257819103973,0.9411487758945387,0.9964114832535884,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
9,0.9969568892645816,0.9935969868173258,0.9984051036682615,0.9966187658495351,0.9931261770244821,0.9984051036682615,0.9967878275570583,0.9952919020715632,0.9972089314194578,0.99687235841082,0.9941619585687382,0.9972089314194578,1.0,1.0,1.0,0.9975486052409129,0.998210922787194,1.0,0.9974640743871512,0.9944444444444445,0.9980063795853269,0.9968723584108199,0.9930320150659133,0.9960127591706539,0.9923922231614539,0.9962335216572505,0.9960127591706539,0.9944209636517328,0.9886064030131826,0.9962121212121212,0.9839391377852915,0.9645009416195857,0.9952153110047847,1.0,1.0,1.0,0.998224852071006,0.9979284369114877,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0,0.9999058380414313,1.0,1.0,1.0,1.0,0.999577345731192,0.9995291902071564,1.0,1.0,1.0,1.0,0.9971259509721049,0.9974576271186442,1.0,1.0,1.0,1.0,0.9999154691462384,0.9993408662900187,0.9984051036682615,0.999323753169907,0.9999058380414313,0.9980063795853269,0.9949704142011834,0.9885122410546139,0.9910287081339713,0.9817413355874894,0.9765536723163842,0.9944178628389154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
