Iteration,GLMNETRIDGE_Class_1,GLMNETRIDGE_Class_2,GLMNETRIDGE_Class_3,GLMNETLASSO_Class_1,GLMNETLASSO_Class_2,GLMNETLASSO_Class_3,SVMLIN_Class_1,SVMLIN_Class_2,SVMLIN_Class_3,SVMRAD_Class_1,SVMRAD_Class_2,SVMRAD_Class_3,RF_Class_1,RF_Class_2,RF_Class_3,EXTRATREES_Class_1,EXTRATREES_Class_2,EXTRATREES_Class_3,NNET_Class_1,NNET_Class_2,NNET_Class_3,LDA_Class_1,LDA_Class_2,LDA_Class_3,C5_Class_1,C5_Class_2,C5_Class_3,KNN_Class_1,KNN_Class_2,KNN_Class_3,NB_Class_1,NB_Class_2,NB_Class_3,RPART_Class_1,RPART_Class_2,RPART_Class_3,GLM_Class_1,GLM_Class_2,GLM_Class_3,GBM_Class_1,GBM_Class_2,GBM_Class_3
1,0.8348267117497887,0.8210922787193974,0.8014354066985647,0.8325443786982248,0.8209039548022599,0.8006379585326954,0.887912087912088,0.856120527306968,0.8536682615629985,0.9201183431952662,0.9016949152542373,0.9314194577352473,0.9846153846153847,0.9947269303201506,1.0,0.9530853761622993,0.9702448210922787,0.9912280701754386,0.8071851225697378,0.7772128060263653,0.5677830940988835,0.8842772612003381,0.8602636534839925,0.8636363636363636,0.9583685545224007,0.9529661016949154,0.9549441786283891,0.9569737954353339,0.9414783427495292,0.9375996810207337,0.8307692307692307,0.7538606403013183,0.8807814992025519,1.0,1.0,1.0,0.8830092983939137,0.8500941619585687,0.8827751196172249,1.0,1.0,1.0
2,0.8272189349112427,0.8216572504708098,0.8524720893141946,0.8253592561284869,0.8203389830508474,0.8500797448165869,0.8731191885038039,0.8455743879472694,0.8811802232854865,0.8973795435333897,0.8825800376647834,0.9453748006379585,0.9907861369399831,0.9966101694915255,1.0,0.9458157227387997,0.9587570621468927,0.9844497607655502,0.7112426035502959,0.6646892655367233,0.6188197767145136,0.8718512256973795,0.8500941619585688,0.894736842105263,0.9469146238377009,0.960075329566855,0.992822966507177,0.9341081994928149,0.9225988700564972,0.9838516746411483,0.8462383770076077,0.7843691148775894,0.9154704944178629,1.0,1.0,1.0,0.8673710904480135,0.8396421845574389,0.8987240829346093,1.0,1.0,1.0
3,0.8511411665257819,0.8348399246704332,0.8261562998405103,0.8504649196956888,0.8355932203389831,0.8241626794258374,0.8968723584108199,0.8603578154425612,0.8245614035087719,0.9070160608622146,0.8763653483992466,0.8895534290271133,0.9844463229078614,0.9957627118644069,1.0,0.9431952662721893,0.9700564971751413,0.9940191387559809,0.7757396449704141,0.753578154425612,0.6570972886762361,0.8944209636517328,0.8635593220338983,0.8724082934609251,0.9615384615384616,0.9453860640301318,0.965311004784689,0.9467032967032968,0.9248587570621468,0.9160685805422647,0.8313609467455623,0.7570621468926553,0.8548644338118021,1.0,1.0,1.0,0.8910397295012679,0.8578154425612052,0.8827751196172249,1.0,1.0,1.0
4,0.808960270498732,0.7738229755178907,0.8098086124401914,0.80625528317836,0.7721280602636534,0.8078149920255183,0.8648351648351649,0.8244821092278719,0.8265550239234449,0.9028740490278953,0.8717514124293786,0.8751993620414673,0.9841081994928148,0.9948210922787194,1.0,0.9470836855452238,0.9528248587570621,0.9800637958532695,0.7752324598478444,0.7487758945386065,0.7587719298245613,0.8643279797125951,0.8270244821092279,0.8508771929824561,0.9486897717666948,0.9379001883239172,0.9834529505582137,0.9322485207100593,0.9087099811676083,0.9521531100478469,0.8393913778529163,0.7722222222222223,0.870414673046252,1.0,1.0,1.0,0.863905325443787,0.8235404896421845,0.868421052631579,1.0,1.0,1.0
5,0.8584953508030431,0.8324858757062148,0.8987240829346093,0.8568892645815722,0.8310734463276837,0.8963317384370016,0.8973795435333896,0.8609227871939734,0.94377990430622,0.9211327134404057,0.9051789077212806,0.9681020733652312,0.9855452240067625,0.9950094161958569,1.0,0.947759932375317,0.977683615819209,0.9948165869218502,0.7658495350803043,0.7415254237288136,0.6610845295055822,0.8994082840236686,0.8613935969868173,0.9334130781499204,0.9541842772612004,0.9670433145009416,0.9808612440191388,0.9460693153000845,0.9275894538606403,0.9571371610845295,0.853592561284869,0.7500941619585687,0.8831738437001595,1.0,1.0,1.0,0.8973795435333898,0.8567796610169491,0.9421850079744816,1.0,1.0,1.0
6,0.8448013524936602,0.8289077212806026,0.8397129186602871,0.8424344885883348,0.8274011299435028,0.8365231259968102,0.9036348267117498,0.8709039548022599,0.8895534290271132,0.9267117497886727,0.9023540489642184,0.9358054226475279,0.9860524091293321,0.9933145009416197,0.9999999999999999,0.9500422654268809,0.9668549905838042,0.9880382775119617,0.8196956889264582,0.7751412429378531,0.5566188197767145,0.8994082840236687,0.8722222222222222,0.8823763955342903,0.9239222316145393,0.9328625235404897,0.9561403508771931,0.9500845308537615,0.9308851224105462,0.9421850079744816,0.8377852916314454,0.7666666666666667,0.8871610845295056,1.0,1.0,1.0,0.9065934065934066,0.8711864406779661,0.895933014354067,1.0,1.0,1.0
7,0.8600169061707523,0.8525423728813559,0.8468899521531101,0.8589180050718512,0.8515065913370997,0.8437001594896332,0.9051563820794589,0.8829566854990584,0.9106858054226475,0.9196111580726966,0.9054613935969869,0.9477671451355663,0.9904480135249365,0.9958568738229755,1.0,0.9619611158072697,0.9681732580037665,0.9904306220095693,0.8362637362637363,0.8167608286252354,0.8556618819776713,0.9059171597633137,0.882768361581921,0.9094896331738437,0.9358833474218089,0.953954802259887,0.937200956937799,0.9420963651732883,0.9202919020715632,0.9222488038277512,0.856720202874049,0.7872881355932203,0.9003189792663477,1.0,1.0,1.0,0.9075232459847844,0.8911487758945386,0.9158692185007975,1.0,1.0,1.0
8,0.798901098901099,0.7826741996233522,0.7137161084529506,0.8253592561284869,0.7480225988700565,0.8413078149920256,0.851141166525782,0.816572504708098,0.8656299840510366,0.905156382079459,0.8727871939736347,0.9043062200956938,0.9743026204564665,0.9826741996233522,0.9988038277511961,0.9330515638207946,0.9103578154425611,0.9553429027113237,0.7866441251056636,0.7741054613935969,0.6084529505582137,0.846830092983939,0.8133709981167607,0.8688197767145136,0.9487743026204566,0.9256591337099812,0.9655103668261563,0.929374471682164,0.9043314500941619,0.950956937799043,0.8387151310228232,0.7977401129943503,0.9035087719298246,1.0,1.0,1.0,0.8383770076077768,0.7657250470809793,0.8668261562998406,1.0,1.0,1.0
9,0.8525781910397295,0.8341807909604521,0.8736044657097288,0.8499577345731192,0.8326741996233522,0.8704146730462521,0.9125105663567202,0.8758003766478343,0.9062998405103668,0.9433643279797126,0.9217514124293786,0.958133971291866,0.9857988165680475,0.9951977401129943,0.9992025518341308,0.9555367709213862,0.960828625235405,0.9856459330143541,0.8280642434488589,0.7890772128060264,0.5869218500797448,0.9088757396449705,0.8792843691148775,0.9134768740031898,0.9396449704142011,0.9555555555555556,0.9613237639553429,0.9587912087912087,0.9435028248587571,0.9487639553429027,0.8579036348267118,0.8008474576271185,0.9206539074960127,1.0,1.0,1.0,0.9155536770921388,0.8660075329566855,0.9270334928229664,1.0,1.0,1.0
10,0.8544378698224853,0.8069679849340866,0.8676236044657096,0.8534234995773456,0.8075329566854991,0.8660287081339713,0.8779374471682163,0.836346516007533,0.8724082934609251,0.8992392223161454,0.867984934086629,0.9314194577352473,0.987235841081995,0.9954802259887006,1.0,0.9330515638207946,0.9702448210922787,0.981658692185008,0.7270498732037194,0.7135593220338983,0.7117224880382775,0.8814877430262045,0.8407721280602637,0.8895534290271132,0.9426880811496197,0.9245762711864407,0.9461722488038278,0.9393913778529162,0.9184557438794727,0.9389952153110048,0.8234995773457311,0.7196798493408663,0.8696172248803828,1.0,1.0,1.0,0.8857988165680474,0.8203389830508474,0.8911483253588517,1.0,0.9999999999999999,1.0
11,0.8345731191885037,0.8096045197740114,0.8385167464114833,0.8307692307692308,0.8053672316384181,0.8385167464114833,0.8812341504649197,0.8459510357815443,0.8676236044657097,0.911665257819104,0.8901129943502826,0.9362041467304626,0.9862214708368554,0.9850282485875707,0.9996012759170654,0.9576500422654269,0.9609227871939736,0.9932216905901117,0.8184277261200338,0.7879472693032016,0.5454545454545454,0.8771766694843618,0.846045197740113,0.8736044657097288,0.9388419273034658,0.947834274952919,0.9651116427432216,0.9480557903634826,0.9165725047080979,0.9393939393939394,0.8379543533389687,0.7663841807909605,0.8460925039872409,1.0,1.0,1.0,0.8787827557058328,0.8270244821092279,0.8827751196172249,1.0,1.0,1.0
12,0.8552831783601015,0.8645951035781544,0.8576555023923444,0.8536770921386305,0.8637476459510357,0.8544657097288676,0.8937447168216398,0.878436911487759,0.9114832535885167,0.9144547759932375,0.9030131826741996,0.9461722488038278,0.9849535080304311,0.9928436911487759,1.0,0.9645815722738799,0.9692090395480226,0.992822966507177,0.7394759087066779,0.6971751412429379,0.5765550239234449,0.8882502113271344,0.8725047080979285,0.9035087719298246,0.922654268808115,0.9266949152542372,0.9898325358851674,0.9541420118343196,0.9478342749529189,0.9748803827751196,0.8510566356720203,0.7915254237288136,0.9146730462519936,1.0,1.0,1.0,0.8830938292476754,0.8768361581920904,0.9062998405103668,1.0,1.0,1.0
13,0.8732882502113272,0.8442561205273069,0.8771929824561403,0.8726120033812342,0.8451977401129942,0.8763955342902712,0.9080304311073543,0.8681732580037664,0.8903508771929824,0.9276415891800507,0.9097928436911487,0.9565390749601276,0.9871513102282333,0.9976459510357816,0.9996012759170654,0.9494505494505495,0.9706214689265537,0.9916267942583733,0.7564666103127642,0.7359698681732579,0.6997607655502392,0.9061707523245985,0.8698681732580037,0.8995215311004784,0.9297125950972105,0.927542372881356,0.9956140350877193,0.9404480135249366,0.9349811676082862,0.9431818181818182,0.8183431952662721,0.7553672316384181,0.8875598086124402,1.0,1.0,1.0,0.9043110735418427,0.8669491525423728,0.9122807017543861,1.0,1.0,1.0
14,0.8468300929839392,0.8257062146892655,0.848883572567783,0.8459002535925614,0.8227871939736348,0.8472886762360446,0.8878275570583263,0.8516007532956685,0.8879585326953748,0.9093829247675402,0.8753295668549906,0.9354066985645934,0.9852916314454776,0.9949152542372882,1.0,0.9481825866441251,0.9656308851224106,0.986842105263158,0.8245139475908706,0.7800376647834275,0.5681818181818181,0.8879966187658497,0.8551789077212807,0.8811802232854864,0.9559171597633136,0.9466572504708098,0.9700956937799042,0.938588334742181,0.9013182674199623,0.9308213716108453,0.820625528317836,0.7130885122410546,0.8819776714513556,1.0,1.0,1.0,0.8918005071851227,0.8370998116760828,0.8923444976076556,1.0,1.0,1.0
15,0.8520710059171598,0.8198681732580038,0.8576555023923446,0.8493660185967877,0.8176082862523542,0.8548644338118022,0.9165680473372781,0.8866290018832392,0.901913875598086,0.9363482671174979,0.9096045197740112,0.9497607655502392,0.987912087912088,0.9926553672316384,1.0,0.9577345731191885,0.9661016949152542,0.9896331738437002,0.8227387996618767,0.792090395480226,0.5542264752791068,0.9169061707523246,0.8866290018832392,0.9035087719298245,0.9613271344040575,0.9603578154425612,0.9798644338118022,0.9569315300084531,0.9301789077212806,0.9324162679425838,0.873541842772612,0.8245762711864407,0.8995215311004785,1.0,1.0,1.0,0.9191039729501268,0.8781544256120527,0.9146730462519936,1.0,1.0,1.0
