Iteration,GLMNETRIDGE_Class_1,GLMNETRIDGE_Class_2,GLMNETRIDGE_Class_3,GLMNETLASSO_Class_1,GLMNETLASSO_Class_2,GLMNETLASSO_Class_3,SVMLIN_Class_1,SVMLIN_Class_2,SVMLIN_Class_3,SVMRAD_Class_1,SVMRAD_Class_2,SVMRAD_Class_3,RF_Class_1,RF_Class_2,RF_Class_3,EXTRATREES_Class_1,EXTRATREES_Class_2,EXTRATREES_Class_3,NNET_Class_1,NNET_Class_2,NNET_Class_3,LDA_Class_1,LDA_Class_2,LDA_Class_3,C5_Class_1,C5_Class_2,C5_Class_3,KNN_Class_1,KNN_Class_2,KNN_Class_3,NB_Class_1,NB_Class_2,NB_Class_3,RPART_Class_1,RPART_Class_2,RPART_Class_3,GLM_Class_1,GLM_Class_2,GLM_Class_3,GBM_Class_1,GBM_Class_2,GBM_Class_3
1,0.9874049027895182,0.985593220338983,0.970494417862839,0.9868977176669484,0.9854048964218456,0.9677033492822966,0.991462383770076,0.9875706214689266,0.981658692185008,0.9949281487743027,0.9913370998116762,0.9872408293460925,0.9999154691462384,0.9999058380414314,0.9996012759170654,0.996196111580727,0.9984934086629002,0.9960127591706539,0.9934065934065934,0.9921845574387947,0.9844497607655502,0.9933220625528317,0.987758945386064,0.9605263157894737,0.9952662721893492,0.9947269303201507,0.9856459330143541,0.9934488588334742,0.9891242937853107,0.9573365231259968,0.9860524091293322,0.9852165725047081,0.950956937799043,1.0,1.0,1.0,0.992138630600169,0.9892655367231639,0.9796650717703349,1.0,1.0,1.0
2,0.9988165680473373,0.9966101694915254,0.9952153110047847,0.9980557903634827,0.9958568738229756,0.9964114832535885,1.0,1.0,1.0,0.9983939137785292,0.9967043314500941,1.0,0.9999154691462384,0.9998116760828626,1.0,0.9983093829247676,0.9979284369114878,1.0,0.9981403212172443,0.9969868173258004,0.9964114832535885,0.9983939137785292,0.9939736346516008,0.9952153110047847,0.997083685545224,0.9967514124293786,1.0,0.9950549450549451,0.9808851224105462,0.9655103668261562,0.988334742180896,0.9789077212806027,0.9772727272727272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.9937447168216399,0.9935969868173258,0.9984051036682615,0.9926458157227387,0.9921845574387947,0.9976076555023923,0.9965342349957734,0.9891713747645952,1.0,0.9980557903634827,0.9953860640301317,0.9956140350877193,0.9999154691462384,1.0,1.0,0.9984784446322909,0.9980225988700565,1.0,0.9994082840236687,0.9987758945386064,0.9984051036682615,0.9973795435333898,0.988135593220339,0.9784688995215312,0.9984784446322907,0.9994350282485875,0.9920255183413078,0.9950972104818259,0.9887005649717514,0.9501594896331739,0.9886728655959425,0.9828625235404898,0.9740829346092503,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,0.9998116760828626,0.9996012759170654,0.9998309382924768,0.9994350282485875,0.9996012759170654,1.0,1.0,1.0,0.9991546914623838,0.9984934086629002,0.998006379585327,1.0,1.0,1.0,0.9999154691462384,0.9991525423728813,1.0,0.999577345731192,0.9989642184557439,0.9992025518341308,0.9999154691462384,0.9980225988700565,0.986842105263158,0.9993660185967879,0.9974105461393596,0.9880382775119617,0.9924344885883347,0.985969868173258,0.9661084529505581,0.9948436179205411,0.9879472693032015,0.9609250398724083,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.9997464074387151,0.9991525423728814,1.0,0.9997464074387151,0.9994350282485875,1.0,1.0,0.9996233521657251,1.0,0.9963651732882502,0.9980225988700565,1.0,1.0,1.0,1.0,0.9989856297548605,0.9988700564971752,0.9996012759170654,0.9989010989010989,0.9993408662900187,1.0,0.9989010989010988,0.9989642184557438,0.998006379585327,0.9923922231614539,0.9888418079096045,0.9934210526315789,0.9938292476754015,0.9928436911487759,0.9816586921850079,0.9962806424344886,0.9906779661016949,0.9900318979266347,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1.0,0.9997175141242938,1.0,0.9999154691462384,0.9997175141242938,1.0,1.0,1.0,1.0,0.9985629754860524,0.9975517890772129,1.0,1.0,1.0,1.0,0.9997464074387152,0.9996233521657251,1.0,0.9999154691462384,0.9994350282485877,0.9996012759170654,0.9999154691462384,0.9990583804143127,1.0,0.9987743026204565,0.9992467043314501,0.9934210526315789,0.996407438715131,0.9906308851224106,0.9920255183413079,0.9819103972950127,0.9785310734463276,0.9980063795853269,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.9981403212172443,0.9948210922787194,0.9992025518341308,0.9973795435333898,0.9946327683615819,0.9996012759170654,0.9980557903634828,0.9965160075329567,1.0,0.9972104818258665,0.9955743879472694,1.0,0.9999154691462384,0.9998116760828626,1.0,0.9992392223161455,0.9993408662900187,1.0,0.9973795435333898,0.9936911487758946,0.9912280701754386,0.9981403212172443,0.9939736346516007,0.9980063795853269,0.9980557903634826,0.9998116760828626,0.9940191387559808,0.9953508030431109,0.9930790960451977,0.9794657097288676,0.9841081994928149,0.987758945386064,0.9505582137161084,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.9987320371935756,0.9995291902071562,0.9992025518341308,0.9982248520710059,0.9991525423728813,0.9996012759170654,1.0,1.0,1.0,0.9985629754860523,0.9994350282485875,1.0,1.0,1.0,1.0,0.9999154691462384,0.9999058380414313,1.0,0.9994928148774302,0.999623352165725,0.9988038277511961,0.9995773457311918,0.9983050847457627,0.9964114832535885,0.9999154691462384,0.9990583804143126,0.99481658692185,0.9948858833474219,0.9912429378531074,0.9856459330143541,0.9964497041420118,0.9869114877589453,0.981658692185008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0.9983093829247676,0.9962335216572505,0.9984051036682615,0.9980557903634827,0.9951035781544257,0.9988038277511961,0.9994082840236687,0.9952919020715632,0.9980063795853269,0.9981403212172444,0.9968926553672316,1.0,1.0,1.0,1.0,0.9987320371935756,0.9996233521657251,1.0,0.9978867286559594,0.9880414312617702,0.9772727272727273,0.9989856297548605,0.9937853107344633,0.9792663476874003,0.9911665257819104,0.9901600753295668,1.0,0.993279797125951,0.9891242937853107,0.9744816586921851,0.9872358410819949,0.9742937853107344,0.9489633173843699,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.9999154691462384,0.9994350282485875,0.9996012759170654,0.9998309382924767,0.9993408662900188,1.0,1.0,1.0,1.0,0.9980557903634826,0.9980225988700565,1.0,1.0,1.0,1.0,1.0,0.9992467043314501,1.0,0.99687235841082,0.993502824858757,0.9840510366826156,0.9994928148774302,0.9979284369114877,0.9968102073365231,0.999577345731192,0.9995291902071562,0.9964114832535885,0.9936179205409974,0.9917608286252354,0.9637161084529506,0.9926458157227388,0.9937853107344633,0.9780701754385965,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,0.9995773457311918,0.997834274952919,0.9984051036682615,0.999323753169907,0.9977401129943503,0.9988038277511961,1.0,1.0,1.0,0.9963651732882502,0.9960451977401129,1.0,0.9999154691462384,0.9998116760828626,1.0,1.0,0.9992467043314501,1.0,0.9999154691462384,0.9997175141242938,1.0,0.999577345731192,0.9966101694915254,0.9924242424242424,0.9928994082840237,0.9920903954802259,1.0,0.994843617920541,0.9893126177024482,0.9850478468899521,0.994843617920541,0.9887947269303201,0.9708931419457735,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,0.999577345731192,0.9945386064030132,0.9916267942583733,0.999577345731192,0.994256120527307,0.9900318979266347,0.998647506339814,0.994256120527307,0.9960127591706539,0.9990701606086221,0.9966101694915254,0.9984051036682615,1.0,1.0,1.0,0.9997464074387151,0.9994350282485875,1.0,0.9994082840236687,0.9967984934086629,0.9964114832535885,0.9994928148774302,0.9888888888888888,0.9685007974481659,0.9913778529163144,0.9937853107344633,0.9968102073365231,0.9976754015215554,0.9816854990583803,0.9575358851674641,0.9947590870667794,0.967231638418079,0.9708931419457735,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
13,0.9980557903634827,0.992467043314501,0.9808612440191388,0.9979712595097211,0.9922787193973635,0.979665071770335,0.9989010989010989,0.9904896421845574,0.9740829346092503,0.9981403212172443,0.9991525423728814,1.0,1.0,1.0,1.0,0.9988165680473373,0.99924670433145,1.0,0.9988165680473372,0.9973634651600753,0.9924242424242424,0.9969568892645815,0.9912429378531074,0.972488038277512,0.9965765004226542,0.9973163841807909,0.9952153110047847,0.9928148774302621,0.9857815442561205,0.9792663476874004,0.9925612848689771,0.9841807909604521,0.956140350877193,1.0,1.0,1.0,0.9951817413355875,0.9930320150659133,0.9976076555023923,1.0,1.0,1.0
14,0.9956889264581572,0.98954802259887,0.9956140350877193,0.9940828402366864,0.9874764595103578,0.9972089314194577,0.9960270498732038,0.9914312617702448,1.0,0.9967032967032967,0.9955743879472693,0.9964114832535885,1.0,1.0,1.0,0.9990701606086221,0.99924670433145,0.998006379585327,0.9979712595097211,0.9972693032015066,0.9976076555023923,0.993491124260355,0.9845574387947269,0.9800637958532695,0.996407438715131,0.9967514124293785,0.9968102073365231,0.9948013524936602,0.9880414312617702,0.9702950558213717,0.9765004226542687,0.9887005649717514,0.965311004784689,1.0,1.0,1.0,0.9994928148774304,0.9994350282485877,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9989856297548605,0.9990583804143126,1.0,1.0,1.0,1.0,0.9999154691462384,0.9999058380414313,1.0,1.0,1.0,1.0,1.0,0.9999058380414313,1.0,0.9974640743871513,0.9971751412429378,1.0,0.9951817413355875,0.9941619585687382,0.9840510366826156,0.9926458157227387,0.9892655367231639,0.979665071770335,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
