Iteration,GLMNETRIDGE_Class_1,GLMNETRIDGE_Class_2,GLMNETRIDGE_Class_3,GLMNETLASSO_Class_1,GLMNETLASSO_Class_2,GLMNETLASSO_Class_3,SVMLIN_Class_1,SVMLIN_Class_2,SVMLIN_Class_3,SVMRAD_Class_1,SVMRAD_Class_2,SVMRAD_Class_3,RF_Class_1,RF_Class_2,RF_Class_3,EXTRATREES_Class_1,EXTRATREES_Class_2,EXTRATREES_Class_3,NNET_Class_1,NNET_Class_2,NNET_Class_3,LDA_Class_1,LDA_Class_2,LDA_Class_3,C5_Class_1,C5_Class_2,C5_Class_3,KNN_Class_1,KNN_Class_2,KNN_Class_3,NB_Class_1,NB_Class_2,NB_Class_3,RPART_Class_1,RPART_Class_2,RPART_Class_3,GLM_Class_1,GLM_Class_2,GLM_Class_3,GBM_Class_1,GBM_Class_2,GBM_Class_3
1,0.9801352493660186,0.9648775894538607,0.985645933014354,0.9786136939983094,0.9637476459510358,0.9860446570972886,0.9781910397295013,0.9595103578154425,0.9892344497607656,0.978021978021978,0.9687382297551789,0.9900318979266348,0.9978867286559594,0.9971751412429378,1.0,0.9889264581572274,0.989924670433145,0.9996012759170654,0.9809805579036349,0.9697740112994352,0.9808612440191387,0.9740490278951818,0.955743879472693,0.9549441786283891,0.9749788672865596,0.9804143126177024,0.9940191387559808,0.9845731191885039,0.9715160075329567,0.9808612440191388,0.9395604395604396,0.9174199623352165,0.9569377990430621,1.0,1.0,1.0,0.9834319526627219,0.9562146892655368,0.9956140350877193,1.0,1.0,1.0
2,0.9826711749788674,0.9675141242937852,0.9880382775119617,0.9815722738799663,0.967231638418079,0.9872408293460925,0.9761622992392224,0.9657250470809793,0.9892344497607655,0.9812341504649197,0.976271186440678,0.9988038277511961,0.9976331360946746,0.9968926553672316,1.0,0.993491124260355,0.9934086629001884,1.0,0.9919695688926458,0.9891713747645952,0.9960127591706539,0.9758241758241759,0.9606403013182674,0.9736842105263158,0.9753592561284868,0.9725517890772128,1.0,0.9920963651732881,0.9801318267419963,0.9810606060606061,0.9605240912933221,0.9446327683615819,0.9768740031897927,1.0,1.0,1.0,0.976923076923077,0.967984934086629,0.990829346092504,1.0,1.0,1.0
3,0.9775993237531698,0.9688323917137477,0.9665071770334928,0.9774302620456466,0.9684557438794728,0.9669059011164275,0.9757396449704142,0.9592278719397362,0.9832535885167464,0.9776838546069316,0.9692090395480226,0.9940191387559809,0.9973795435333896,0.997080979284369,1.0,0.9883347421808961,0.9910546139359698,0.9992025518341308,0.9849535080304311,0.9765536723163841,0.9788676236044658,0.9715976331360947,0.9609227871939736,0.9553429027113237,0.9762468300929839,0.9751883239171375,0.9982057416267942,0.9808537616229924,0.9738700564971752,0.9844497607655502,0.9599323753169906,0.955743879472693,0.9776714513556619,1.0,1.0,1.0,0.9781910397295013,0.9532956685499059,0.981658692185008,1.0,1.0,1.0
4,0.9788672865595942,0.9681732580037665,0.9736842105263157,0.9777683854606931,0.9684557438794726,0.9736842105263158,0.9742180896027048,0.9493408662900188,0.9820574162679426,0.9810650887573965,0.9718455743879473,0.9924242424242424,0.9969568892645816,0.9948210922787194,1.0,0.9918850380388842,0.986346516007533,1.0,0.9856297548605241,0.9778719397363466,0.974481658692185,0.9778529163144547,0.9698681732580038,0.958133971291866,0.969103972950127,0.9743879472693032,0.9946172248803827,0.9845308537616231,0.9769774011299435,0.983652312599681,0.9624683009298395,0.9547080979284369,0.9613237639553429,1.0,1.0,1.0,0.9809805579036348,0.9609227871939736,0.9824561403508772,1.0,1.0,1.0
5,0.9743871513102282,0.9606403013182674,0.9681020733652312,0.9739644970414202,0.960075329566855,0.9657097288676235,0.9730346576500423,0.9388888888888889,0.9756778309409889,0.9775993237531699,0.9750470809792843,0.9932216905901117,0.9983939137785292,0.996045197740113,1.0,0.9914623837700761,0.9881355932203391,0.9992025518341308,0.986559594251902,0.9852165725047081,0.9868421052631579,0.9630600169061707,0.9645951035781544,0.9712918660287081,0.9762890955198648,0.9781544256120527,0.9946172248803827,0.986559594251902,0.9789548022598871,0.9880382775119618,0.936094674556213,0.9415254237288135,0.956140350877193,1.0,1.0,1.0,0.9756551141166526,0.9621468926553672,0.9820574162679425,1.0,1.0,0.9999999999999999
6,0.9786136939983094,0.9700564971751413,0.9984051036682615,0.9784446322907862,0.9697740112994351,0.9992025518341308,0.9798816568047338,0.9736346516007534,0.9968102073365231,0.978698224852071,0.9732580037664784,0.9968102073365231,0.9978021978021978,0.9968926553672317,1.0,0.9907861369399831,0.9898305084745762,1.0,0.9852916314454776,0.9806026365348399,0.9996012759170654,0.9779374471682164,0.9659133709981167,0.9916267942583732,0.9828402366863905,0.9773069679849342,0.9956140350877193,0.9884192730346576,0.9792372881355932,0.9946172248803827,0.9671174978867287,0.9486817325800377,0.992822966507177,1.0,1.0,1.0,0.9834319526627219,0.9815442561205273,1.0,1.0,1.0,1.0
7,0.9777683854606931,0.9701506591337099,0.9956140350877193,0.9771766694843618,0.9699623352165725,0.9964114832535885,0.9797125950972104,0.9745762711864406,1.0,0.9781910397295013,0.9741996233521657,0.9960127591706539,0.9987320371935755,0.9980225988700564,1.0,0.9918850380388842,0.9883239171374765,1.0,0.9803043110735419,0.9724105461393598,0.9952153110047847,0.9771766694843618,0.9556497175141243,0.990829346092504,0.9857565511411664,0.9866760828625235,0.9956140350877193,0.9866018596787828,0.9811676082862523,0.9966108452950558,0.9639898562975485,0.9389830508474575,0.9900318979266348,1.0,1.0,1.0,0.9852071005917159,0.9835216572504708,1.0,1.0,1.0,1.0
8,0.9723584108199492,0.9584745762711865,0.9645135566188199,0.9720202874049028,0.9577212806026366,0.9692982456140351,0.9651732882502113,0.948210922787194,0.9820574162679426,0.9771766694843619,0.9720338983050847,0.9976076555023924,0.9945900253592561,0.9922787193973635,1.0,0.993491124260355,0.989924670433145,0.9992025518341308,0.9815722738799663,0.9744821092278719,0.9776714513556619,0.9669484361792055,0.9629943502824858,0.9696969696969697,0.9871090448013525,0.9856403013182674,1.0,0.98229078613694,0.9689736346516008,0.9896331738437001,0.962806424344886,0.9595103578154426,0.9780701754385965,1.0,1.0,1.0,0.966356720202874,0.9585687382297552,0.9884370015948964,1.0,1.0,1.0
9,0.983431952662722,0.9709039548022599,0.990829346092504,0.9829247675401521,0.970527306967985,0.990829346092504,0.9810650887573965,0.9695856873822976,0.9920255183413078,0.9798816568047337,0.9745762711864406,0.9944178628389155,0.9989010989010989,0.9983992467043314,1.0,0.9918850380388842,0.990677966101695,0.9984051036682615,0.9859678782755706,0.9770244821092279,0.9856459330143541,0.9786136939983093,0.9678907721280603,0.9732854864433811,0.9862214708368555,0.9865348399246705,0.9960127591706539,0.9914623837700761,0.9875235404896422,0.9868421052631579,0.9662721893491124,0.9467984934086628,0.9820574162679426,1.0,1.0,1.0,0.9836855452240068,0.9633709981167607,0.99481658692185,1.0,1.0,1.0
10,0.9892645815722738,0.9871939736346517,0.9984051036682615,0.9888419273034657,0.9862523540489643,0.9984051036682615,0.9888419273034657,0.9880414312617702,1.0,0.9879966187658494,0.9845574387947269,0.9976076555023923,0.9984784446322907,0.9977401129943503,1.0,0.9945900253592561,0.9915254237288136,1.0,0.9890955198647506,0.982391713747646,0.9972089314194578,0.9874894336432798,0.9741996233521657,0.99481658692185,0.9898140321217244,0.993879472693032,0.9978070175438596,0.9876162299239222,0.9855461393596987,0.9984051036682615,0.9640743871513102,0.9613935969868174,0.9964114832535885,1.0,1.0,1.0,0.9932375316990701,0.992467043314501,1.0,1.0,1.0,1.0
