rowname	Negative_sample	skin_derived	virus	lab_contamination
3alikevirus	0	1	0	0
77likevirus	0	1	0	0
Aalivirus	0	0	1	0
Abiotrophia	1	0	0	1
Abyssicoccus	1	0	0	0
Acaryochloris	1	0	0	0
Acetilactobacillus	1	0	0	0
Acetivibrio	1	0	0	0
Acetobacter	1	1	0	0
Acetobacterium	1	1	0	0
Acholeplasma	1	1	0	0
Achromobacter	1	1	0	0
Acidaminococcus	1	1	0	0
Acidiferrobacter	1	0	0	0
Acidimicrobium	1	1	0	0
Acidiphilium	1	1	0	0
Acidipropionibacterium	1	0	0	0
Acidithiobacillus	1	1	0	0
Acidobacterium	1	1	0	0
Acidothermus	1	1	0	0
Acidovorax	1	1	0	1
Aciduliprofundum	1	0	0	0
Acimevirus	0	0	1	0
Acinetobacter	1	1	0	1
Actantavirinae	0	0	1	0
Actinobacillus	1	1	0	0
Actinocatenispora	1	0	0	0
Actinomadura	1	0	0	0
Actinoplanes	1	1	0	0
Actinopolyspora	1	0	0	0
Actinosynnema	0	1	0	0
Actinovirus	0	0	1	0
Acuticoccus	1	0	0	0
Acutodesmus	0	1	0	0
Adenoviridae	0	0	1	0
Adhaeretor	1	0	0	0
Advenella	1	1	0	0
Aequorivita	0	1	0	0
Aerococcus	1	1	0	0
Aeromicrobium	1	0	0	1
Aeromonas	1	1	0	0
Aerosticca	1	0	0	0
Afipia	1	0	0	1
Aggregatibacter	1	1	0	0
Aggregatimonas	1	0	0	0
Agnathovirus	0	0	1	0
Agreia	1	0	0	0
Agrobacterium	1	1	0	0
Akkermansia	1	1	0	0
Albetovirus	0	0	1	0
Alcaligenes	1	0	0	0
Alcanivorax	1	1	0	0
Alefpapillomavirus	0	0	1	0
Aleptorquevirus	0	0	1	0
Aleyavirus	0	0	1	0
Aleybvirus	0	0	1	0
Alicycliphilus	1	1	0	0
Alicyclobacillus	1	1	0	0
Aliivibrio	1	1	0	0
Alistipes	1	1	0	0
Alkalihalobacillus	1	0	0	0
Alkalilimnicola	1	1	0	0
Alkalimarinus	1	0	0	0
Alkaliphilus	1	1	0	0
Allexivirus	0	0	1	0
Alloacidobacterium	1	0	0	0
Allochromatium	1	1	0	0
Allomyces	0	1	0	0
Allosaccharopolyspora	1	0	0	0
Almendravirus	0	0	1	0
Alphaarterivirus	0	0	1	0
Alphabaculovirus	0	1	1	0
Alphabaculovirusalterchrincludentis	0	0	1	0
Alphabaculovirusaltermaconfiguratae	0	0	1	0
Alphabaculovirusanpernyi	0	0	1	0
Alphabaculovirusaucalifornicae	0	0	1	0
Alphabaculovirusbomori	0	0	1	0
Alphabaculoviruschofumiferanae	0	0	1	0
Alphabaculovirushelarmigerae	0	0	1	0
Alphabaculovirusheleucae	0	0	1	0
Alphabaculoviruslonobliquae	0	0	1	0
Alphabaculoviruspeluscae	0	0	1	0
Alphacarmovirus	0	0	1	0
Alphachrysovirus	0	0	1	0
Alphacoronavirus	0	0	1	0
Alphacoronavirus1	0	0	1	0
Alphacrustrhavirus	0	0	1	0
Alphadintovirus	0	0	1	0
Alphaendornavirus	0	0	1	0
Alphaflexiviridae	0	0	1	0
Alphafusarivirus	0	0	1	0
Alphahymrhavirus	0	0	1	0
Alphahypovirus	0	0	1	0
Alphahypovirusamericanum	0	0	1	0
Alphairidovirinae	0	0	1	0
Alphamesonivirus	0	0	1	0
Alphamesoniviruscavallyense	0	0	1	0
Alphanecrovirus	0	0	1	0
Alphanemrhavirus	0	0	1	0
Alphanucleorhabdovirus	0	0	1	0
Alphanudivirus	1	0	1	0
Alphapapillomavirus	0	1	1	0
Alphapaprhavirus	0	0	1	0
Alphapartitivirus	0	0	1	0
Alphapolyomavirus	0	0	1	0
Alphapolyomavirustertipanos	0	0	1	0
Alpharetrovirus	0	1	1	0
Alpharhabdovirinae	0	0	1	0
Alpharicinrhavirus	0	0	1	0
Alphatetraviridae	0	0	1	0
Alphatorquevirus	0	0	1	0
Alphavirus	0	0	1	0
Alphayadokarivirus	0	0	1	0
Altererythrobacter	1	0	0	0
Alternavirus	0	0	1	0
Alteromonas	1	1	0	0
Alvernaviridae	0	0	1	0
Alysiella	1	0	0	0
Amalgavirus	0	0	1	0
Ambidensovirus	0	1	1	0
Amdoparvovirus	0	0	1	0
Aminipila	1	0	0	0
Aminobacter	1	0	0	0
Ammonifex	0	1	0	0
Ampelovirus	0	0	1	0
Amphibacillus	0	1	0	0
Ampivirus	0	0	1	0
Amplylivirus	0	0	1	0
Ampobartevirus	0	0	1	0
Amycolatopsis	1	1	0	0
Amycolicicoccus	0	1	0	0
Anabaena	1	1	0	0
Anaerococcus	1	1	0	0
Anaerolinea	1	1	0	0
Anaeromyxobacter	1	1	0	0
Anaplasma	1	0	0	0
Anatilimnocola	1	0	0	0
Anativirus	0	0	1	0
Ancylobacter	1	0	0	0
Andurilvirus	0	0	1	0
Anelloviridae	0	0	1	0
Aneurinibacillus	1	0	0	0
Angainorvirus	0	0	1	0
Anicalvirus	0	0	1	0
Anidravirus	0	0	1	0
Anoxybacillus	1	1	0	0
Anphevirus	0	0	1	0
Anseongella	1	0	0	0
Antennavirus	0	0	1	0
Anulavirus	0	0	1	0
Aparavirus	0	0	1	0
Apdecimavirus	1	0	0	0
Aphthovirus	0	0	1	0
Apibacter	1	0	0	0
Apilactobacillus	1	0	0	0
Apscaviroid	0	0	1	0
Aquabacterium	1	0	0	1
Aquabirnavirus	0	0	1	0
Aqualaruvirus	0	0	1	0
Aquamavirus	0	0	1	0
Aquambidensovirus	0	0	1	0
Aquaparamyxovirus	0	0	1	0
