"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","group"
"GO:0004031","MF","GO:0004031","aldehyde oxidase activity",2,1,1.5189827478297,0.000216250428738037,0.10961493954477,0.10961493954477,2,"tags=100%, list=1%, signal=100%","493909/316424","MA"
"GO:0006805","BP","GO:0006805","xenobiotic metabolic process",2,1,1.5189827478297,0.000216250428738037,0.10961493954477,0.10961493954477,2,"tags=100%, list=1%, signal=100%","493909/316424","MA"
"GO:0016623","MF","GO:0016623","oxidoreductase activity, acting on the aldehyde or oxo group of donors, oxygen as acceptor",2,1,1.5189827478297,0.000216250428738037,0.10961493954477,0.10961493954477,2,"tags=100%, list=1%, signal=100%","493909/316424","MA"
"GO:0016903","MF","GO:0016903","oxidoreductase activity, acting on the aldehyde or oxo group of donors",2,1,1.5189827478297,0.000216250428738037,0.10961493954477,0.10961493954477,2,"tags=100%, list=1%, signal=100%","493909/316424","MA"
"GO:0043546","MF","GO:0043546","molybdopterin cofactor binding",2,1,1.5189827478297,0.000216250428738037,0.10961493954477,0.10961493954477,2,"tags=100%, list=1%, signal=100%","493909/316424","MA"
"GO:0051536","MF","GO:0051536","iron-sulfur cluster binding",2,1,1.5189827478297,0.000216250428738037,0.10961493954477,0.10961493954477,2,"tags=100%, list=1%, signal=100%","493909/316424","MA"
"GO:0070925","BP","GO:0070925","organelle assembly",12,-0.727429714144521,-1.86047345623719,0.00119372114612134,0.544575586860553,0.544575586860553,13,"tags=42%, list=6%, signal=41%","81740/84020/313278/29613/100360334","MA"
"GO:2000649","BP","GO:2000649","regulation of sodium ion transmembrane transporter activity",5,-0.8863084313174,-1.7572936585416,0.00214908170340083,0.74754205811667,0.74754205811667,24,"tags=80%, list=12%, signal=72%","24907/54348/290533/84020","MA"
"GO:0031224","CC","GO:0031224","intrinsic component of membrane",42,0.576967945772909,1.72066009058714,0.00183037729286087,0.74754205811667,0.74754205811667,52,"tags=52%, list=26%, signal=49%","493909/316424/114506/85431/24560/309135/63845/116548/362861/257645/59323/25390/303439/498328/89816/64018/54251/689560/192154/311857/364786/29598","MA"
"GO:0016021","CC","GO:0016021","integral component of membrane",41,0.576130126861603,1.71177000082989,0.00248709461932543,0.74754205811667,0.74754205811667,25,"tags=32%, list=12%, signal=35%","493909/316424/114506/85431/24560/309135/63845/116548/362861/257645/59323/25390/303439","MA"
