,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
chr9:135881633-135883078,38.492459417064,1.25825049038747,0.114860802115038,10.9545682009714,6.31789552932678e-28,9.59056541351805e-25
chr4:186706563-186709845,23.3136214922758,1.70809497716181,0.160961098502172,10.6118496522237,2.62500339254062e-26,1.99237757493833e-23
chr12:120154970-120155719,14.9596659999489,1.59542587556565,0.15292251005521,10.4329040570263,1.75442729452514e-25,8.87740211029722e-23
chr8:127890589-127890998,10.0758827389602,2.93451227551914,0.285752596873093,10.2694159480286,9.67888392329214e-25,3.67313644888937e-22
chr6:130926605-130956499,10.9538349626261,-1.82940196233691,0.181110910500996,-10.1010036185912,5.46796935202171e-24,1.66007549527379e-21
chr7:100812747-100813208,13.0893509521006,1.54681000634297,0.164807834707194,9.38553685321517,6.2596729587924e-21,1.58369725857448e-18
chr5:38523419-38530666,3.50652784028415,-3.74669077142324,0.414557509568164,-9.03780702302581,1.5984624745706e-19,3.46638005199738e-17
chr9:110972073-110973558,12.0577879978177,-1.60027537004322,0.182971748695564,-8.7460243532231,2.21001433699729e-18,4.19350220445235e-16
chr5:84060300-84066606,4.49248929270131,-2.73594602826781,0.31700442797685,-8.63062401282171,6.10181543640558e-18,1.02917287027374e-15
chr2:88801099-88804880,12.2136285277897,-1.53377565329976,0.182388197450978,-8.40940189516374,4.12106756134588e-17,6.25578055812304e-15
chrX:131749306-131794466,5.7055876260465,6.29458633324241,0.766631072966722,8.21071119499958,2.19882183597717e-16,3.03437413364849e-14
chr14:32090502-32117287,13.0450973556585,1.23404258959687,0.157492726299875,7.83555290831138,4.66784041132909e-15,5.9048181203313e-13
chr13:21167988-21168399,8.03598485205831,1.72256077503967,0.221812221667103,7.76585150310112,8.10985234591753e-15,9.46981220084832e-13
chr5:74634684-74636498,4.70305981872691,2.05122717125156,0.269420433218143,7.61348033907559,2.66811930295996e-14,2.89300364420944e-12
chr1:200043774-200120955,1.55557157215521,-3.34886958229331,0.441263613921122,-7.58927198310065,3.21707850235877e-14,3.25568344438707e-12
chr10:94030683-94032252,8.6176206893687,-1.41695760351353,0.189011922362032,-7.49665727857897,6.54658534378824e-14,6.2110728449191e-12
chr19:58392976-58393487,3.4391694890112,2.81292032804984,0.384854350435688,7.30905165776448,2.69034335270249e-13,2.40231835847199e-11
chr7:677229-711527,4.86385436269231,2.56125142825955,0.352027969424448,7.27570434942171,3.4461758966708e-13,2.90627500619238e-11
chr5:69174877-69175537,7.82239472701335,1.45362591242199,0.201006022512496,7.23175303034328,4.76798712578753e-13,3.8093707668134e-11
chr9:112268049-112297916,3.314088638021,2.5773885653431,0.35794179274975,7.20058014333364,5.99569038180844e-13,4.55072899979261e-11
chr8:144190784-144200541,1.9058782943588,4.39431084180493,0.613124210130988,7.16708094248331,7.66137393966887e-13,5.13591370117008e-11
