ID,X1032245.N_bwa.ciri2,X1039868.N_bwa.ciri2,X1042353.N_bwa.ciri2,X1042745.N_bwa.ciri2,X1043773.N_bwa.ciri2,X1045386.N_bwa.ciri2,X1045549.N_bwa.ciri2,X1046191.N_bwa.ciri2,X1046287.N_bwa.ciri2,X1046349.N_bwa.ciri2,X1046499.N_bwa.ciri2,X1047291.N_bwa.ciri2,X1047831.N_bwa.ciri2,X1047912.N_bwa.ciri2,X1048720.N_bwa.ciri2,X1049983.N_bwa.ciri2,X1050700.N_bwa.ciri2,X1051316.N_bwa.ciri2,X1054390.N_bwa.ciri2,X1056166.N_bwa.ciri2,X272577.N_bwa.ciri2,X451368.N_bwa.ciri2,X477022.N_bwa.ciri2,X515975.N_bwa.ciri2,X522638.N_bwa.ciri2,X548142.N_bwa.ciri2,X649867.N_bwa.ciri2,X685749.N_bwa.ciri2,X843725.N_bwa.ciri2,X99272.N_bwa.ciri2,,CircRNACount.1032245.N,CircRNACount.1039868.N,CircRNACount.1042353.N,CircRNACount.1042745.N,CircRNACount.1043773.N,CircRNACount.1045386.N,CircRNACount.1045549.N,CircRNACount.1046191.N,CircRNACount.1046287.N,CircRNACount.1046349.N,CircRNACount.1046499.N,CircRNACount.1047291.N,CircRNACount.1047831.N,CircRNACount.1047912.N,CircRNACount.1048720.N,CircRNACount.1049983.N,CircRNACount.1050700.N,CircRNACount.1051316.N,CircRNACount.1054390.N,CircRNACount.1056166.N,CircRNACount.272577.N,CircRNACount.451368.N,CircRNACount.477022.N,CircRNACount.515975.N,CircRNACount.522638.N,CircRNACount.548142.N,CircRNACount.649867.N,CircRNACount.685749.N,CircRNACount.843725.N,CircRNACount.99272.N,
chr2:115309239-115343912,2,2,2,0,0,2,9,0,4,2,2,4,0,2,2,3,6,0,11,3,0,4,0,9,3,6,4,3,5,4,3.133333333,2,2,2,0,1,1,4,0,4,1,2,4,2,1,2,2,4,0,6,3,0,4,0,6,3,5,3,1,5,3,2.433333333
chr3:4410865-4420146,0,6,3,3,2,4,9,0,3,4,3,4,0,3,2,6,2,3,0,4,3,2,4,0,0,2,7,4,2,3,2.933333333,1,5,2,2,2,3,6,0,1,3,1,3,1,2,1,4,2,1,2,2,3,2,3,1,0,1,4,3,2,3,2.572677596
chr10:103438015-103438808,2,5,5,3,5,2,5,4,5,4,2,5,5,9,0,0,0,4,4,5,5,7,10,5,3,5,6,2,4,7,4.266666667,1,1,1,0,1,1,4,3,1,2,2,5,4,5,1,0,0,3,3,4,4,3,4,1,3,4,1,1,3,3,3.299453552
chr9:33971651-33973237,3,7,12,4,16,10,13,3,9,4,10,4,7,6,0,5,9,7,3,10,6,3,13,3,11,3,4,6,10,10,7.033333333,0,2,9,2,11,2,5,1,3,2,4,2,4,3,0,1,1,2,2,5,3,2,8,0,3,2,2,5,4,5,5.131693989
chr21:44855210-44861271,11,6,6,5,7,14,18,12,5,7,10,12,8,5,11,3,8,7,13,7,9,10,8,4,6,7,6,13,4,8,8.333333333,5,4,3,4,5,5,4,2,1,2,4,1,4,2,3,1,2,5,7,1,4,6,2,3,4,4,2,5,2,3,5.87431694
chr12:46229153-46243314,21,32,23,26,33,47,35,22,24,19,24,32,21,11,9,55,8,17,27,23,28,16,35,33,23,26,26,20,31,38,26.16666667,11,19,15,18,25,30,25,15,14,11,20,21,10,5,4,36,6,8,15,14,16,11,22,20,17,14,17,12,18,25,21.39617486
chr9:33986760-34017189,3,0,2,2,5,0,7,2,0,3,4,3,3,6,3,5,2,0,2,2,2,4,4,4,0,2,2,2,3,3,2.666666667,2,0,1,1,3,1,2,2,0,3,3,2,1,4,2,1,1,0,1,1,1,3,2,4,1,1,1,2,2,3,2.191256831
chr8:131940499-131946633,2,0,4,5,3,6,10,4,0,0,3,3,0,4,2,3,0,0,0,6,2,3,3,5,3,5,5,4,7,3,3.166666667,2,1,2,5,3,5,9,2,0,0,1,2,0,1,2,2,1,1,0,4,2,3,2,2,3,1,2,4,6,2,2.756830601
chr7:66127704-66134374,2,5,0,3,6,3,5,10,4,5,13,9,4,4,0,3,10,5,2,8,3,2,6,6,4,12,9,2,9,13,5.566666667,0,2,1,2,1,2,4,7,2,0,6,5,2,2,0,2,3,2,1,4,1,2,0,2,1,8,4,1,5,5,4.091256831
chrX:119640692-119653040,0,2,0,2,5,0,5,4,2,0,0,2,0,3,0,6,0,6,0,2,3,0,3,2,3,0,6,6,4,4,2.333333333,1,2,1,2,4,1,5,3,2,1,0,2,0,1,0,5,1,5,1,2,2,0,3,2,2,1,4,5,1,4,2.218579235
