ID,CircRNACount-1032245-T,CircRNACount-1039868-T,CircRNACount-1042353-T,CircRNACount-1042745-T,CircRNACount-1043773-T,CircRNACount-1045386-T,CircRNACount-1045549-T,CircRNACount-1046191-T,CircRNACount-1046287-T,CircRNACount-1046349-T,CircRNACount-1046499-T,CircRNACount-1047291-T,CircRNACount-1047831-T,CircRNACount-1047912-T,CircRNACount-1048720-T,CircRNACount-1049983-T,CircRNACount-1050700-T,CircRNACount-1051316-T,CircRNACount-1054390-T,CircRNACount-1056166-T,CircRNACount-272577-T,CircRNACount-451368-T,CircRNACount-477022-T,CircRNACount-515975-T,CircRNACount-522638-T,CircRNACount-548142-T,CircRNACount-649867-T,CircRNACount-685749-T,CircRNACount-843725-T,CircRNACount-99272-T
chr10:110124017-110130486,1,2,2,1,1,1,2,1,3,2,2,5,0,12,1,0,1,2,1,1,0,1,6,5,5,0,2,12,2,2
chr3:128806372-128807671,3,1,0,2,2,2,4,2,5,1,0,1,2,2,0,0,3,1,2,0,1,1,1,1,1,1,2,2,2,2
chr18:9931810-9937066,5,2,1,4,3,3,2,2,2,1,7,0,4,3,3,3,6,0,1,2,1,3,1,2,0,1,1,5,8,3
chr16:31090775-31091342,7,1,2,4,1,10,4,4,10,6,5,5,0,9,2,2,8,3,1,6,3,7,3,3,4,6,2,12,6,7
chr19:19640085-19640571,4,4,1,1,2,4,3,4,7,3,4,4,3,3,4,1,3,2,3,5,1,2,2,3,1,6,2,2,5,0
chr2:201145378-201149835,3,2,5,1,5,3,1,3,6,2,2,2,0,4,0,0,1,1,3,2,1,1,2,3,0,8,2,1,1,0
chr22:41808875-41810291,4,9,0,14,8,10,5,6,10,7,5,28,9,17,8,7,21,3,9,6,1,8,6,4,8,2,6,16,6,5
chr1:155676548-155679512,13,12,17,2,9,15,1,7,13,6,5,7,5,5,5,8,12,7,6,2,3,9,6,10,9,10,3,4,23,17
chr12:19462510-19473355,2,0,1,0,5,3,0,0,4,3,3,0,1,5,5,1,1,3,2,0,1,2,6,4,2,0,2,3,3,3
chr4:41013583-41014398,5,0,0,3,0,0,1,1,2,2,2,2,4,7,1,0,7,3,4,2,0,1,2,4,1,1,3,5,1,0
chr1:59339958-59346398,1,2,1,4,2,3,1,2,2,2,3,0,5,0,1,0,0,3,4,2,0,3,1,1,4,2,2,2,2,2
chr11:118583809-118584644,2,3,1,1,0,1,1,1,1,1,2,2,1,1,2,2,1,1,2,4,6,2,1,1,2,2,1,2,5,2
chr9:5968019-5988545,5,1,0,2,1,2,0,2,0,0,2,3,3,0,1,1,5,2,2,1,0,1,0,1,3,3,0,2,3,4
chr11:65499716-65499830,1,4,2,2,12,3,4,1,6,5,5,2,3,3,3,1,3,1,8,1,3,2,3,6,2,6,0,1,7,2
chr10:68468123-68470163,2,9,6,6,15,5,2,3,3,3,7,16,4,6,6,9,15,2,6,4,3,9,5,2,9,2,3,7,4,3
