"","chr","start","end","value"
"1","chr1",139943398,139956356,0
"2","chr1",143712491,143718900,0
"3","chr1",143712491,143723739,0
"5","chr1",150887401,150961642,0
"6","chr1",15488392,15494771,0
"8","chr1",162639900,162643789,0
"11","chr1",201183051,201188802,0
"12","chr1",216370170,216382773,0
"15","chr1",220039308,220049075,0
"16","chr1",221158617,221158790,0
"17","chr1",234383455,234538951,0
"18","chr1",236196243,236229567,0
"20","chr1",247944245,247945662,0
"21","chr1",253120469,253134791,0
"22","chr1",267063007,267092775,0
"25","chr10",110101466,110101880,0
"26","chr10",16706378,16730140,0
"27","chr10",35876013,35876397,0
"28","chr10",46101744,46129892,0
"30","chr10",57634023,57634588,0
"31","chr10",590904,593608,0
"32","chr10",67973997,67982051,0
"33","chr10",71303915,71311129,0
"34","chr10",71546978,71557193,0
"35","chr10",72369079,72371838,0
"37","chr11",31943121,31955266,0
"39","chr11",45057153,45059922,0
"42","chr11",70570466,70585055,0
"43","chr11",79529343,79611741,0
"45","chr12",14689166,14703546,0
"46","chr12",15075273,15098764,0
"47","chr12",1975318,1979802,0
"48","chr12",24505864,24511621,0
"49","chr12",24672112,24675150,0
"50","chr12",43576497,43576734,0
"51","chr12",47286246,47286938,0
"53","chr12",8323968,8356308,0
"54","chr12",8349428,8356308,0
"55","chr12",8442273,8443772,0
"56","chr12",9061581,9062262,0
"58","chr13",101704470,101715410,0
"59","chr13",26277463,26280241,0
"61","chr13",52565958,52566266,0
"62","chr13",68736732,68756721,0
"63","chr13",69023733,69031223,0
"64","chr13",69077866,69083366,0
"65","chr13",76979427,77004245,0
"66","chr13",97022518,97023051,0
"67","chr14",106488333,106500203,0
"68","chr14",17407714,17408515,0
"69","chr14",28786814,28836518,0
"70","chr14",44440261,44456717,0
"71","chr14",81667646,81672500,0
"72","chr14",91797457,91804795,0
"73","chr15",51936366,51954838,0
"74","chr15",70790038,70792497,0
"76","chr16",2115374,2126628,0
"77","chr16",2115374,2128403,0
"78","chr16",2138232,2166520,0
"80","chr17",19160994,19321551,0
"82","chr17",43258446,43290432,0
"83","chr17",5511386,5571375,0
"84","chr17",5514017,5571375,0
"85","chr17",55297976,55307299,0
"86","chr17",5532157,5571375,0
"87","chr17",70309152,70310609,0
"88","chr17",79367996,79383074,0
"90","chr17",83502435,83539887,0
"91","chr17",9912158,9929565,0
"93","chr18",14595550,14616707,0
"94","chr18",16536783,16538604,0
"95","chr18",17282002,17289722,0
"97","chr18",57338957,57345061,0
"98","chr18",63784568,63844188,0
"99","chr18",75203861,75207308,0
"101","chr19",29642344,29645344,0
"102","chr19",32512909,32528958,0
"103","chr19",34249087,34346224,0
"104","chr19",34270069,34298610,0
"105","chr19",34292209,34346224,0
"106","chr19",34298523,34312530,0
"107","chr2",117545216,117666646,0
"109","chr2",141024600,141026192,0
"111","chr2",150755405,150756431,0
"112","chr2",157066595,157105004,0
"113","chr2",187525295,187532740,0
"114","chr2",220435620,220441299,0
"115","chr2",227293654,227302440,0
"116","chr2",230311167,230317038,0
"117","chr2",24065908,24073884,0
"118","chr2",247883196,247883725,0
"119","chr2",258868022,258932200,0
"122","chr2",38006903,38014366,0
"123","chr2",5636554,5640909,0
"124","chr2",56451097,56456188,0
"125","chr2",57320683,57321619,0
"128","chr2",80226167,80234308,0
"129","chr2",86868285,86964272,0
"130","chr20",14319170,14348042,0
"131","chr20",21951779,21959614,0
"132","chr20",21978047,21986948,0
"133","chr20",27409750,27415954,0
"134","chr20",45189472,45193661,0
"136","chr3",111713473,111723079,0
"137","chr3",13510410,13522529,0
"138","chr3",160491308,160495240,0
"139","chr3",161474539,161487731,0
"140","chr3",21828368,21904269,0
"141","chr3",33003598,33006797,0
"142","chr3",50948203,50963230,0
"143","chr3",54509941,54548558,0
"144","chr3",54509941,54566332,0
"146","chr3",59653911,59680308,0
"147","chr3",59678949,59680308,0
"148","chr3",71788186,71826755,0
"150","chr3",94736244,94745177,0
"151","chr4",117422680,117446827,0
"152","chr4",125762257,125789911,0
"153","chr4",125771760,125789911,0
"154","chr4",133205267,133215619,0
"156","chr4",161652798,161658514,0
"157","chr4",168213382,168221653,0
"158","chr4",182811463,182826795,0
"159","chr4",26336094,26341599,0
"160","chr4",38263240,38271681,0
"161","chr4",50180977,50200342,0
"162","chr4",66322916,66349158,0
"163","chr5",100957656,100977901,0
"164","chr5",102432516,102434485,0
"165","chr5",103089622,103172127,0
"166","chr5",122659399,122678330,0
"169","chr5",139394727,139421497,0
"170","chr5",142152201,142154418,0
"171","chr5",64346707,64358597,0
"172","chr5",74954384,74956829,0
"173","chr5",75293219,75297323,0
"174","chr5",75968777,75975620,0
"175","chr5",7777226,7780390,0
"176","chr5",92962208,92983896,0
"177","chr6",104828874,104846483,0
"178","chr6",104862169,104864968,0
"180","chr6",136430192,136436620,0
"181","chr6",1613963,1614878,0
"183","chr6",21539861,21540152,0
"184","chr6",28022406,28051704,0
"185","chr6",4298605,4315062,0
"186","chr6",76491315,76492176,0
"187","chr6",78285568,78353348,0
"188","chr6",871525,894714,0
"189","chr7",119987740,119990759,0
"190","chr7",124180911,124182706,0
"191","chr7",140415223,140417547,0
"193","chr7",70688610,70731463,0
"195","chr7",97702398,97703700,0
"196","chr8",102143262,102147002,0
"197","chr8",103809557,103825693,0
"198","chr8",104199588,104202285,0
"199","chr8",117318623,117334586,0
"200","chr8",119447348,119465058,0
"202","chr8",124353233,124355370,0
"203","chr8",130006477,130031678,0
"204","chr8",21481642,21490337,0
"205","chr8",33252442,33279218,0
"206","chr8",45691134,45747011,0
"207","chr8",64205386,64233082,0
"208","chr8",64724416,64749357,0
"209","chr8",64724416,64763815,0
"210","chr8",72823430,72828397,0
"211","chr8",73720946,73729461,0
"212","chr8",73720946,73737419,0
"213","chr8",78229134,78233432,0
"214","chr9",100584962,100588953,0
"215","chr9",112023471,112027242,0
"217","chr9",18653895,18660843,0
"218","chr9",20817077,20839897,0
"219","chr9",37099083,37134593,0
"220","chr9",43968846,43977575,0
"221","chr9",66618610,66620541,0
"222","chr9",73752937,73799430,0
"223","chr9",94463647,94504892,0
"224","chrX",13905156,13917538,0
"225","chrX",139736501,139737195,0
"226","chrX",51692026,51719653,0
"227","chrX",52134152,52181132,0
"228","chrX",68338536,68352920,0
"229","chrX",75174388,75174831,0
