"","chr","start","end","value"
"1","chr10",57634023,57634588,0
"2","chr17",5524117,5530105,0
"3","chr17",5537447,5571375,0
"4","chr2",45801786,45859187,0
"5","chr1",198429807,198432232,0
"6","chr9",110908611,110925546,0
"7","chr16",26628565,26633439,0
"8","chr20",3196267,3282058,0
"9","chr9",50898458,50906966,0
"10","chr19",54803498,54822499,0
"11","chr3",45982255,46003286,0
"12","chr4",181396179,181412674,0
"13","chr1",221065774,221067559,0
"14","chr5",105114416,105114740,0
"15","chr6",871525,894714,0
"16","chr17",46675533,46693522,0
"17","chr5",113906799,113929853,0
"18","chr1",251455609,251463748,0
"19","chr2",185384780,185394131,0
"20","chr5",161794861,161804292,0
"21","chr13",75177963,75192743,0
"22","chr16",80780733,80793376,0
"23","chr8",33252442,33279218,0
"24","chr1",203286679,203317455,0
"25","chr17",63265406,63279012,0
"26","chr15",23840157,23871649,0
"27","chr20",4460788,4476929,0
"28","chr2",128599095,128636642,0
"29","chr8",33572918,33597389,0
"30","chr5",129413066,129528945,0
"31","chr1",281834156,281857037,0
"32","chr6",93404013,93407172,0
"33","chr6",135790445,135797661,0
"34","chr8",76897417,76904745,0
"35","chrX",114972099,114978572,0
"36","chr5",160138672,160148528,0
"37","chr5",119128606,119129476,0
"38","chr5",70552374,70557544,0
"39","chr1",220015523,220016193,0
"40","chr16",74219791,74228826,0
"41","chr4",50180977,50200342,0
"42","chr1",260498142,260507970,0
"43","chr8",57791873,57797597,0
"44","chr6",22362488,22376735,0
"45","chr10",82753288,82754555,0
"46","chr1",260487029,260507970,0
"47","chr2",33252541,33258660,0
"48","chr5",129413066,129475869,0
"49","chr1",244630341,244757847,0
"50","chr7",18416266,18417952,0
"51","chr18",48443339,48521166,0
"52","chr2",79322029,79336064,0
"53","chr7",137216397,137281978,0
"54","chr15",45503286,45513468,0
"55","chr1",165646261,165654319,0
"56","chr1",246648294,246657760,0
"57","chr4",99275917,99277560,0
"58","chrX",75174388,75174831,0
"59","chr18",81724770,81726644,0
"60","chr5",36040325,36054615,0
"61","chr18",301858,306376,0
"62","chr2",210725271,210781694,0
"63","chr12",8442273,8443772,0
"64","chr7",140415223,140417547,0
"65","chr1",244629853,244728217,0
"66","chr6",12179226,12179776,0
"67","chr4",96736381,96787475,0
"68","chr14",106488333,106500203,0
"69","chr15",2965953,2966833,0
"70","chr7",144080565,144084759,0
"71","chr15",2849126,2867333,0
"72","chr1",1841452,1846589,0
"73","chr6",3324175,3334117,0
"74","chr8",70203322,70206310,0
"75","chr19",34292209,34312530,0
"76","chr11",64795077,64800821,0
"77","chr2",209143856,209152642,0
"78","chr2",34476081,34503654,0
"79","chr4",632256,642336,0
"80","chr1",244650351,244664389,0
"81","chr11",34611539,34614139,0
"82","chr14",113906516,113922713,0
"83","chr2",172312783,172350004,0
"84","chr9",81258380,81275269,0
"85","chr5",103106261,103201011,0
"86","chr15",25320488,25335135,0
"87","chr18",72571325,72611211,0
"88","chr10",38622808,38633058,0
"89","chr18",27977700,27984766,0
"90","chr5",167486001,167558250,0
"91","chr12",628708,632694,0
"92","chr4",133205267,133215619,0
"93","chr13",106507146,106507561,0
"94","chr13",74923279,74933949,0
"95","chr10",96672236,96722491,0
"96","chr14",85057352,85061960,0
"97","chr13",101729059,101732557,0
"98","chr9",1473647,1485363,0
"99","chr8",127289436,127301219,0
"100","chr2",188055409,188059148,0
"101","chr12",8323968,8356308,0
"102","chr1",127025462,127025957,0
"103","chr10",73854212,73857079,0
"104","chr6",894593,907083,0
"105","chr4",66214543,66219277,0
"106","chr17",37911319,37913118,0
"107","chr3",175512077,175516165,0
"108","chr4",66193731,66214585,0
"109","chr12",47290206,47292049,0
"110","chr3",128277040,128314209,0
"111","chr3",94736244,94745177,0
"112","chr3",150384228,150387116,0
"113","chr9",75222546,75230161,0
"114","chr2",4143950,4174344,0
"115","chr5",105185997,105187360,0
"116","chr14",45668936,45691895,0
"117","chr4",66463926,66473208,0
"118","chr2",2903491,2918203,0
"119","chr8",6135492,6161740,0
"120","chr13",109457218,109588736,0
"121","chr10",4624614,4629886,0
"122","chr10",48460656,48484868,0
"123","chr8",67801800,67812158,0
"124","chr17",86845723,86873000,0
"125","chrX",52581092,52679268,0
"126","chr10",48659695,48684279,0
"127","chr8",26267895,26271172,0
"128","chr1",177389638,177397572,0
"129","chr6",122735612,122745664,0
"130","chr1",259479327,259488326,0
"131","chr17",24032670,24045965,0
"132","chr16",7060974,7067145,0
"133","chr14",6612028,6622491,0
"134","chr2",231078900,231128709,0
"135","chr14",81267948,81280976,0
"136","chr18",1337228,1346489,0
"137","chr1",217779008,217782988,0
"138","chr14",106153575,106167943,0
"139","chr17",79761095,79789485,0
"140","chr8",23508992,23560371,0
"141","chr2",23399715,23410608,0
"142","chr4",29740458,29769899,0
"143","chr18",4217010,4246828,0
"144","chr12",51582921,51584301,0
"145","chr5",75968777,75975620,0
"146","chr19",22113525,22179584,0
"147","chr4",66322916,66331714,0
"148","chr13",78836820,78847234,0
"149","chr4",152214416,152266040,0
"150","chr18",69642130,69657373,0
"151","chr4",115104274,115142108,0
"152","chrX",35344847,35352097,0
"153","chr9",51400307,51404424,0
"154","chr17",75588946,75616081,0
"155","chr3",133108204,133122763,0
"156","chr15",41008529,41011344,0
