ID,CircRNACount-1032245-P,CircRNACount-1039868-P,CircRNACount-1042353-P,CircRNACount-1042745-P,CircRNACount-1043773-P,CircRNACount-1045386-P,CircRNACount-1045549-P,CircRNACount-1046191-P,CircRNACount-1046287-P,CircRNACount-1046349-P,CircRNACount-1046499-P,CircRNACount-1047291-P,CircRNACount-1047831-P,CircRNACount-1047912-P,CircRNACount-1048720-P,CircRNACount-1049983-P,CircRNACount-1050700-P,CircRNACount-1051316-P,CircRNACount-1054390-P,CircRNACount-1056166-P,CircRNACount-272577-P,CircRNACount-451368-P,CircRNACount-477022-P,CircRNACount-515975-P,CircRNACount-522638-P,CircRNACount-548142-P,CircRNACount-649867-P,CircRNACount-685749-P,CircRNACount-843725-P,CircRNACount-99272-P
chr2:47373463-47374048,11,2,2,2,1,1,4,1,6,1,6,7,1,4,2,5,3,6,4,3,2,0,2,4,4,5,10,4,1,5
chr12:40028301-40048210,3,0,0,0,1,7,2,3,5,8,4,5,3,3,0,0,0,1,0,0,2,2,2,0,2,4,0,3,3,1
chr4:25127264-25159107,4,2,1,2,2,2,1,2,5,1,6,3,2,5,2,1,2,2,4,1,1,0,4,6,1,7,2,5,4,2
chr7:27629371-27649633,3,3,6,6,6,12,7,6,8,7,15,4,12,13,1,6,1,2,3,4,3,9,14,4,9,3,10,5,5,5
chr5:73058433-73077493,4,3,6,4,3,13,3,8,7,8,13,3,3,7,5,2,4,8,7,6,3,2,7,2,3,6,3,2,7,4
chr1:180003174-180006567,3,1,2,2,1,3,6,3,2,1,2,2,0,4,1,2,2,3,4,2,2,2,5,2,6,1,4,6,2,3
chr5:139600372-139614966,5,4,2,6,3,5,10,3,3,4,10,11,5,7,2,3,0,2,7,2,2,5,5,1,6,3,3,3,4,2
chr5:50399107-50411383,0,14,8,4,10,16,17,10,16,8,18,15,10,41,8,6,7,5,7,9,10,11,12,11,12,9,9,13,18,6
chr1:42265115-42323827,2,4,5,0,2,2,3,3,2,0,3,2,3,6,0,1,1,0,6,0,1,1,3,0,1,1,2,0,2,1
chr15:44717718-44718023,2,5,3,6,6,10,10,2,7,11,7,0,1,8,2,1,3,5,7,2,1,2,8,5,3,3,1,4,3,5
chrM:11872-12020,1,0,1,1,3,0,6,8,1,4,8,4,3,1,5,2,1,2,7,3,0,6,3,2,7,5,8,4,6,5
chr10:13127745-13136897,1,7,1,2,3,4,4,5,6,3,13,7,6,9,4,1,3,6,1,2,1,2,2,0,10,4,2,5,2,3
chr1:180984677-181005463,0,2,4,1,3,5,6,3,2,1,7,6,1,3,0,4,0,2,3,1,3,3,5,2,5,1,3,3,3,3
chr22:41808875-41813822,2,2,4,8,1,1,4,3,1,2,3,4,3,4,3,4,4,1,3,1,1,3,0,4,2,4,4,2,2,4
chr6:27867300-27867587,4,6,3,2,6,1,2,10,1,5,18,2,6,8,6,2,1,0,7,2,2,2,7,5,3,13,6,3,2,2
chr2:8888018-8958642,6,0,2,3,0,2,1,2,1,2,5,0,1,2,2,3,2,4,1,1,3,0,8,0,2,2,5,1,0,1
