"","ciri2_ids","dcc_ids"
"1","chr10:57634023-57634588","chr16:26628565-26633439"
"2","chr17:5537447-5571375","chr17:5524117-5571375"
"3","chr2:45801786-45859187","chr7:70790920-70792642"
"4","chr1:198429807-198432232","chr17:12322146-12352876"
"5","chr9:110908611-110925546","chr5:75293219-75297323"
"6","chr11:14700873-14721315","chr14:6612028-6622491"
"7","chr16:26628565-26633439","chr3:112896028-112899649"
"8","chr20:3196267-3282058","chr2:198280135-198281465"
"9","chr9:71915420-71927987","chr8:67801800-67812158"
"10","chrX:53462398-53466375","chr4:49210934-49232570"
"11","chr5:105114416-105114740","chr14:43400193-43461320"
"12","chr6:871525-894714","chr8:64724416-64763815"
"13","chr3:3399474-3414759","chr17:84872804-84888911"
"14","chr17:46675533-46693522","chr6:7623900-7698590"
"15","chr5:136437825-136510629","chr10:18396548-18408534"
"16","chr2:35086861-35104742","chr3:166603133-166626821"
"17","chr1:251455609-251463748","chr18:16536783-16538604"
"18","chr13:75177963-75192743","chr4:22084945-22091386"
"19","chr16:80780733-80793376","chr2:29095988-29114770"
"20","chr15:48231960-48241781","chr1:8846801-8860029"
"21","chr8:33252442-33279218","chr6:125714812-125719457"
"22","chr1:203286679-203317455","chr2:247836113-247883725"
"23","chr17:63265406-63279012","chr12:51547469-51547651"
"24","chr6:76576170-76608864","chr19:19333724-19342877"
"25","chr8:33572918-33597389","chr9:51469347-51524024"
"26","chr5:129413066-129528945","chr4:31194859-31319352"
"27","chr1:281834156-281857037","chr8:117093748-117096728"
"28","chr6:135790445-135797661","chr6:3324175-3334117"
"29","chr8:76897417-76904745","chr4:147692061-147692909"
"30","chrX:114972099-114978572","chr2:220435620-220441299"
"31","chr5:119128606-119129476","chr2:188298849-188309036"
"32","chr2:93573750-93581750","chr5:7725207-7751246"
"33","chr19:54803498-54815443","chr7:140716906-140717103"
"34","chr17:83567831-83589045","chr4:5644287-5652694"
"35","chr13:95230647-95348984","chr14:86326421-86326743"
"36","chr1:220015523-220016193","chr1:61388743-61406321"
"37","chr16:74219791-74228826","chr9:17136368-17136401"
"38","chr4:50180977-50200342","chr5:152136-152639"
"39","chr6:22362488-22376735","chr1:243079518-243080161"
"40","chr5:136420698-136510629","chr8:79330090-79373380"
"41","chr2:33252541-33258660","chr3:81134588-81143240"
"42","chr7:18416266-18417952","chr4:158103902-158108668"
"43","chr18:48443339-48521166","chr1:142755857-142766844"
"44","chr7:137216397-137281978","chr1:238642193-238668962"
"45","chr12:5625442-5634452","chr18:59207484-59245202"
"46","chr1:12086530-12134025","chr16:3060713-3072642"
"47","chr1:165646261-165654319","chr12:5743414-5743744"
"48","chr1:246648294-246657760","chr19:22143683-22179584"
"49","chr4:99275917-99277560","chr10:13487742-13488841"
"50","chrX:75174388-75174831","chr6:147114190-147123388"
"51","chr17:23684383-23701761","chr1:221158214-221158288"
"52","chr18:81724770-81726644","chr15:6349802-6464312"
"53","chr10:48418262-48419844","chr10:77765225-77772738"
"54","chr5:36040325-36054615","chrX:119109035-119109793"
"55","chr18:301858-306376","chr5:135173506-135197087"
"56","chr7:140415223-140417547","chr15:109120332-109141568"
"57","chr6:12179226-12179776","chr3:157039863-157040380"
"58","chr4:96736381-96787475","chr2:38096882-38110573"
"59","chr9:65361368-65366621","chr13:83643437-83660292"
"60","chr14:28519958-28536253","chr1:184041764-184061174"
"61","chr15:2965953-2966833","chr1:24002856-24002885"
"62","chr9:84367943-84370769","chr9:73766839-73799430"
"63","chr15:2849126-2867333","chr1:249461093-249463431"
"64","chr1:1841452-1846589","chr16:23555919-23600154"
"65","chr8:84732711-84748991","chr5:90818736-90827570"
"66","chr5:122580014-122593611","chr9:111597035-111618959"
"67","chr6:3324175-3334117","chr10:792229-802135"
"68","chr17:79573257-79644806","chr6:38745004-38762910"
"69","chr8:70203322-70206310","chr2:33252541-33258660"
"70","chr19:34292209-34312530","chr19:22373973-22382073"
"71","chr11:64795077-64800821","chr7:141440384-141440585"
"72","chr2:209143856-209152642","chr8:79712522-79714223"
"73","chr2:34476081-34503654","chr10:845975-846239"
"74","chr4:632256-642336","chr8:64139289-64145423"
"75","chr11:34611539-34614139","chr10:63412175-63416200"
"76","chr11:69045322-69068514","chr12:25008872-25012091"
"77","chr9:66751637-66774536","chr2:34577937-34578047"
"78","chr9:66604896-66620541","chr11:86824053-86834088"
"79","chr2:172312783-172350004","chr4:179704611-179707414"
"80","chr9:81258380-81275269","chr4:99275917-99291251"
"81","chr5:103106261-103201011","chr2:195799805-195800424"
"82","chr15:25320488-25335135","chr1:11904587-11904762"
"83","chr10:38622808-38633058","chr18:57338957-57345061"
"84","chr15:41967686-41976920","chr4:8223840-8242710"
"85","chr5:167486001-167558250","chr5:146964481-146974020"
"86","chr6:78285568-78353348","chr6:72717570-72737402"
"87","chr12:628708-632694","chr7:140415833-140417547"
"88","chr6:129864989-129878486","chr1:264674065-264678002"
"89","chr20:50444171-50448905","chr12:628708-636629"
"90","chr4:133205267-133215619","chr8:61701009-61715390"
"91","chr13:106507146-106507561","chr6:10364061-10364198"
"92","chr10:96672236-96722491","chr11:79529343-79667277"
"93","chr14:85057352-85061960","chr5:158071477-158074209"
"94","chr13:101729059-101732557","chr6:144189453-144275272"
"95","chrX:99852198-99900275","chr16:71106269-71107647"
"96","chr9:1473647-1485363","chr9:66751637-66758584"
"97","chr8:127289436-127301219","chr8:117318623-117334586"
"98","chr3:140045036-140061239","chr8:104493052-104514522"
"99","chr8:116550008-116559036","chr1:253147925-253148277"
"100","chr9:50929639-50970555","chr11:89434192-89447041"
"101","chr17:18369555-18375993","chr10:48460656-48470732"
