"","chr","start","end","value"
"1","chr5",139600372,139623461,4.03333333333333
"2","chr2",226906793,226914351,6.46666666666667
"3","chr17",67891844,67894165,1.96666666666667
"4","chr3",152414941,152432920,4.7
"5","chr19",9652953,9660874,2.76666666666667
"6","chr6",47283938,47286595,35.2
"7","chr9",121161856,121166180,2.13333333333333
"8","chr1",52515891,52526373,3.5
"9","chr7",2229984,2230727,1.63333333333333
"10","chr20",21340721,21346550,1.8
"11","chr5",124701014,124701269,5.9
"12","chr6",72295937,72333835,4.53333333333333
"13","chr14",55612019,55619312,2.73333333333333
"14","chr20",41092472,41101353,9.8
"15","chr18",9524594,9525851,18.5
"16","chr11",68759569,68761687,4
"17","chr10",94441896,94443423,2.16666666666667
"18","chr19",58260851,58263676,2.03333333333333
"19","chr4",74174506,74225394,2.43333333333333
"20","chr12",101714090,101716812,3.8
"21","chr17",59764971,59773885,3.13333333333333
"22","chr5",65988635,65994864,16.8666666666667
"23","chr12",95208843,95211267,8.93333333333333
"24","chr11",86007542,86031611,8.03333333333333
"25","chr6",158707230,158725637,1.46666666666667
"26","chr9",109050283,109050692,2.46666666666667
"27","chr20",63928335,63931022,1.6
"28","chr1",8495063,8541318,1.6
"29","chr18",63280887,63281214,2.36666666666667
"30","chr13",112516440,112527484,3.9
"31","chr13",28256292,28261458,5.03333333333333
"32","chr7",150233035,150237608,1.8
"33","chr9",33996223,34017189,2.3
"34","chr14",96560649,96565214,1.5
"35","chr2",196912882,196923125,3.3
"36","chr7",139266333,139272440,2.93333333333333
"37","chr1",26729651,26732792,27.6333333333333
"38","chr3",50065031,50066502,6.46666666666667
"39","chr11",73707420,73718718,13.5666666666667
"40","chr2",199308760,199433514,3.53333333333333
"41","chr19",21974729,21988909,17.6333333333333
"42","chr18",46890580,46903635,4.66666666666667
"43","chr15",64499293,64500166,44.3333333333333
"44","chrX",65051462,65075912,10.0333333333333
"45","chr1",58506060,58536741,6.03333333333333
"46","chr18",54271360,54277855,2.13333333333333
"47","chr8",47394978,47407961,2.4
"48","chr2",15551493,15558634,2.73333333333333
"49","chrX",53645311,53654131,2.43333333333333
"50","chr7",8022483,8071131,3.06666666666667
"51","chr12",32598497,32601423,3.16666666666667
"52","chr12",22643763,22673660,1.96666666666667
"53","chr15",44328685,44338317,1.7
"54","chr22",21799012,21807846,2.36666666666667
"55","chr11",120476661,120477526,2.16666666666667
"56","chr8",134812610,134813169,2.96666666666667
"57","chr17",76007060,76010543,1.9
"58","chr8",140818277,140890769,6.4
"59","chr12",69589485,69592159,6.93333333333333
"60","chr16",31090775,31091342,9.7
"61","chr2",69356496,69363670,1.86666666666667
"62","chr8",130358017,130361771,2.06666666666667
"63","chr11",59658866,59659469,2.26666666666667
"64","chr8",89722015,89725641,1.96666666666667
"65","chr11",77683710,77693611,17.3666666666667
"66","chr2",115309239,115343912,2.53333333333333
"67","chr21",15014344,15045323,1.43333333333333
"68","chr2",147972739,147982081,4.46666666666667
"69","chr11",36393846,36403378,3.73333333333333
"70","chr5",78128030,78165672,1.7
"71","chr22",44802077,44825593,1.86666666666667
"72","chr8",38819522,38820635,4.5
"73","chr5",88220563,88245792,3.7
"74","chr6",79042843,79060818,5.43333333333333
"75","chr1",92605307,92636336,3.43333333333333
"76","chr18",58165788,58252054,2.5
"77","chr3",52737586,52741499,2.06666666666667
"78","chr20",10556231,10560820,6.03333333333333
"79","chr15",94440176,94458246,3.36666666666667
"80","chr1",32592931,32593754,1.66666666666667
"81","chr7",105073619,105077433,4.53333333333333
"82","chr11",118581246,118584644,3.8
"83","chr3",52204693,52206751,1.73333333333333
"84","chr7",22266964,22318037,5.1
"85","chr11",96091892,96093517,15.9
"86","chr1",10095461,10105744,2.56666666666667
"87","chr20",48953556,48963898,4.26666666666667
"88","chr1",77801331,77815231,3.7
"89","chrX",102839801,102905737,2.7
"90","chr3",119503532,119517315,3.66666666666667
"91","chr13",24477701,24478276,1.76666666666667
"92","chr5",69174877,69175537,5.4
"93","chr22",41808875,41813822,3.93333333333333
"94","chr6",13632370,13644729,10.3
"95","chr1",805799,810170,6.86666666666667
"96","chr15",25405461,25411971,33.4
"97","chr4",22401431,22402799,3.63333333333333
"98","chr2",229858772,229880128,3.33333333333333
"99","chr21",39228500,39229436,4
"100","chr20",62139075,62140944,6.53333333333333
"101","chr1",52493611,52509712,4.63333333333333
"102","chr7",66991137,66994341,3
"103","chr11",118583179,118584644,2.23333333333333
"104","chr7",80789306,80810701,5.53333333333333
"105","chr2",71396141,71418639,8.83333333333333
"106","chr2",199308760,199328910,11.9666666666667
"107","chr2",30525587,30533314,5.33333333333333
"108","chr2",54982515,54987698,9.1
"109","chr1",197595208,197715074,1.66666666666667
"110","chr11",76463821,76472840,3.2
"111","chr10",110596398,110598290,5.06666666666667
"112","chr2",15488894,15534641,1.93333333333333
"113","chr16",58559804,58560362,6.03333333333333
"114","chr2",85368686,85371562,4.83333333333333
"115","chr2",199348701,199433514,8.93333333333333
"116","chr4",51863437,51891851,13.2
"117","chr3",71690010,71699708,3.3
"118","chr4",139137630,139139497,3.86666666666667
"119","chr19",29985223,29986417,3.83333333333333
"120","chr10",21713772,21727928,2.43333333333333
"121","chr11",108227595,108235834,3.5
"122","chr1",99993537,99999415,2.03333333333333
"123","chr1",94487542,94491247,1.5
"124","chr1",51402435,51408332,7.76666666666667
"125","chr11",85996826,86001158,2.3
"126","chr5",50399107,50411383,17.3
"127","chr2",58221942,58232112,22
"128","chr12",70278132,70311017,4.06666666666667
"129","chr14",67761366,67762819,1.9
"130","chr17",42498924,42501304,6.23333333333333
"131","chr1",27105885,27109777,1.63333333333333
"132","chr1",247138716,247159813,4
"133","chr15",85113873,85121014,19.4
"134","chr17",42500707,42501304,7.13333333333333
"135","chr2",175970764,175995646,3.06666666666667
"136","chr8",37870420,37877551,7.53333333333333
"137","chr15",65178934,65180204,4.03333333333333
"138","chr18",54277703,54287411,2.86666666666667
"139","chr11",129123446,129164427,1.76666666666667
"140","chr10",68487144,68506718,1.56666666666667
"141","chr9",131436620,131439061,2.6
"142","chr2",120127688,120175000,4.83333333333333
"143","chr16",87975048,87984259,7.3
"144","chr12",55700899,55701154,4.86666666666667
"145","chrX",13666317,13680598,1.73333333333333
"146","chr10",5699525,5714207,5.36666666666667
"147","chr5",146254943,146258593,3.8
"148","chr15",58912563,58913696,2.1
"149","chr11",120474560,120477526,6.7
"150","chr17",4282798,4296814,10.1333333333333
"151","chr11",74789626,74817714,3.63333333333333
"152","chr17",49311312,49312845,7.63333333333333
"153","chr1",205616478,205623891,41.8333333333333
"154","chr11",68185781,68190152,2
"155","chr10",68959806,68960249,1.63333333333333
"156","chr5",139363759,139364743,6.86666666666667
"157","chr17",67945409,67948306,10
"158","chr16",53155926,53157541,6.26666666666667
"159","chr19",21405129,21405856,2.8
"160","chr9",83682951,83686155,5.06666666666667
"161","chr3",16286342,16303592,4.2
"162","chr9",93471141,93476338,16.2
"163","chr15",42260958,42268032,6.06666666666667
"164","chr17",63760914,63766194,2.06666666666667
"165","chr19",57776543,57780146,2.73333333333333
