"ID","MA2","MA4","MA5","MA7","SA25","SA28","SA30","SA32","HA17","HA18","HA19","N-1","N-2","N-3","N-4"
"chr10:57634023-57634588",4,5,7,0,6,6,6,8,18,17,6,5,12,7,2
"chr17:5524117-5530105",10,0,5,0,0,0,2,0,0,4,0,0,3,4,6
"chr17:5537447-5571375",0,0,0,0,3,2,2,0,0,5,2,2,4,2,2
"chr2:45801786-45859187",5,3,4,2,4,5,0,5,7,8,3,3,3,4,3
"chr1:198429807-198432232",3,6,4,0,2,0,5,3,2,2,2,3,0,0,9
"chr9:110908611-110925546",15,7,0,7,7,0,3,4,3,4,5,3,0,0,4
"chr11:14700873-14721315",0,0,2,0,0,0,2,0,6,2,0,3,0,0,0
"chr16:26628565-26633439",6,5,0,6,3,2,10,3,12,9,2,6,11,9,6
"chr9:50898458-50906966",0,0,0,0,0,7,0,0,0,0,4,2,2,7,0
"chr9:71915420-71927987",0,2,2,3,0,3,2,0,0,3,6,0,0,0,5
"chr7:41322521-41326655",4,5,0,0,0,0,0,0,0,0,0,0,0,2,0
"chr4:181396179-181412674",0,2,8,3,3,3,0,0,0,4,0,4,4,5,3
"chr1:221065774-221067559",3,8,10,0,0,0,3,0,2,0,0,4,4,0,4
"chr5:105114416-105114740",3,14,5,5,5,6,3,6,15,14,4,6,10,10,3
"chr6:871525-894714",0,2,0,2,3,7,3,2,13,13,5,2,4,3,5
"chr3:3399474-3414759",6,0,6,0,0,0,2,3,6,0,2,0,4,0,0
"chr15:4124785-4129118",4,6,0,0,0,0,0,0,0,2,0,0,0,0,0
"chr5:136437825-136510629",0,0,0,0,0,0,3,0,0,5,4,0,0,2,0
"chr2:35086861-35104742",3,2,0,0,2,3,3,3,2,12,3,0,5,0,0
"chr1:251455609-251463748",6,0,5,6,10,3,9,9,11,28,9,12,14,14,8
"chr5:161794861-161804292",3,0,3,5,0,0,0,2,0,0,0,4,3,2,2
"chr13:75177963-75192743",6,0,2,0,2,0,4,4,2,7,0,2,2,2,0
"chr16:80780733-80793376",3,0,7,0,9,0,0,0,5,9,0,0,11,8,9
"chr15:48231960-48241781",2,0,2,0,0,3,0,0,0,2,3,0,0,0,0
"chr8:33252442-33279218",13,12,12,13,16,8,21,10,38,25,15,12,14,18,11
"chr17:63265406-63279012",2,0,0,0,0,3,0,0,4,2,0,13,6,2,3
"chr15:23840157-23871649",0,0,0,0,0,0,0,0,2,0,0,5,3,0,0
"chr6:76576170-76608864",4,3,0,0,2,0,2,4,3,0,3,5,2,0,0
"chr2:128599095-128636642",0,0,2,0,10,3,6,0,3,0,0,3,5,5,2
"chr8:33572918-33597389",5,6,6,3,7,0,10,6,12,13,0,5,7,6,10
"chr5:129413066-129528945",4,4,0,2,0,0,0,3,0,5,5,2,3,2,0
"chr1:281834156-281857037",8,6,11,4,0,3,6,3,11,14,4,10,15,9,7
"chr18:77291625-77308494",2,3,5,0,0,0,0,0,0,0,0,0,0,0,0
"chr6:135790445-135797661",4,6,2,6,5,4,0,4,5,10,7,4,4,4,5
"chr18:72189808-72194387",2,3,2,0,0,0,0,0,0,0,0,0,0,2,0
"chr8:76897417-76904745",3,5,11,0,3,5,5,3,7,5,3,5,7,5,0
"chr8:67019992-67021657",0,0,2,3,0,2,4,5,7,0,0,2,0,0,4
"chrX:114972099-114978572",0,0,2,0,7,0,2,0,5,2,2,0,0,5,6
"chr5:160138672-160148528",33,9,15,19,18,13,21,16,26,0,0,48,10,31,27
"chr18:48443339-48537979",4,3,3,0,2,0,0,0,0,0,0,0,0,2,0
"chr5:119128606-119129476",4,5,2,0,0,0,3,0,3,2,5,6,6,0,4
"chr5:70552374-70557544",0,0,0,0,3,0,0,0,0,3,0,0,0,4,4
"chr19:54803498-54815443",0,3,3,0,4,0,4,0,5,3,0,0,0,3,2
"chr17:83567831-83589045",2,0,2,0,3,0,5,2,6,5,2,2,5,0,0
"chr13:95230647-95348984",2,0,4,3,2,2,0,0,2,5,4,0,2,3,0
"chr1:220015523-220016193",5,5,3,0,3,0,0,0,6,13,10,5,8,3,2
"chr16:74219791-74228826",10,9,7,2,7,0,8,5,10,20,5,14,22,7,0
"chr8:46728894-46730691",3,4,0,0,0,0,0,2,0,7,0,0,0,0,0
"chr4:50180977-50200342",7,3,2,0,6,0,0,2,7,10,0,16,15,28,10
"chr1:260498142-260507970",0,2,5,0,3,4,3,0,0,2,0,2,4,3,7
"chr8:57791873-57797597",3,4,0,0,0,0,2,0,6,0,0,4,0,3,0
"chr6:22362488-22376735",4,3,2,2,4,2,5,7,3,6,5,4,9,11,0
"chr5:136420698-136510629",0,0,0,7,0,0,3,0,0,2,2,0,0,0,0
"chr1:260487029-260507970",0,0,0,0,0,3,0,0,0,0,0,2,2,2,0
"chr2:33252541-33258660",9,0,7,7,2,6,8,8,6,4,0,4,0,2,4
"chr5:129413066-129475869",0,0,3,0,0,0,0,2,0,0,0,2,2,2,0
"chr1:244630341-244757847",0,0,0,0,0,0,0,0,0,4,0,4,2,3,6
"chr7:18416266-18417952",4,5,0,3,0,3,0,0,8,9,5,6,11,9,2
"chr18:48443339-48521166",39,43,21,28,35,31,25,18,27,45,20,45,51,35,45
"chr7:137216397-137281978",0,2,0,2,0,0,4,0,4,5,0,3,3,0,10
"chr16:20606480-20606895",0,4,2,7,2,0,4,2,0,0,0,0,0,0,0
"chr17:90409044-90424571",4,0,4,0,0,0,0,0,0,0,0,0,0,4,0
"chr12:5625442-5634452",0,0,0,2,0,0,3,0,2,2,3,0,0,0,2
"chr1:165646261-165654319",12,17,10,12,11,8,12,20,14,15,25,14,13,6,16
"chr1:246648294-246657760",11,5,5,8,2,3,11,0,3,4,9,0,6,3,0
"chr4:99275917-99277560",3,2,0,0,0,0,0,6,5,5,0,0,5,0,3
"chrX:75174388-75174831",5,11,8,5,4,12,5,8,13,13,2,3,0,3,4
"chr6:21351085-21354603",6,0,0,4,3,0,0,0,0,5,0,0,0,0,2
"chr18:81724770-81726644",2,0,2,4,7,0,0,3,6,4,4,2,0,3,3
"chr10:48418262-48419844",0,0,0,2,0,0,0,0,5,5,0,4,0,0,0
"chr5:36040325-36054615",12,7,4,6,7,4,13,8,6,6,6,7,8,12,15
"chr18:301858-306376",8,2,0,0,0,0,0,0,0,5,4,3,5,0,0
"chr12:8442273-8443772",0,0,0,0,0,0,0,0,0,3,0,5,6,7,5
"chr7:140415223-140417547",2,2,0,4,0,0,8,0,13,7,3,3,0,0,4
"chr6:12179226-12179776",13,7,10,6,10,9,7,5,4,11,12,11,8,11,7
"chr4:96736381-96787475",7,6,12,3,9,6,5,10,2,6,12,10,16,9,13
"chr2:22264781-22267377",0,0,0,0,0,3,5,4,0,3,0,0,0,2,0
"chr14:106488333-106500203",0,0,0,3,0,0,0,0,0,0,0,2,3,3,6
"chr6:103389817-103393554",5,0,3,0,0,0,4,0,0,0,0,0,0,4,2
"chr15:2965953-2966833",6,0,0,4,0,2,5,2,0,2,2,0,3,2,2
"chr9:84367943-84370769",6,0,2,0,0,0,0,0,0,3,3,2,0,0,0
"chr15:2849126-2867333",9,4,7,0,14,10,13,10,8,20,6,14,15,18,24
"chr1:1841452-1846589",0,4,2,2,5,0,4,5,3,8,2,3,5,2,2
"chr8:84732711-84748991",0,2,0,0,0,0,0,0,3,0,2,0,0,0,0
"chr5:122580014-122593611",3,0,0,0,0,0,0,0,4,3,0,0,0,0,2
"chr6:3324175-3334117",4,0,8,0,0,2,2,3,0,3,9,6,5,2,0
"chr17:79573257-79644806",11,3,8,6,6,3,4,0,2,3,0,6,0,0,0
"chr8:70203322-70206310",26,29,22,22,28,14,23,20,36,59,38,34,34,26,28
"chr19:34292209-34312530",2,4,3,2,5,0,3,3,4,0,10,0,9,3,0
"chr11:64795077-64800821",2,0,4,4,0,0,0,0,3,2,4,0,2,3,2
"chr2:209143856-209152642",6,2,6,3,17,0,6,5,5,8,5,7,9,3,6
"chr2:34476081-34503654",16,7,5,10,0,3,5,4,4,6,2,2,3,0,4
"chr4:632256-642336",11,7,3,0,3,2,5,0,6,3,3,6,8,3,0
"chr11:34611539-34614139",33,28,26,16,34,38,35,11,40,36,28,19,34,22,27
"chr14:113906516-113922713",0,2,4,2,3,0,2,3,0,4,0,3,8,4,2
"chr9:66751637-66774536",3,4,0,3,6,0,0,2,4,5,5,0,5,2,0
"chr2:172312783-172350004",10,3,3,2,0,0,5,2,3,5,0,6,4,3,5
"chr9:81258380-81275269",16,17,8,16,15,9,20,13,19,18,10,14,33,19,25
"chr5:103106261-103201011",5,2,0,4,10,7,6,8,6,14,6,11,14,19,14
"chr15:25320488-25335135",0,0,0,0,0,0,0,2,0,4,4,0,5,7,2
"chr18:72571325-72611211",0,5,5,0,3,0,6,0,0,2,0,5,0,2,3
"chr10:38622808-38633058",9,7,4,3,6,5,9,7,8,11,7,14,12,15,8
"chr18:27977700-27984766",0,3,0,0,2,0,3,0,0,0,0,0,3,0,5
"chr5:167486001-167558250",12,3,0,6,0,6,2,2,2,2,4,4,7,6,3
"chr6:78285568-78353348",0,0,2,0,0,0,0,2,7,2,6,0,0,2,2
"chr12:628708-632694",2,2,3,9,7,7,0,0,5,11,7,11,10,9,7
"chr6:129864989-129878486",0,0,0,0,0,0,2,0,2,4,0,0,0,0,0
"chr4:133205267-133215619",18,22,3,5,2,0,3,0,5,6,13,3,3,6,0
