"","chr","start","end","value"
"1","chr10",57634023,57634588,0
"2","chr17",5537447,5571375,0
"3","chr2",45801786,45859187,0
"4","chr1",198429807,198432232,0
"5","chr9",110908611,110925546,0
"6","chr16",26628565,26633439,0
"7","chr20",3196267,3282058,0
"8","chr19",54803498,54822499,0
"9","chr4",181396179,181412674,0
"10","chr5",105114416,105114740,0
"11","chr6",871525,894714,0
"12","chr2",35086861,35104742,0
"13","chr1",251455609,251463748,0
"14","chr13",75177963,75192743,0
"15","chr8",33252442,33279218,0
"16","chr1",203286679,203317455,0
"17","chr6",76576170,76608864,0
"18","chr6",906886,907083,0
"19","chr3",54455979,54566332,0
"20","chr2",128599095,128636642,0
"21","chr8",33572918,33597389,0
"22","chr1",281834156,281857037,0
"23","chr6",135790445,135797661,0
"24","chr8",76897417,76904745,0
"25","chr8",67019992,67021657,0
"26","chr5",160138672,160148528,0
"27","chr19",54803498,54815443,0
"28","chr17",83567831,83589045,0
"29","chr16",74219791,74228826,0
"30","chr1",260498142,260507970,0
"31","chr6",22362488,22376735,0
"32","chr2",33252541,33258660,0
"33","chr18",48443339,48521166,0
"34","chr16",20606480,20606895,0
"35","chr1",165646261,165654319,0
"36","chr1",246648294,246657760,0
"37","chrX",75174388,75174831,0
"38","chr18",81724770,81726644,0
"39","chr5",36040325,36054615,0
"40","chr6",12179226,12179776,0
"41","chr4",96736381,96787475,0
"42","chr2",22264781,22267377,0
"43","chr15",2965953,2966833,0
"44","chr15",2849126,2867333,0
"45","chr1",1841452,1846589,0
"46","chr6",3324175,3334117,0
"47","chr17",79573257,79644806,0
"48","chr8",70203322,70206310,0
"49","chr19",34292209,34312530,0
"50","chr2",209143856,209152642,0
"51","chr2",34476081,34503654,0
"52","chr4",632256,642336,0
"53","chr1",244650351,244664389,0
"54","chr11",34611539,34614139,0
"55","chr14",113906516,113922713,0
"56","chr9",81258380,81275269,0
"57","chr5",103106261,103201011,0
"58","chr18",72571325,72611211,0
"59","chr10",38622808,38633058,0
"60","chr5",167486001,167558250,0
"61","chr12",628708,632694,0
"62","chr20",50444171,50448905,0
"63","chr14",85057352,85061960,0
"64","chr13",101729059,101732557,0
"65","chr9",1473647,1485363,0
"66","chr8",127289436,127301219,0
"67","chr17",18369555,18375993,0
"68","chr12",24285582,24285875,0
"69","chr1",127025462,127025957,0
"70","chr10",91965974,91973005,0
"71","chr4",66193731,66214585,0
"72","chr3",94736244,94745177,0
"73","chr9",75222546,75230161,0
"74","chr5",105185997,105187360,0
"75","chr14",45668936,45691895,0
"76","chr4",66463926,66473208,0
"77","chr2",2903491,2918203,0
"78","chr13",109457218,109588736,0
"79","chr10",4624614,4629886,0
"80","chr4",22238040,22345152,0
"81","chrX",52581092,52679268,0
"82","chr3",118399578,118409116,0
"83","chr12",6404013,6419916,0
"84","chr17",65855661,65896119,0
"85","chr17",24032670,24045965,0
"86","chr14",6612028,6622491,0
"87","chr2",231078900,231128709,0
"88","chr14",81267948,81280976,0
"89","chr1",217779008,217782988,0
"90","chr17",79761095,79789485,0
"91","chr8",23508992,23560371,0
"92","chr5",172949060,172965700,0
"93","chr2",23399715,23410608,0
"94","chr2",62955690,62956953,0
"95","chr12",51582921,51584301,0
"96","chr5",75968777,75975620,0
"97","chr18",69642130,69657373,0
"98","chrX",35344847,35352097,0
"99","chr3",133108204,133122763,0
"100","chr15",41008529,41011344,0
"101","chr10",77765225,77772738,0
"102","chr13",69016108,69031223,0
"103","chr13",81156728,81162420,0
"104","chr10",66595570,66597359,0
"105","chr9",38321692,38326937,0
"106","chr1",166208849,166259335,0
"107","chr14",69800154,69819258,0
"108","chr1",253120469,253134791,0
"109","chr14",79953865,79974054,0
"110","chr8",130006477,130031678,0
"111","chr2",188301023,188309036,0
"112","chr12",24271680,24273857,0
"113","chr12",24513410,24524704,0
"114","chr9",53492939,53508890,0
"115","chr11",34612627,34614139,0
"116","chr11",34612627,34631134,0
"117","chr3",61781151,61813898,0
"118","chr19",12691066,12796904,0
"119","chr9",11217254,11219449,0
