"","chr","start","end","value"
"1","chr7",24623666,24650712,2.76666666666667
"2","chr20",35653528,35659014,5.43333333333333
"3","chr19",5047476,5082504,3.46666666666667
"4","chr11",65500443,65500517,3.5
"5","chrM",8666,8818,4.3
"6","chr9",35546430,35548535,1.9
"7","chr8",18765449,18804898,2.7
"8","chr10",7797047,7802854,15.3
"9","chr5",66053406,66054951,2.86666666666667
"10","chr1",44308310,44339322,2.76666666666667
"11","chr11",65500459,65500538,4.8
"12","chr9",112268049,112297916,3.96666666666667
"13","chr15",64974602,64983593,2.26666666666667
"14","chr11",118786052,118786518,3.56666666666667
"15","chr15",89113725,89116521,9.26666666666667
"16","chr2",120127688,120175004,3.63333333333333
"17","chr6",158282263,158314268,13.7666666666667
"18","chr14",39033517,39033642,2.3
"19","chrM",4671,4757,6.66666666666667
"20","chr15",67231814,67236820,6.43333333333333
"21","chr11",65499691,65499915,2.93333333333333
"22","chrM",11318,11572,2.23333333333333
"23","chr4",82871944,82875822,3.2
"24","chr11",13413530,13445181,1.9
"25","chr19",19640085,19640571,2.96666666666667
"26","chr4",1900626,1918623,1.86666666666667
"27","chr2",147896301,147899898,7.03333333333333
"28","chr6",138943513,138944622,8.8
"29","chr17",59731421,59738947,5.96666666666667
"30","chr15",63553715,63563008,1.7
"31","chr4",150761783,150808398,1.96666666666667
"32","chr10",49915917,49935142,3.13333333333333
"33","chr2",226906793,226914351,2.63333333333333
"34","chr12",46239679,46254936,2.3
"35","chr17",82563354,82568201,2.9
"36","chr6",87215903,87218731,7.36666666666667
"37","chr16",30728966,30729572,8.2
"38","chrM",6834,7154,7.26666666666667
"39","chrM",11868,12017,1.6
"40","chr2",30525587,30533314,2.63333333333333
"41","chr22",32478981,32479275,3.56666666666667
"42","chr12",28305649,28307749,2.86666666666667
"43","chr12",6510279,6510532,1.9
"44","chr9",77337255,77371149,2.3
"45","chr9",133019628,133019840,2.36666666666667
"46","chr4",151174670,151187463,1.56666666666667
"47","chr6",47503280,47504758,2.06666666666667
"48","chrX",100862171,100863595,2.1
"49","chrM",6584,6700,3
"50","chr14",80497469,80530886,2.33333333333333
"51","chrM",9055,9183,3.66666666666667
"52","chr17",46170855,46172232,8.16666666666667
"53","chr14",49862577,49862646,4.03333333333333
"54","chr10",97436417,97437750,2.06666666666667
"55","chr7",76502388,77002252,3.1
"56","chr14",49586732,49586863,2.06666666666667
"57","chr8",140864312,140890769,5.93333333333333
"58","chr13",32535769,32537027,2
"59","chr11",65501247,65501561,5.53333333333333
"60","chr11",65422818,65423113,4.16666666666667
"61","chr19",1274441,1274626,2
"62","chr2",64551443,64553409,2.16666666666667
"63","chr7",140355668,140358785,5.03333333333333
"64","chr2",199380364,199433514,2.5
"65","chr2",45546732,45562756,4.03333333333333
