ID,1032245.P,1039868.P,1042353.P,1042745.P,1043773.P,1045386.P,1045549.P,1046191.P,1046287.P,1046349.P,1046499.P,1047291.P,1047831.P,1047912.P,1048720.P,1049983.P,1050700.P,1051316.P,1054390.P,1056166.P,272577.P,451368.P,477022.P,515975.P,522638.P,548142.P,649867.P,685749.P,843725.P,99272.P,1032245.T,1039868.T,1042353.T,1042745.T,1043773.T,1045386.T,1045549.T,1046191.T,1046287.T,1046349.T,1046499.T,1047291.T,1047831.T,1047912.T,1048720.T,1049983.T,1050700.T,1051316.T,1054390.T,1056166.T,272577.T,451368.T,477022.T,515975.T,522638.T,548142.T,649867.T,685749.T,843725.T,99272.T
chr5:139600372-139623461,5,0,4,0,0,5,4,3,6,6,5,5,2,17,6,0,3,2,2,2,3,4,4,6,5,4,2,4,7,5,8,0,6,0,4,3,4,0,3,0,5,0,3,2,0,0,2,3,8,2,0,0,4,0,2,0,0,0,4,3
chr2:226906793-226914351,7,5,6,3,5,10,9,4,2,6,7,10,6,15,6,3,2,4,10,6,2,5,14,3,8,7,11,12,2,4,7,2,2,6,3,5,0,2,5,0,7,3,3,2,2,2,8,4,0,10,0,0,8,2,7,5,0,3,2,2
chr3:152414941-152432920,6,5,7,3,2,5,9,6,6,6,9,4,6,6,5,4,2,0,5,2,6,2,4,2,6,3,4,4,6,6,3,0,0,0,4,5,2,2,0,0,0,0,2,0,0,0,0,0,7,0,2,0,0,0,4,4,2,4,5,4
chr19:9652953-9660874,7,0,3,3,2,3,4,4,2,6,3,2,4,5,3,3,0,0,4,2,0,3,4,0,5,3,3,5,0,0,4,2,2,2,3,4,0,0,0,0,3,3,2,0,0,4,4,3,0,3,0,2,2,0,4,0,2,6,4,0
chr6:47283938-47286595,35,37,33,26,39,46,46,39,51,48,45,49,45,45,36,21,32,20,31,31,27,22,29,25,65,43,33,14,22,21,184,26,7,38,40,49,25,35,14,22,33,28,47,21,24,19,41,25,25,55,36,47,24,20,16,68,23,17,35,40
chr9:121161856-121166180,2,0,0,0,0,2,8,0,3,2,2,2,4,4,2,2,0,0,3,3,5,3,0,0,3,3,0,2,5,4,0,0,2,2,0,2,0,0,0,0,2,0,2,0,4,0,3,0,4,0,0,3,0,2,2,0,0,0,2,0
chr1:52515891-52526373,4,4,4,0,0,4,8,0,0,7,7,6,2,7,0,7,5,0,5,3,6,2,5,3,0,2,3,3,5,3,3,0,3,4,5,3,0,0,2,0,2,3,0,6,0,0,0,0,2,2,2,0,2,0,0,0,2,4,5,3
chr7:2229984-2230727,3,3,0,0,0,3,2,0,0,0,0,2,2,0,3,2,2,2,2,2,2,3,0,0,0,4,3,2,3,4,3,2,0,2,5,0,0,2,4,4,4,5,0,3,2,2,2,4,0,0,0,0,0,3,2,2,0,10,0,5
chr5:124701014-124701269,6,4,4,5,4,11,7,5,4,10,13,4,8,14,11,7,0,3,8,4,6,6,9,2,0,0,9,4,5,4,10,0,2,6,0,2,0,8,2,7,6,2,0,2,3,2,3,0,0,5,0,6,2,2,0,0,4,8,3,3
chr14:55612019-55619312,7,4,0,0,4,4,4,0,4,5,2,4,0,0,3,4,2,4,3,0,0,2,4,0,0,3,6,3,5,5,2,0,0,0,0,0,2,0,2,0,0,3,0,0,0,4,2,0,5,4,0,5,0,0,0,0,0,0,0,3
chr20:41092472-41101353,6,10,3,10,6,15,18,17,12,6,12,9,9,17,3,2,7,6,12,5,10,5,14,6,20,11,12,12,12,7,10,4,4,10,11,14,4,7,12,7,21,6,3,7,7,3,13,6,9,5,3,11,6,0,9,7,5,13,14,7
chr18:9524594-9525851,22,17,11,12,15,29,22,14,18,19,21,27,20,25,14,7,15,11,22,18,11,23,28,5,33,13,34,16,22,11,14,5,6,5,6,2,4,3,7,9,8,4,10,7,7,5,7,7,8,8,3,16,0,6,0,12,6,25,6,6
chr11:68759569-68761687,5,4,3,0,0,5,5,10,6,7,8,3,5,12,3,0,3,4,0,0,0,3,3,5,4,4,4,3,7,4,7,0,0,0,0,0,2,4,0,0,2,0,0,4,0,0,2,3,0,0,3,2,4,2,0,2,0,0,0,4
chr10:94441896-94443423,2,2,2,3,2,3,3,0,0,3,0,2,3,5,3,0,3,3,3,0,0,0,3,2,4,0,5,4,5,0,0,2,2,2,0,2,0,0,0,0,0,0,0,3,0,0,0,5,0,0,2,0,0,2,0,3,4,3,3,0
chr19:58260851-58263676,3,0,3,0,0,6,3,3,3,4,4,3,0,3,0,5,2,0,2,3,0,0,4,0,5,0,3,0,2,0,0,5,0,0,3,3,2,0,2,2,2,2,4,0,2,5,4,0,2,0,0,5,2,0,2,0,0,3,0,0
chr12:101714090-101716812,0,2,2,5,4,6,6,4,0,3,5,7,7,12,7,2,2,0,4,0,3,4,4,3,0,5,6,4,3,4,0,0,7,5,0,0,0,0,2,0,0,0,0,9,2,0,4,2,0,0,0,4,2,0,0,2,5,3,0,4
chr17:59764971-59773885,4,3,3,3,4,5,3,2,5,9,5,8,0,3,2,4,0,2,3,2,3,0,3,0,4,0,5,0,7,2,2,3,3,0,2,0,0,3,0,6,5,3,0,4,0,3,0,2,3,0,0,0,3,3,2,0,2,4,6,0
chr5:65988635-65994864,10,12,16,11,12,24,30,14,15,23,29,16,21,40,4,17,11,8,10,11,18,17,17,12,26,11,20,14,17,20,13,5,13,6,14,11,5,7,9,5,21,2,6,17,9,4,6,8,10,5,5,7,8,5,3,10,5,9,8,12
chr12:95208843-95211267,9,2,5,4,10,25,11,3,16,11,15,8,8,12,6,4,12,6,10,5,13,2,11,6,10,12,12,9,7,4,27,11,2,6,5,9,8,8,26,7,14,12,15,5,9,2,15,9,13,7,8,10,9,5,9,19,9,26,15,9
chr11:86007542-86031611,5,4,8,3,5,15,10,8,10,12,12,9,11,16,7,5,2,2,4,11,10,11,7,8,12,8,8,3,8,7,7,5,7,11,10,9,3,4,8,6,3,9,4,8,0,5,6,3,5,3,0,10,11,5,7,5,2,7,11,8
chr1:8495063-8541318,3,0,4,0,3,5,2,2,2,0,2,3,0,2,0,2,2,0,2,0,2,2,3,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,4,0,2,0,3,2,3,0,2,0,0,2,0,0,0,0,2,0,0,0,2,2
chr18:63280887-63281214,3,2,2,0,2,0,4,0,3,0,3,3,6,4,3,0,4,2,5,3,7,2,0,2,2,0,3,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
chr13:112516440-112527484,5,0,3,3,2,6,6,0,4,3,11,7,5,7,0,3,0,2,8,4,4,5,8,0,3,4,3,4,3,4,2,2,2,15,6,9,3,4,0,3,13,3,4,7,3,4,8,5,4,10,2,3,4,2,11,6,2,2,0,5
chr13:28256292-28261458,5,7,5,2,3,9,0,8,3,4,10,3,7,9,6,4,4,2,6,6,3,8,6,5,6,0,7,5,5,3,8,2,5,0,2,8,0,8,3,2,4,0,5,2,0,2,7,3,5,3,3,5,5,3,9,3,0,6,4,4
chr7:150233035-150237608,0,0,0,4,0,3,3,3,4,5,0,0,0,3,0,0,6,2,2,0,3,0,2,0,0,0,4,4,2,4,0,5,0,0,5,4,3,0,0,3,8,0,0,6,0,0,2,0,0,5,2,2,2,2,5,0,4,0,3,2
chr9:33996223-34017189,6,2,0,0,0,3,5,3,0,7,5,4,0,3,2,2,2,0,2,0,0,3,2,0,3,3,6,2,2,2,0,0,2,2,8,3,0,0,2,0,2,5,5,2,0,0,0,6,2,0,4,7,5,0,2,0,5,5,2,6
chr2:196912882-196923125,0,2,8,0,0,4,0,6,4,4,10,4,2,6,3,6,0,5,7,0,0,0,7,9,0,3,6,0,0,3,3,4,4,6,3,8,5,0,6,5,0,7,5,13,0,3,2,3,3,3,2,14,4,0,3,3,2,84,4,7
chr1:26729651-26732792,30,23,25,15,23,40,41,30,38,29,39,26,27,35,17,23,17,27,35,17,24,22,32,21,35,25,38,27,27,21,40,11,11,15,18,21,14,16,33,22,30,15,19,39,19,12,33,20,17,12,5,21,9,17,21,20,21,28,14,21
chr3:50065031-50066502,7,3,2,2,7,5,7,9,6,6,8,9,9,13,2,4,7,8,8,4,3,7,9,5,7,8,6,11,4,8,4,3,3,4,8,4,3,2,2,4,7,7,3,6,0,3,11,4,7,3,2,0,9,0,5,4,4,12,7,5
chr11:73707420-73718718,9,9,7,7,14,11,19,17,15,10,16,15,21,23,8,10,10,12,12,12,12,9,17,7,15,17,18,21,19,15,10,6,16,3,20,11,6,6,17,8,11,8,8,7,5,6,8,17,4,13,3,7,9,6,7,18,5,13,9,8
chr2:199308760-199433514,6,4,6,2,3,2,9,0,5,2,13,2,2,3,5,0,0,4,6,0,0,2,6,2,6,2,0,3,4,7,5,0,0,0,9,4,0,3,4,0,2,6,0,0,2,0,6,0,6,2,0,2,2,3,0,2,0,0,0,0
chr19:21974729-21988909,18,10,8,9,12,26,28,18,13,15,29,24,26,36,20,19,8,7,3,14,14,20,13,8,31,20,24,19,22,15,12,0,6,0,0,2,0,5,15,0,5,2,0,2,5,0,4,4,0,0,0,0,4,2,7,11,3,12,7,7
chr18:46890580-46903635,6,0,3,3,5,6,4,4,0,5,5,6,5,6,9,3,2,7,2,7,7,3,2,4,6,12,5,4,9,0,2,4,0,0,0,5,0,4,2,2,0,0,0,4,3,0,5,2,0,2,0,3,0,0,4,3,0,4,2,7
chr15:64499293-64500166,33,24,24,24,40,43,63,59,49,45,76,50,49,60,36,36,33,40,70,54,53,41,47,21,52,44,51,42,40,31,28,26,17,24,28,18,14,22,43,13,28,10,31,27,13,23,28,20,39,28,13,35,23,17,8,48,8,69,23,23
chrX:65051462-65075912,8,14,10,4,13,18,13,9,12,14,24,16,8,12,8,4,7,7,12,8,7,8,6,3,14,7,11,6,9,9,11,3,12,8,11,9,2,3,9,4,12,8,4,7,6,0,3,6,4,6,0,11,8,2,15,4,2,8,3,13
chr1:58506060-58536741,3,4,4,2,10,14,7,12,4,5,3,8,2,11,0,0,8,0,9,8,4,3,8,12,10,7,8,5,5,5,4,4,6,3,10,9,0,5,3,0,3,0,7,7,2,5,4,5,6,6,0,2,0,3,4,0,5,6,4,8
chr18:54271360-54277855,0,0,0,0,3,2,5,3,0,4,2,0,3,9,0,4,0,0,2,0,2,4,3,2,4,0,3,5,2,2,0,0,0,0,2,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0
chrX:53645311-53654131,2,2,0,3,3,5,8,0,2,6,5,5,4,4,4,0,0,0,0,2,0,2,4,0,0,4,0,3,2,3,4,0,3,5,7,11,0,0,4,2,4,6,0,8,2,2,2,0,3,5,0,5,3,0,7,0,5,3,2,4
chr7:8022483-8071131,0,3,2,3,5,5,6,2,0,0,9,5,4,9,3,2,0,3,0,3,0,2,6,2,0,2,4,3,5,4,0,0,2,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
chr12:32598497-32601423,3,4,2,0,0,0,8,5,0,5,3,6,4,5,2,0,4,2,3,2,2,5,3,0,5,5,7,3,5,2,0,2,0,0,4,0,0,0,4,0,0,0,0,0,0,0,3,4,4,3,0,0,0,3,0,3,0,3,0,2
chr12:22643763-22673660,0,4,6,6,0,2,6,2,0,3,2,2,5,6,2,2,0,0,0,0,0,0,2,4,2,0,0,0,0,3,2,2,0,3,0,0,0,0,2,3,2,0,4,0,0,0,2,0,2,0,3,0,3,4,0,0,0,3,0,3
chr15:44328685-44338317,0,0,3,0,2,3,3,0,4,3,3,2,0,4,2,0,3,0,0,3,4,0,2,0,4,0,2,2,2,0,2,0,3,2,3,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,2,0,0,0,0,0,0,2,0
chr22:21799012-21807846,3,3,0,2,5,2,3,3,4,0,3,3,0,2,3,0,3,0,2,2,4,2,3,0,2,3,6,3,3,2,4,0,2,0,2,2,0,0,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr11:120476661-120477526,3,0,0,2,0,3,4,0,2,3,2,3,2,5,0,4,3,2,3,2,2,2,3,0,0,2,3,2,6,2,4,0,2,0,0,0,0,2,3,2,5,3,0,0,5,0,2,0,0,0,0,2,2,2,3,5,3,3,2,0
chr8:134812610-134813169,3,2,0,2,2,10,9,3,2,3,7,4,0,10,0,2,0,2,0,4,2,0,4,0,3,2,4,4,0,5,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
chr8:140818277-140890769,9,4,4,3,5,15,9,0,6,6,18,9,5,11,4,6,4,9,5,3,5,6,2,5,9,4,10,6,8,2,5,3,2,5,4,7,3,4,7,7,9,13,8,7,6,3,7,2,4,2,7,5,3,3,8,0,2,3,7,6
chr12:69589485-69592159,9,9,5,6,7,12,7,8,3,6,15,6,5,7,6,11,2,4,6,3,5,7,12,4,8,7,8,4,6,10,6,0,8,5,9,0,3,6,6,5,18,8,4,5,9,4,0,6,4,4,3,7,5,6,4,10,6,17,7,4
chr16:31090775-31091342,9,8,9,5,9,11,14,13,8,7,21,14,7,14,9,9,8,6,10,11,8,7,13,8,6,7,13,12,9,6,10,3,5,4,0,14,7,6,11,10,9,7,0,14,5,2,9,7,5,8,7,7,7,4,7,8,4,18,7,9
chr2:69356496-69363670,3,0,0,2,4,2,0,3,0,3,3,2,0,3,2,2,5,2,3,0,2,0,0,3,2,0,5,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,0,0,5,0,0
chr8:130358017-130361771,2,2,0,0,3,4,2,2,0,2,7,2,2,9,2,4,2,0,0,4,0,4,0,0,0,4,3,0,2,0,5,0,0,0,0,5,2,4,4,2,5,3,0,0,3,2,9,0,4,3,2,0,0,4,0,3,0,5,2,0
chr11:59658866-59659469,6,0,2,2,3,2,2,2,2,6,3,5,0,0,0,0,3,3,5,0,2,2,3,3,0,7,2,3,0,0,5,3,3,2,0,0,0,2,3,0,4,3,0,3,2,0,0,0,2,2,0,0,0,0,0,4,2,4,2,0
chr8:89722015-89725641,0,0,0,0,4,6,2,3,0,3,2,5,5,3,0,2,0,0,5,0,2,0,5,3,3,3,0,0,3,0,3,3,0,0,3,0,0,0,5,0,3,0,0,3,0,0,0,0,0,0,4,0,0,2,5,0,0,0,0,0
