"","ciri2_ids","dcc_ids"
"1","chr10:57634023-57634588","chr16:62536384-62544437"
"2","chr17:5524117-5530105","chr16:26628565-26633439"
"3","chr17:5537447-5571375","chr11:57937853-57965693"
"4","chr2:45801786-45859187","chr15:51822314-51823271"
"5","chr1:198429807-198432232","chr17:5524117-5571375"
"6","chr9:110908611-110925546","chr7:70790920-70792642"
"7","chr16:26628565-26633439","chr17:12322146-12352876"
"8","chr20:3196267-3282058","chr14:6612028-6622491"
"9","chr9:50898458-50906966","chr3:112896028-112899649"
"10","chr19:54803498-54822499","chr8:67801800-67812158"
"11","chr3:45982255-46003286","chr9:112317485-112353641"
"12","chr4:181396179-181412674","chr8:64724416-64763815"
"13","chr1:221065774-221067559","chr17:84872804-84888911"
"14","chr5:105114416-105114740","chr4:96732982-96767151"
"15","chr6:871525-894714","chr6:7623900-7698590"
"16","chr17:46675533-46693522","chr10:18396548-18408534"
"17","chr5:113906799-113929853","chr3:166603133-166626821"
"18","chr1:251455609-251463748","chr4:22084945-22091386"
"19","chr2:185384780-185394131","chr2:29095988-29114770"
"20","chr5:161794861-161804292","chr1:8846801-8860029"
"21","chr13:75177963-75192743","chr6:125714812-125719457"
"22","chr16:80780733-80793376","chr2:247836113-247883725"
"23","chr8:33252442-33279218","chr12:51547469-51547651"
"24","chr1:203286679-203317455","chr7:95149972-95166554"
"25","chr17:63265406-63279012","chr9:66768774-66774536"
"26","chr15:23840157-23871649","chr5:73937165-73955766"
"27","chr20:4460788-4476929","chr9:51469347-51524024"
"28","chr2:128599095-128636642","chr2:113203367-113203801"
"29","chr8:33572918-33597389","chr20:21662942-21673084"
"30","chr5:129413066-129528945","chr5:128327978-128330004"
"31","chr1:281834156-281857037","chr6:3324175-3334117"
"32","chr6:93404013-93407172","chr4:147692061-147692909"
"33","chr6:135790445-135797661","chr2:220435620-220441299"
"34","chr8:76897417-76904745","chr2:188298849-188309036"
"35","chrX:114972099-114978572","chr8:72824328-72825078"
"36","chr5:160138672-160148528","chr14:86326421-86326743"
"37","chr5:119128606-119129476","chr9:17136368-17136401"
"38","chr5:70552374-70557544","chr8:39422101-39551697"
"39","chr1:220015523-220016193","chr5:152136-152639"
"40","chr16:74219791-74228826","chr15:41458768-41459227"
"41","chr4:50180977-50200342","chr6:21268305-21288551"
"42","chr1:260498142-260507970","chr19:42781069-42920390"
"43","chr8:57791873-57797597","chr1:259396273-259402838"
"44","chr6:22362488-22376735","chr3:81134588-81143240"
"45","chr10:82753288-82754555","chr4:158103902-158108668"
"46","chr1:260487029-260507970","chr1:142755857-142766844"
"47","chr2:33252541-33258660","chr1:238642193-238668962"
"48","chr5:129413066-129475869","chr16:3060713-3072642"
"49","chr1:244630341-244757847","chr19:22143683-22179584"
