"","ciri2_ids","dcc_ids"
"1","chr10:57634023-57634588","chr16:26628565-26633439"
"2","chr17:5524117-5530105","chr15:51822314-51823271"
"3","chr2:45801786-45859187","chr7:70790920-70792642"
"4","chr1:198429807-198432232","chr17:12322146-12352876"
"5","chr9:110908611-110925546","chr5:75293219-75297323"
"6","chr16:26628565-26633439","chr14:6612028-6622491"
"7","chr20:3196267-3282058","chr3:112896028-112899649"
"8","chr19:54803498-54822499","chr8:64724416-64763815"
"9","chr9:71915420-71927987","chr16:49676737-49693580"
"10","chr7:41322521-41326655","chr12:13600118-13612054"
"11","chr4:181396179-181412674","chr8:118992648-118995378"
"12","chr1:221065774-221067559","chr4:96732982-96767151"
"13","chr5:105114416-105114740","chr10:18396548-18408534"
"14","chr3:3399474-3414759","chr3:166603133-166626821"
"15","chr15:4124785-4129118","chr18:16536783-16538604"
"16","chr5:113906799-113929853","chr1:177123077-177135239"
"17","chr1:251455609-251463748","chr4:22084945-22091386"
"18","chr2:185384780-185394131","chr2:29095988-29114770"
"19","chr5:161794861-161804292","chr17:6857810-6877160"
"20","chr17:65826669-65896119","chr6:125714812-125719457"
"21","chr16:80780733-80793376","chr2:247836113-247883725"
"22","chr8:33252442-33279218","chr1:221183819-221183999"
"23","chr6:76576170-76608864","chr16:32347402-32371284"
"24","chr8:33572918-33597389","chr2:113203367-113203801"
"25","chr5:129413066-129528945","chr5:126796181-126803679"
"26","chr1:281834156-281857037","chr2:93523236-93531988"
"27","chr18:77291625-77308494","chr11:79693103-79693346"
"28","chr6:135790445-135797661","chr5:128327978-128330004"
"29","chr18:72189808-72194387","chr8:117093748-117096728"
"30","chr8:76897417-76904745","chr6:3324175-3334117"
"31","chr5:160138672-160148528","chr2:220435620-220441299"
"32","chr5:69844124-69848818","chr14:86326421-86326743"
"33","chr18:48443339-48537979","chr5:152136-152639"
"34","chr5:119128606-119129476","chr11:79608140-79608283"
"35","chr19:54803498-54815443","chr1:243079518-243080161"
"36","chr10:67821172-67828877","chr2:56132978-56151543"
"37","chr15:70098761-70139170","chr1:259396273-259402838"
"38","chr13:95230647-95348984","chr3:81134588-81143240"
"39","chr1:220015523-220016193","chr4:158103902-158108668"
"40","chr16:74219791-74228826","chr1:142755857-142766844"
"41","chr8:46728894-46730691","chr1:238642193-238668962"
"42","chr4:50180977-50200342","chr16:3060713-3072642"
"43","chr8:57791873-57797597","chr12:5743414-5743744"
"44","chr6:22362488-22376735","chr19:22143683-22179584"
"45","chr2:33252541-33258660","chrMT:7363-7454"
"46","chr7:18416266-18417952","chr15:6349802-6464312"
"47","chr18:48443339-48521166","chr8:63332376-63335340"
"48","chr16:20606480-20606895","chr10:77765225-77772738"
"49","chr17:90409044-90424571","chrX:119109035-119109793"
"50","chr1:165646261-165654319","chr12:38390510-38412118"
"51","chr1:246648294-246657760","chr3:157039863-157040380"
"52","chrX:75174388-75174831","chr2:38096882-38110573"
"53","chr6:21351085-21354603","chr13:83643437-83660292"
"54","chr18:81724770-81726644","chr10:20043379-20043460"
"55","chr5:36040325-36054615","chr1:24002856-24002885"
"56","chr7:140415223-140417547","chr9:73766839-73799430"
"57","chr6:12179226-12179776","chr16:23555919-23600154"
"58","chr4:96736381-96787475","chr5:90818736-90827570"
"59","chr2:189364002-189369293","chr6:38745004-38762910"
"60","chr6:103389817-103393554","chr2:33252541-33258660"
"61","chr15:2965953-2966833","chr19:22373973-22382073"
"62","chr15:2849126-2867333","chr7:141440384-141440585"
"63","chr1:1841452-1846589","chr1:90162704-90163691"
"64","chr6:3324175-3334117","chr10:845975-846239"
"65","chr17:79573257-79644806","chr6:103401041-103413906"
"66","chr8:70203322-70206310","chr2:34577937-34578047"
"67","chr19:34292209-34312530","chr4:179704611-179707414"
"68","chr11:64795077-64800821","chr4:99275917-99291251"
"69","chr2:209143856-209152642","chr4:8223840-8242710"
"70","chr2:34476081-34503654","chr2:24125860-24161334"
"71","chr4:632256-642336","chr5:146964481-146974020"
"72","chr11:34611539-34614139","chr6:72717570-72737402"
"73","chr14:113906516-113922713","chr19:12652625-12796904"
"74","chr9:66751637-66774536","chr7:140415833-140417547"
"75","chr2:172312783-172350004","chr12:628708-636629"
"76","chr9:81258380-81275269","chr6:28022406-28084649"
"77","chr5:103106261-103201011","chr2:259591896-259592305"
"78","chr6:11219826-11221789","chr17:33632046-33659382"
"79","chr18:72571325-72611211","chr17:79563596-79575914"
"80","chr10:38622808-38633058","chr8:61701009-61715390"
