,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
chr13:45516143-45519094,3.071468821,0.861447794,0.254975696,3.378548658,0.000728695,0.424640665
chrX:148661908-148662768,1.43417312,1.682968021,0.50194314,3.35290571,0.000799679,0.424640665
chr15:40744047-40745259,1.666241811,-1.347633911,0.410313229,-3.284402782,0.001021988,0.424640665
chr1:35413972-35415714,3.387886476,0.753196097,0.230027336,3.274376469,0.001058954,0.424640665
chr19:5047476-5082504,4.625784025,0.619884113,0.195784677,3.166152333,0.001544699,0.432095579
chr7:107773920-107774872,2.498286178,-1.033558851,0.331569807,-3.117168179,0.001825974,0.432095579
chr11:36393846-36403378,4.683422538,-0.679654862,0.2187026,-3.107667035,0.001885704,0.432095579
chr4:71236576-71255399,2.730800605,-0.875948743,0.289757124,-3.023044717,0.002502453,0.501741752
chr5:38990949-39021136,1.755056042,1.058584396,0.366587763,2.887669753,0.003881071,0.560606792
chr9:37126312-37147445,9.5306495,0.40601953,0.141560392,2.868171848,0.004128512,0.560606792
chr19:3660966-3662001,3.029478622,0.830611411,0.289637444,2.867762535,0.004133857,0.560606792
chr15:75411492-75413045,4.112024962,0.596228848,0.212783348,2.802046556,0.005077955,0.560606792
chr4:127921524-127939997,6.99075418,0.467366818,0.167358106,2.792615366,0.005228382,0.560606792
chr3:121844453-121872788,5.689994791,0.493788072,0.178380842,2.768167623,0.005637245,0.560606792
chr2:213310059-213364145,2.11052332,0.993534203,0.359508493,2.763590353,0.005716926,0.560606792
chr2:68490190-68545312,10.59920873,0.34651717,0.12741765,2.719538228,0.006537314,0.560606792
chr9:112574057-112575251,2.884334016,-0.768129383,0.283818331,-2.70641216,0.006801457,0.560606792
chr6:161048616-161049979,1.125147798,1.683168333,0.626159989,2.688080305,0.007186411,0.560606792
chr11:72984088-72989097,7.364608865,0.417737311,0.155777022,2.68163626,0.007326307,0.560606792
chr4:73090667-73092300,24.15475032,0.235394944,0.087826706,2.680220562,0.007357366,0.560606792
chr22:45700282-45740538,3.331180295,0.626619472,0.235335597,2.662663364,0.007752493,0.560606792
chr1:20775724-20776005,1.641104668,-1.062822809,0.399565092,-2.659949108,0.007815246,0.560606792
chr4:150415438-150491035,2.197635257,-0.929430873,0.350669993,-2.650443124,0.008038626,0.560606792
chr14:65430216-65455718,3.510384545,0.739590637,0.283506328,2.608727082,0.009087969,0.607379269
chr22:21799012-21807846,1.688458364,0.980776159,0.381162712,2.573116752,0.01007872,0.63984409
chr12:104927973-104931791,1.321720877,-1.28570014,0.501601642,-2.563189657,0.010371538,0.63984409
chr14:22926133-22927660,6.182149308,0.435944532,0.172441565,2.528071073,0.011469113,0.681350279
chr2:64572946-64585545,2.323837997,-0.877147412,0.349269229,-2.511379011,0.01202605,0.688920875
chr6:47283938-47286595,36.32515183,-0.237620924,0.096581489,-2.460315405,0.013881496,0.753553147
chr15:92996957-92998621,2.528434876,0.793811934,0.326620135,2.430382721,0.015082887,0.753553147
chr1:10095461-10105744,1.76466427,0.952995471,0.392677562,2.426916034,0.01522778,0.753553147
chrX:118584735-118590302,2.440515354,0.702698947,0.290863504,2.415906216,0.015696104,0.753553147
chr4:1900626-1939778,2.460952582,-0.709551606,0.293760783,-2.415406163,0.015717672,0.753553147
chr2:172558708-172566933,5.403037838,0.510190369,0.213708396,2.38732019,0.016971703,0.753553147
chr14:102040236-102040673,10.72926572,-0.347198591,0.146130044,-2.375956253,0.017503538,0.753553147
chr4:104518577-104519454,1.700419309,1.014571016,0.428410907,2.368219386,0.017873934,0.753553147
chr11:118583179-118584644,1.548841444,0.996649133,0.423261943,2.354686382,0.018538344,0.753553147
chr5:131677703-131709272,2.607461534,0.686814877,0.291797007,2.353742018,0.018585505,0.753553147
chr7:131375424-131399433,5.149906539,0.426675426,0.183648844,2.323322149,0.020161853,0.753553147
chr2:168063500-168129758,3.821576439,0.503917551,0.218178518,2.309657044,0.020907149,0.753553147
chr3:129827803-129832826,2.388687736,0.719407773,0.312401145,2.302833345,0.021288222,0.753553147
chr5:145817894-145826200,17.27481404,-0.298404089,0.129667657,-2.301299303,0.021374719,0.753553147
chr17:82900651-82911789,3.548347589,0.541404235,0.235262015,2.301281981,0.021375698,0.753553147
chr7:17890363-17897446,2.831931048,0.622539626,0.271514106,2.292844503,0.021856959,0.753553147
chr5:133091193-133092789,1.458297282,-0.960306096,0.419100964,-2.291347857,0.021943303,0.753553147
chr1:13715541-13749487,2.045674049,0.756697573,0.330503859,2.289527192,0.02204874,0.753553147
chr15:64499293-64500166,45.41533052,-0.207652195,0.090952111,-2.283093749,0.022424847,0.753553147
chr10:43154897-43158931,3.562023892,0.59074581,0.258988849,2.280970056,0.022550219,0.753553147
chr2:168691034-168717978,3.703619338,0.538803461,0.237056218,2.27289318,0.023032618,0.753965697
chr21:29326059-29329693,2.434678565,0.727036905,0.322526204,2.254194844,0.024183913,0.754863132
