ID,CircRNACount-1032245-N,CircRNACount-1039868-N,CircRNACount-1042353-N,CircRNACount-1042745-N,CircRNACount-1043773-N,CircRNACount-1045386-N,CircRNACount-1045549-N,CircRNACount-1046191-N,CircRNACount-1046287-N,CircRNACount-1046349-N,CircRNACount-1046499-N,CircRNACount-1047291-N,CircRNACount-1047831-N,CircRNACount-1047912-N,CircRNACount-1048720-N,CircRNACount-1049983-N,CircRNACount-1050700-N,CircRNACount-1051316-N,CircRNACount-1054390-N,CircRNACount-1056166-N,CircRNACount-272577-N,CircRNACount-451368-N,CircRNACount-477022-N,CircRNACount-515975-N,CircRNACount-522638-N,CircRNACount-548142-N,CircRNACount-649867-N,CircRNACount-685749-N,CircRNACount-843725-N,CircRNACount-99272-N
chr9:37424845-37426654,8,6,5,15,1,13,22,12,11,1,13,17,22,1,14,20,1,7,14,20,11,21,16,9,5,21,16,22,14,1
chr11:65500870-65501205,0,3,2,0,3,3,3,1,2,2,2,1,1,3,1,1,3,2,4,1,5,3,2,0,1,4,1,3,5,3
chr5:124701014-124701269,6,2,5,4,3,3,2,2,5,4,6,5,3,11,4,4,0,3,1,5,4,4,5,1,4,5,2,2,1,3
chr9:37126312-37147445,9,8,3,4,3,15,6,4,8,9,3,8,6,5,3,4,7,2,8,4,4,5,11,6,5,4,0,8,7,17
chr1:172551512-172557794,4,2,4,2,4,1,4,2,4,3,2,5,5,5,0,5,1,2,2,0,4,1,4,2,2,3,0,0,3,6
chr11:65499745-65499854,3,8,1,4,6,2,7,2,4,5,10,9,4,3,7,5,4,6,3,10,3,4,5,2,5,8,5,2,4,7
chr5:145764931-145826200,4,10,7,4,4,6,5,5,5,4,7,6,2,3,2,13,3,7,7,5,4,2,14,3,3,11,8,5,1,5
chrM:13054-13123,5,4,1,0,2,1,3,5,2,1,1,2,0,1,3,0,2,1,2,0,1,4,1,0,2,3,2,1,2,2
chr2:196912882-196922186,1,0,0,2,0,3,1,4,2,0,3,4,2,1,1,3,1,0,3,2,1,1,2,2,1,5,4,1,2,4
chr2:108771701-108773046,8,11,1,4,6,5,7,7,8,7,8,6,3,7,6,12,4,1,4,5,8,9,11,6,5,9,5,7,8,8
chr11:65500548-65500636,3,5,4,2,3,1,1,4,1,1,7,4,1,3,1,1,0,5,4,3,1,1,1,1,1,3,4,1,2,2
chr4:6994184-7001251,2,2,0,2,0,4,5,3,2,1,3,3,5,3,0,1,0,0,1,2,5,1,3,1,3,5,2,4,2,3
chr2:168493610-168494153,8,6,1,0,3,8,6,2,5,8,7,2,2,4,5,1,3,2,6,8,7,4,2,2,3,9,3,8,3,7
chr6:79042843-79060818,1,2,2,2,4,8,4,5,1,4,1,5,1,5,1,2,5,5,4,5,3,2,3,2,3,8,2,7,4,4
chr8:131940499-131946633,2,1,2,5,3,5,9,2,0,0,1,2,0,1,2,2,1,1,0,4,2,3,2,2,3,1,2,4,6,2
chrX:107840670-107854704,5,1,2,2,0,7,0,3,2,1,3,4,4,2,3,2,3,3,0,4,2,1,6,3,1,3,1,2,1,0
chr9:19356972-19358160,1,3,1,0,1,1,1,1,3,1,2,1,3,5,1,2,3,3,8,2,2,0,4,2,2,1,3,3,3,3
chr14:21230319-21234229,6,13,7,10,17,23,13,13,10,6,9,7,7,11,1,14,7,10,16,12,6,8,19,7,9,22,9,12,7,10
GL000220.1:112554-113005,12,1,0,21,61,18,27,0,19,4,19,1,1,1,47,8,1,2,40,2,28,4,3,1,39,15,28,22,34,3
