ID,1032245-N_bwa.ciri2,1039868-N_bwa.ciri2,1042353-N_bwa.ciri2,1042745-N_bwa.ciri2,1043773-N_bwa.ciri2,1045386-N_bwa.ciri2,1045549-N_bwa.ciri2,1046191-N_bwa.ciri2,1046287-N_bwa.ciri2,1046349-N_bwa.ciri2,1046499-N_bwa.ciri2,1047291-N_bwa.ciri2,1047831-N_bwa.ciri2,1047912-N_bwa.ciri2,1048720-N_bwa.ciri2,1049983-N_bwa.ciri2,1050700-N_bwa.ciri2,1051316-N_bwa.ciri2,1054390-N_bwa.ciri2,1056166-N_bwa.ciri2,272577-N_bwa.ciri2,451368-N_bwa.ciri2,477022-N_bwa.ciri2,515975-N_bwa.ciri2,522638-N_bwa.ciri2,548142-N_bwa.ciri2,649867-N_bwa.ciri2,685749-N_bwa.ciri2,843725-N_bwa.ciri2,99272-N_bwa.ciri2
chr2:115309239-115343912,2,2,2,0,0,2,9,0,4,2,2,4,0,2,2,3,6,0,11,3,0,4,0,9,3,6,4,3,5,4
chr3:4410865-4420146,0,6,3,3,2,4,9,0,3,4,3,4,0,3,2,6,2,3,0,4,3,2,4,0,0,2,7,4,2,3
chr10:21713772-21727928,3,3,0,0,2,3,5,0,5,0,3,4,0,3,4,3,2,5,5,5,0,5,2,0,0,3,3,0,2,3
chr10:103438015-103438808,2,5,5,3,5,2,5,4,5,4,2,5,5,9,0,0,0,4,4,5,5,7,10,5,3,5,6,2,4,7
chr12:20616230-20635056,4,2,0,2,0,0,0,2,2,0,2,2,2,2,0,0,0,2,0,0,0,0,4,0,2,3,4,3,0,2
chr9:33971651-33973237,3,7,12,4,16,10,13,3,9,4,10,4,7,6,0,5,9,7,3,10,6,3,13,3,11,3,4,6,10,10
chr21:44855210-44861271,11,6,6,5,7,14,18,12,5,7,10,12,8,5,11,3,8,7,13,7,9,10,8,4,6,7,6,13,4,8
chr12:46229153-46243314,21,32,23,26,33,47,35,22,24,19,24,32,21,11,9,55,8,17,27,23,28,16,35,33,23,26,26,20,31,38
chr9:33986760-34017189,3,0,2,2,5,0,7,2,0,3,4,3,3,6,3,5,2,0,2,2,2,4,4,4,0,2,2,2,3,3
chr8:131940499-131946633,2,0,4,5,3,6,10,4,0,0,3,3,0,4,2,3,0,0,0,6,2,3,3,5,3,5,5,4,7,3
chr7:66127704-66134374,2,5,0,3,6,3,5,10,4,5,13,9,4,4,0,3,10,5,2,8,3,2,6,6,4,12,9,2,9,13
chrX:119640692-119653040,0,2,0,2,5,0,5,4,2,0,0,2,0,3,0,6,0,6,0,2,3,0,3,2,3,0,6,6,4,4
chr2:168138088-168140758,7,0,0,3,0,3,0,4,0,2,2,2,0,0,2,4,0,2,2,4,0,0,6,0,0,0,0,2,2,2
chrX:65075474-65113813,3,11,5,4,8,7,14,3,3,6,5,7,3,7,2,8,12,4,7,4,4,0,4,6,4,5,4,5,15,8
chr1:206935486-206937188,2,5,0,0,7,2,4,2,0,2,3,6,0,0,0,3,2,0,2,0,3,0,4,2,4,0,4,4,3,4
chr15:94298201-94298730,0,7,3,2,2,7,12,6,4,7,0,11,2,2,3,0,6,4,6,8,8,7,5,4,5,0,9,10,10,11
chr14:21503173-21503881,13,18,14,5,26,23,22,17,15,14,20,19,22,10,14,17,11,21,25,12,7,10,25,16,12,17,17,22,21,28
chr3:47610066-47678311,2,6,0,2,2,2,0,0,3,0,2,0,2,4,0,2,0,0,0,2,0,0,5,0,0,5,6,4,2,0
chr11:85974708-86031611,3,4,3,3,3,3,8,4,3,2,8,7,3,3,4,4,5,2,7,4,4,2,4,3,0,2,0,4,4,8
chr11:130260856-130261929,19,20,11,24,36,44,35,20,35,23,5,27,24,16,23,17,17,19,25,18,13,13,53,21,13,27,23,16,21,33
chr13:42953948-42970670,4,0,10,3,6,9,14,2,8,5,7,4,5,4,3,4,0,4,4,6,4,4,19,7,3,6,4,6,4,8
chr12:2820086-2821792,2,7,3,6,10,6,11,5,4,2,7,5,0,6,2,8,2,5,9,9,4,0,2,6,2,6,7,0,2,8
chr3:3137260-3144710,4,6,0,0,0,0,4,0,0,6,5,8,3,4,0,2,3,0,4,2,2,5,3,4,0,6,5,2,5,7
chr4:39737420-39755739,2,0,0,0,2,3,2,2,3,2,4,0,0,0,2,3,0,2,0,0,0,3,3,0,2,3,0,4,0,2
chr12:120557282-120557682,5,5,5,9,7,8,15,10,5,2,10,9,7,4,3,6,5,9,9,3,13,6,9,3,5,15,10,8,6,10
chr3:50108070-50108304,5,2,0,5,0,5,2,2,4,0,4,3,2,2,0,3,0,2,3,0,0,0,6,2,0,2,3,0,3,2
chr20:32366384-32369123,12,9,7,5,20,14,11,17,19,7,11,23,18,13,9,16,10,14,14,15,6,22,16,11,5,22,15,12,8,25
chr1:114463104-114464388,3,9,9,5,4,17,10,5,6,5,2,10,4,5,6,9,5,5,9,11,2,2,6,5,6,14,10,5,2,6
chr1:160323431-160332557,7,9,4,4,4,3,8,9,6,3,9,8,3,7,0,6,5,4,6,2,6,10,8,4,3,7,5,3,3,5
chr2:190659158-190673152,22,27,21,11,31,34,42,15,34,19,36,26,17,26,13,24,22,18,22,28,12,13,28,26,18,41,21,16,17,21
chr2:238182065-238185287,11,11,11,10,14,13,20,6,15,6,9,13,13,11,9,19,11,11,13,13,13,5,10,6,5,13,8,8,9,22
chr15:85064370-85067204,5,0,2,2,5,2,2,0,2,0,2,4,2,0,0,3,2,0,3,2,3,0,5,5,4,2,3,3,0,6
chr4:151174670-151187463,6,3,2,5,5,3,9,6,3,3,3,4,3,3,0,2,3,3,0,6,3,2,8,4,6,4,9,5,4,7
chr3:119503532-119513719,0,2,0,0,0,3,2,0,0,4,4,3,0,2,3,0,2,6,3,5,3,3,4,0,0,2,0,0,3,4
chr10:67988663-68014186,2,2,0,3,2,0,5,0,0,0,3,2,3,2,0,0,0,3,2,0,2,0,6,4,0,2,2,0,3,5
chr5:154033791-154034967,21,17,11,25,16,24,36,24,15,16,38,29,39,18,16,24,28,16,25,25,18,20,22,13,13,39,23,25,24,21
chr20:35714185-35725155,11,14,5,12,23,16,21,11,18,12,16,15,10,13,8,22,8,12,17,22,11,11,8,11,10,22,10,17,10,23
chr2:173954873-173956232,3,2,4,4,6,7,3,5,3,2,0,3,6,7,5,5,6,4,2,6,3,0,7,4,3,8,3,3,3,5
chr4:149733244-149815348,0,2,0,2,0,0,0,2,4,4,4,0,4,0,0,2,0,0,3,3,0,0,0,4,0,2,2,2,2,9
chr15:101235082-101235577,2,0,12,9,2,5,6,5,3,2,3,3,5,6,4,5,3,5,2,3,8,4,8,3,5,7,4,4,0,4
chr11:117152441-117163892,3,7,2,2,4,5,8,3,5,0,3,3,0,4,2,6,4,5,5,6,2,3,5,6,4,2,2,3,0,0
chr3:65429520-65442849,4,2,0,0,2,6,4,2,3,2,2,3,0,2,0,0,0,0,0,2,2,0,0,0,3,3,3,2,0,0
chr18:8718424-8720496,0,2,0,3,8,2,3,4,3,5,4,4,2,3,3,4,0,2,0,2,2,2,4,4,3,5,0,7,0,7
chr9:20819796-20823115,7,9,5,6,4,8,11,4,8,8,7,6,4,6,5,6,6,7,4,3,2,4,5,9,5,7,7,10,13,14
chr7:116110708-116112038,4,4,3,0,2,12,0,3,7,0,7,0,4,2,0,4,6,7,0,3,0,0,0,9,2,4,2,2,9,3
chr12:32607957-32611283,8,8,4,9,5,8,8,6,9,6,7,13,4,2,4,6,6,4,9,4,9,7,6,5,3,14,3,4,6,21
chr4:87195324-87195690,52,41,22,26,32,36,47,17,42,23,25,35,40,29,13,34,28,28,23,28,26,22,42,20,39,40,35,16,34,58
chr1:231795242-231818517,4,4,4,0,8,9,8,5,10,3,7,3,11,6,11,9,10,6,3,8,2,9,10,7,4,6,10,3,3,15
chr12:123345258-123350441,0,3,2,0,6,2,2,0,2,3,3,5,2,0,0,2,4,0,0,0,2,0,6,0,0,4,2,0,3,10
chr16:68121987-68123121,7,22,22,13,27,34,35,20,24,14,22,27,18,23,10,36,22,20,28,33,20,32,30,19,21,39,27,23,19,42
chr5:142885298-142932125,7,4,3,2,6,4,8,2,5,0,3,4,11,2,4,6,3,3,2,4,4,2,5,3,2,7,0,5,3,3
chr4:40594258-40596800,4,0,0,5,4,8,2,2,4,0,0,3,4,0,0,5,2,3,3,8,4,0,5,2,3,3,4,0,3,5
chr3:188406112-188524787,2,3,0,0,0,3,2,0,4,0,0,2,0,0,5,5,4,0,0,0,0,2,2,3,0,2,4,4,2,7
chr12:27714780-27724186,8,5,6,4,10,13,8,3,5,0,5,8,8,10,7,11,5,6,9,10,4,4,9,11,2,3,6,4,4,12
chr1:211353239-211354467,4,4,4,2,5,5,11,0,5,2,9,13,2,4,5,5,3,5,8,6,2,3,4,6,3,5,5,5,6,9
chr16:30483827-30484263,8,4,8,6,8,7,17,6,4,3,9,10,4,10,0,8,9,14,12,10,4,12,13,2,7,13,5,5,7,8
chr18:24064140-24069271,10,12,7,5,6,10,13,6,7,5,9,10,9,12,2,6,8,15,3,3,4,11,9,6,4,4,4,6,5,9
chr10:84371014-84373815,5,2,0,4,7,6,4,0,3,9,0,2,2,5,4,4,8,2,2,6,4,0,6,0,3,5,0,0,3,6
chr11:77619606-77625818,12,11,9,5,14,21,16,14,16,7,18,23,10,18,13,9,10,13,12,7,7,15,16,6,6,17,10,13,18,29
chr5:73074742-73077493,39,40,30,26,56,37,68,38,26,28,52,65,47,50,26,33,48,43,42,38,16,43,55,34,37,46,43,41,38,76
chr4:177353308-177353728,0,3,5,0,0,0,4,4,0,4,2,3,2,0,0,2,4,0,5,0,0,3,2,6,0,5,0,0,0,3
chr2:8939821-8958642,5,3,0,0,0,4,2,5,5,6,4,3,4,2,3,2,4,0,4,2,3,0,3,2,0,5,3,0,0,7
chr11:17878208-18010139,3,6,2,3,2,9,4,2,4,3,5,2,4,6,2,3,8,3,4,4,4,0,5,3,4,4,6,9,3,4
chr6:158583954-158589782,8,7,9,0,7,11,15,4,7,2,4,15,4,11,5,9,11,3,8,8,4,14,13,4,3,10,11,6,5,8
chr9:93471141-93476338,11,18,17,16,5,18,29,11,16,15,21,16,10,11,10,17,22,12,23,23,11,12,16,15,11,28,13,12,11,26
chr20:47276314-47287284,2,0,0,2,3,3,2,4,2,2,0,0,0,0,0,0,2,2,4,2,0,0,3,0,0,0,2,2,4,2
chr22:45689712-45702847,0,0,0,2,4,9,4,9,2,4,0,3,4,2,0,4,3,0,4,0,3,3,0,0,3,3,5,2,3,0
chr6:158267234-158314268,5,2,2,0,7,4,6,2,0,6,5,8,9,6,0,0,2,0,3,2,2,7,0,4,0,4,0,0,0,0
chr3:31576396-31580096,13,15,12,7,15,29,17,18,12,19,13,13,18,17,6,16,13,15,9,9,12,9,20,20,17,29,20,12,10,23
chr2:45546317-45562756,2,6,0,0,3,0,3,0,2,3,2,0,2,0,0,3,0,2,3,0,2,0,2,2,0,0,4,0,2,3
chr10:126970702-127061776,0,3,3,2,5,5,3,6,4,3,3,0,0,4,0,4,0,2,5,3,0,9,6,4,2,3,3,0,2,0
chr7:22291175-22340886,2,0,0,2,0,0,2,2,0,3,0,0,2,2,0,2,0,0,0,4,0,0,2,2,3,2,2,0,2,3
chr1:66958059-66963160,3,2,5,0,6,5,12,3,3,2,5,7,10,3,2,4,5,0,3,4,3,5,10,3,4,4,4,3,3,7
chr8:67105905-67116122,0,3,0,4,3,3,11,3,7,2,9,0,5,2,2,6,4,4,6,2,3,3,6,0,4,7,3,3,2,3
chr8:22196680-22197420,5,0,0,0,3,2,0,2,0,0,4,0,6,0,8,0,0,3,2,0,3,3,0,0,3,2,4,3,2,5
chr6:154787861-154792976,5,0,2,3,4,4,2,0,2,3,2,5,6,2,0,6,0,2,6,2,3,3,6,0,0,5,3,2,0,3
chr11:130109429-130110661,4,2,0,0,3,2,8,0,4,0,3,2,0,2,0,2,2,0,0,0,0,3,2,0,3,6,2,4,0,3
chr17:3705081-3705645,0,6,0,0,5,5,5,0,0,0,6,2,5,3,0,2,3,4,11,3,0,6,4,0,3,0,0,5,3,5
