"","chr","start","end","value"
"1","chr1",101028250,101029473,0
"2","chr1",12452484,12454601,0
"3","chr1",127025462,127025957,0
"4","chr1",127881908,127887913,0
"5","chr1",128501692,128526760,0
"6","chr1",139943398,139956356,0
"7","chr1",140044382,140158228,0
"8","chr1",142849916,142852148,0
"9","chr1",143712491,143718900,0
"10","chr1",150830996,150846872,0
"11","chr1",150830996,150887461,0
"12","chr1",150871108,150887461,0
"13","chr1",150887401,150961642,0
"14","chr1",150937283,150961642,0
"15","chr1",154439745,154447475,0
"16","chr1",15488392,15494771,0
"18","chr1",162639900,162643789,0
"21","chr1",201183051,201188802,0
"22","chr1",203272587,203286711,0
"23","chr1",216560642,216566201,0
"24","chr1",217779008,217782988,0
"25","chr1",217801085,217816442,0
"27","chr1",21854180,21854768,0
"28","chr1",219353460,219354165,0
"29","chr1",221158617,221158790,0
"30","chr1",236196243,236229567,0
"31","chr1",243014234,243047294,0
"32","chr1",244630341,244757847,0
"33","chr1",246648294,246649407,0
"34","chr1",246648294,246657760,0
"35","chr1",247944245,247960553,0
"37","chr1",43797777,43806044,0
"38","chr10",106673704,106699402,0
"39","chr10",110101466,110101880,0
"40","chr10",11626519,11627228,0
"41","chr10",20321532,20392169,0
"42","chr10",38712831,38720071,0
"43","chr10",43227922,43229953,0
"44","chr10",46101744,46129892,0
"45","chr10",48452001,48470732,0
"46","chr10",48452001,48528848,0
"47","chr10",57508985,57541484,0
"49","chr10",59423266,59441831,0
"50","chr10",71546978,71557193,0
"51","chr10",75337353,75340473,0
"52","chr10",77765225,77772738,0
"55","chr11",34462325,34500943,0
"56","chr11",34922140,34932316,0
"57","chr11",60383243,60388137,0
"58","chr11",62059611,62067655,0
"59","chr11",69636827,69640718,0
"60","chr11",70130510,70156430,0
"61","chr11",79529343,79611741,0
"62","chr11",79763901,79778947,0
"63","chr11",83939845,83940879,0
"65","chr12",13524227,13527329,0
"66","chr12",14654706,14703546,0
"67","chr12",14689166,14703546,0
"68","chr12",15075273,15098764,0
"70","chr12",22237823,22238433,0
"71","chr12",24285582,24285875,0
"72","chr12",24301970,24306006,0
"73","chr12",24505864,24511621,0
"74","chr12",24513410,24524704,0
"76","chr12",30068980,30083826,0
"77","chr12",43576497,43576734,0
"78","chr12",48509737,48531389,0
"79","chr12",5593776,5632155,0
"80","chr12",5603316,5604016,0
"81","chr12",5612049,5619907,0
"82","chr12",5646166,5654694,0
"83","chr12",8323968,8356308,0
"84","chr12",8349428,8356308,0
"85","chr12",8442273,8443772,0
"86","chr12",9061581,9062262,0
"89","chr13",106507146,106507561,0
"90","chr13",109457218,109471561,0
"91","chr13",35597462,35669017,0
"93","chr13",68736732,68756721,0
"94","chr13",69023733,69031223,0
"95","chr13",69077866,69083366,0
"97","chr13",86424477,86451001,0
"98","chr13",95167819,95208329,0
"99","chr13",98386342,98403224,0
"100","chr14",113812793,113857380,0
"101","chr14",114649026,114649217,0
"104","chr14",37228632,37254001,0
"105","chr14",37552177,37583161,0
"106","chr14",42803980,42809348,0
"107","chr14",44440261,44456717,0
"108","chr14",5990330,6026568,0
"109","chr14",6612028,6622491,0
"110","chr14",71861197,71884876,0
"111","chr14",9421418,9440942,0
"112","chr15",109125713,109168413,0
"113","chr15",23792824,23801848,0
"114","chr15",25320488,25335135,0
"115","chr15",25905491,25921639,0
"116","chr15",2849126,2867333,0
"117","chr15",34428289,34428656,0
"119","chr15",51936366,51944899,0
"121","chr16",10782168,10802548,0
"122","chr16",20606480,20606895,0
"123","chr16",2114006,2126628,0
"124","chr16",2115374,2128403,0
"125","chr16",22979368,22980295,0
"126","chr16",23448552,23492639,0
"127","chr16",23555919,23573530,0
"128","chr16",26755422,26767549,0
"129","chr16",3060713,3072642,0
"130","chr16",54080267,54093004,0
"131","chr16",62023411,62056753,0
"132","chr16",7577726,7586144,0
"133","chr17",1395222,1416266,0
"134","chr17",29730437,29737981,0
"135","chr17",29730437,29757605,0
"137","chr17",43258446,43290432,0
"138","chr17",5511386,5571375,0
"139","chr17",5524117,5571375,0
"140","chr17",55297976,55307299,0
"141","chr17",5532157,5571375,0
"142","chr17",63265406,63279012,0
"143","chr17",65855661,65896119,0
"144","chr17",70386828,70394646,0
"145","chr17",75596939,75616081,0
"147","chr17",79573257,79612177,0
"148","chr17",79573257,79644806,0
"149","chr17",79728108,79789485,0
"151","chr17",9912158,9929565,0
"152","chr18",16472884,16475633,0
"153","chr18",17282002,17289722,0
"154","chr18",17300168,17312861,0
"155","chr18",24662368,24665851,0
"156","chr18",307052,312848,0
"157","chr18",31461554,31463598,0
"158","chr18",36244090,36271261,0
"159","chr18",48443339,48505167,0
"161","chr18",6047215,6051719,0
"162","chr18",63784568,63844188,0
"163","chr18",63843748,63844188,0
"164","chr18",77291625,77308494,0
"165","chr19",22158621,22179584,0
"166","chr19",25834566,25886887,0
"167","chr19",25886356,25903940,0
"168","chr19",34249087,34272145,0
"169","chr19",34249087,34346224,0
"170","chr19",34270069,34298610,0
"171","chr19",34270069,34305849,0
"172","chr19",34292209,34346224,0
"173","chr19",42800054,42920390,0
"174","chr19",54786578,54790907,0
"175","chr2",117545216,117666646,0
"176","chr2",117666300,117666646,0
