ID,1032245.N,1039868.N,1042353.N,1042745.N,1043773.N,1045386.N,1045549.N,1046191.N,1046287.N,1046349.N,1046499.N,1047291.N,1047831.N,1047912.N,1048720.N,1049983.N,1050700.N,1051316.N,1054390.N,1056166.N,272577.N,451368.N,477022.N,515975.N,522638.N,548142.N,649867.N,685749.N,843725.N,99272.N,1032245.P,1039868.P,1042353.P,1042745.P,1043773.P,1045386.P,1045549.P,1046191.P,1046287.P,1046349.P,1046499.P,1047291.P,1047831.P,1047912.P,1048720.P,1049983.P,1050700.P,1051316.P,1054390.P,1056166.P,272577.P,451368.P,477022.P,515975.P,522638.P,548142.P,649867.P,685749.P,843725.P,99272.P,1032245.T,1039868.T,1042353.T,1042745.T,1043773.T,1045386.T,1045549.T,1046191.T,1046287.T,1046349.T,1046499.T,1047291.T,1047831.T,1047912.T,1048720.T,1049983.T,1050700.T,1051316.T,1054390.T,1056166.T,272577.T,451368.T,477022.T,515975.T,522638.T,548142.T,649867.T,685749.T,843725.T,99272.T
chr2:115309239-115343912,2,2,2,0,0,2,9,0,4,2,2,4,0,2,2,3,6,0,11,3,0,4,0,9,3,6,4,3,5,4,0,3,5,2,2,5,3,3,0,2,4,2,7,0,6,0,3,0,0,3,0,3,0,3,5,4,3,0,4,4,2,0,0,0,0,0,0,0,0,0,2,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
chr3:4410865-4420146,0,6,3,3,2,4,9,0,3,4,3,4,0,3,2,6,2,3,0,4,3,2,4,0,0,2,7,4,2,3,0,5,3,2,3,5,4,4,4,3,5,4,7,5,0,0,6,5,5,4,2,2,4,0,0,7,5,3,4,5,7,2,3,0,4,7,2,2,0,3,6,3,2,2,2,0,4,3,0,2,0,0,2,0,0,4,2,2,3,2
chr10:21713772-21727928,3,3,0,0,2,3,5,0,5,0,3,4,0,3,4,3,2,5,5,5,0,5,2,0,0,3,3,0,2,3,0,2,0,3,0,6,6,4,2,4,4,6,4,5,0,0,0,3,2,2,3,0,2,0,3,2,3,3,4,0,3,0,2,2,0,0,0,0,2,0,0,0,2,0,0,0,2,2,5,0,0,0,0,0,0,0,0,3,5,0
chr10:103438015-103438808,2,5,5,3,5,2,5,4,5,4,2,5,5,9,0,0,0,4,4,5,5,7,10,5,3,5,6,2,4,7,5,6,5,4,4,9,9,8,5,6,8,5,6,10,5,3,10,0,2,5,6,5,13,0,9,3,3,4,2,2,2,0,2,0,0,0,2,2,7,6,0,0,0,4,3,5,0,7,2,0,4,6,3,5,2,9,2,0,4,2
chr12:20616230-20635056,4,2,0,2,0,0,0,2,2,0,2,2,2,2,0,0,0,2,0,0,0,0,4,0,2,3,4,3,0,2,0,0,0,0,0,3,0,0,0,2,2,4,2,2,0,0,0,0,3,0,3,0,3,0,2,4,0,4,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
chr9:33971651-33973237,3,7,12,4,16,10,13,3,9,4,10,4,7,6,0,5,9,7,3,10,6,3,13,3,11,3,4,6,10,10,7,5,4,6,7,4,10,4,7,7,12,9,4,11,3,3,5,4,2,3,5,8,8,6,11,5,3,5,4,5,9,4,7,6,3,9,0,3,6,5,7,14,4,4,0,5,10,10,5,4,3,8,5,3,12,0,14,0,5,7
chr21:44855210-44861271,11,6,6,5,7,14,18,12,5,7,10,12,8,5,11,3,8,7,13,7,9,10,8,4,6,7,6,13,4,8,9,7,5,3,7,15,0,9,8,15,16,11,3,9,7,3,10,9,4,9,3,7,8,5,15,10,8,7,6,8,7,6,5,4,10,4,2,2,5,5,11,0,2,3,4,2,5,5,9,3,5,4,4,2,4,14,3,24,7,3
chr12:46229153-46243314,21,32,23,26,33,47,35,22,24,19,24,32,21,11,9,55,8,17,27,23,28,16,35,33,23,26,26,20,31,38,12,38,23,30,25,52,40,19,25,33,44,41,32,56,17,29,21,12,33,23,21,27,44,33,42,23,47,24,34,23,25,20,19,20,57,24,12,9,23,13,22,27,6,24,15,18,18,15,27,18,0,20,32,8,15,12,11,38,22,34
chr9:33986760-34017189,3,0,2,2,5,0,7,2,0,3,4,3,3,6,3,5,2,0,2,2,2,4,4,4,0,2,2,2,3,3,4,2,2,0,0,3,2,0,0,2,5,5,6,5,0,5,0,5,2,4,3,2,3,2,7,2,4,0,5,3,5,0,5,3,4,0,0,2,0,3,0,2,3,0,5,0,2,4,4,0,0,7,2,0,0,4,4,2,0,0
chr8:131940499-131946633,2,0,4,5,3,6,10,4,0,0,3,3,0,4,2,3,0,0,0,6,2,3,3,5,3,5,5,4,7,3,0,8,3,0,2,5,4,0,2,0,4,0,4,0,0,3,0,2,0,3,4,4,3,0,6,6,2,2,2,5,3,2,2,5,2,7,0,2,0,3,3,0,0,2,3,2,0,3,3,5,0,3,3,0,0,4,0,2,2,0
chr7:66127704-66134374,2,5,0,3,6,3,5,10,4,5,13,9,4,4,0,3,10,5,2,8,3,2,6,6,4,12,9,2,9,13,3,6,0,2,7,5,6,3,12,9,11,11,3,8,4,3,8,4,7,4,4,3,6,3,7,8,12,6,2,2,0,2,6,0,8,4,2,8,6,0,5,8,5,4,0,7,8,10,5,6,3,7,5,2,0,10,7,4,9,6
chrX:119640692-119653040,0,2,0,2,5,0,5,4,2,0,0,2,0,3,0,6,0,6,0,2,3,0,3,2,3,0,6,6,4,4,3,3,0,0,0,4,4,0,3,7,9,4,2,3,0,5,0,3,2,5,2,0,4,2,3,2,0,4,3,0,3,2,0,2,2,0,0,2,2,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2
chr2:168138088-168140758,7,0,0,3,0,3,0,4,0,2,2,2,0,0,2,4,0,2,2,4,0,0,6,0,0,0,0,2,2,2,4,2,3,5,2,2,5,0,0,3,3,2,0,3,0,0,4,2,0,0,0,0,2,2,0,2,2,3,2,2,2,0,0,2,5,0,0,2,2,0,2,0,2,0,0,2,0,0,2,0,0,2,2,0,0,0,0,2,0,2
chrX:65075474-65113813,3,11,5,4,8,7,14,3,3,6,5,7,3,7,2,8,12,4,7,4,4,0,4,6,4,5,4,5,15,8,4,10,7,4,8,11,9,2,8,8,12,11,4,8,0,3,2,4,13,4,4,3,9,6,9,6,13,5,8,4,3,4,13,4,9,11,0,6,4,5,7,0,5,9,2,0,5,0,7,0,3,0,5,0,7,0,4,2,7,7
chr1:206935486-206937188,2,5,0,0,7,2,4,2,0,2,3,6,0,0,0,3,2,0,2,0,3,0,4,2,4,0,4,4,3,4,0,5,3,7,2,4,3,3,3,0,2,4,0,7,0,3,0,2,0,4,0,0,7,2,0,3,3,2,0,2,2,0,0,0,5,0,0,0,4,2,0,0,3,0,3,3,0,0,4,2,0,0,3,0,0,0,0,0,0,2
