"","chr","start","end","value"
"1","chr1",12452484,12454601,0
"2","chr1",126573474,126583015,0
"3","chr1",139943398,139956356,0
"4","chr1",140044382,140158228,0
"6","chr1",143712491,143718900,0
"8","chr1",150830996,150846872,0
"9","chr1",150887401,150961642,0
"10","chr1",154439745,154447475,0
"11","chr1",162639900,162643789,0
"15","chr1",174609600,174613577,0
"16","chr1",201183051,201188802,0
"17","chr1",217779008,217782988,0
"21","chr1",220039308,220049075,0
"22","chr1",221158617,221158790,0
"25","chr1",244630341,244641499,0
"26","chr1",244630341,244664389,0
"27","chr1",244630341,244728217,0
"28","chr1",244630341,244757847,0
"30","chr1",247711959,247745292,0
"31","chr1",259396273,259421082,0
"32","chr1",267063007,267092775,0
"33","chr1",279235046,279248435,0
"36","chr1",45923228,46014665,0
"39","chr1",92039556,92043956,0
"40","chr10",110101466,110101880,0
"41","chr10",11626519,11627228,0
"42","chr10",16706378,16730140,0
"43","chr10",18396548,18408534,0
"45","chr10",35876013,35876397,0
"46","chr10",43227922,43229953,0
"47","chr10",46824807,46826650,0
"51","chr10",77769631,77772738,0
"52","chr10",91965974,91973005,0
"55","chr11",34612627,34616155,0
"58","chr11",79361488,79399831,0
"59","chr11",79529343,79611741,0
"62","chr12",15075273,15098764,0
"63","chr12",24995592,24999882,0
"64","chr12",25001615,25002399,0
"65","chr12",43576497,43576734,0
"66","chr12",5603316,5604016,0
"68","chr12",8323968,8356308,0
"69","chr12",8349428,8356308,0
"70","chr12",8442273,8443772,0
"71","chr12",9061581,9062262,0
"72","chr12",9229552,9313769,0
"75","chr13",106507146,106507561,0
"76","chr13",34515329,34528874,0
"78","chr13",52565958,52566266,0
"80","chr13",69023733,69031223,0
"81","chr14",106488333,106500203,0
"83","chr14",4154610,4182331,0
"84","chr14",43420839,43430679,0
"85","chr14",43420839,43461320,0
"86","chr14",71861197,71884876,0
"92","chr15",55485728,55488198,0
"94","chr16",10782168,10802548,0
"95","chr16",2115374,2128403,0
"96","chr16",2121549,2126628,0
"99","chr16",54080267,54093004,0
"100","chr16",62023411,62056753,0
"101","chr17",15857684,15858717,0
"103","chr17",43258446,43290432,0
"104","chr17",5511386,5571375,0
"105","chr17",5514017,5571375,0
"106","chr17",5532157,5571375,0
"107","chr17",5559657,5571375,0
"108","chr17",5563519,5571375,0
"109","chr17",63849305,63879166,0
"110","chr17",75596939,75616081,0
"112","chr17",79367996,79383074,0
"113","chr17",79609613,79612177,0
"114","chr17",83502435,83539887,0
"115","chr17",84872804,84922765,0
"116","chr18",14595550,14643454,0
"117","chr18",17300168,17312861,0
"118","chr18",1803205,1819028,0
"119","chr18",2016346,2032491,0
"121","chr18",48443339,48505167,0
"123","chr18",63784568,63844188,0
"124","chr18",72571325,72597936,0
"125","chr18",73479863,73490210,0
"127","chr18",81418662,81428974,0
"128","chr19",22172781,22179584,0
"129","chr19",34249087,34253181,0
"130","chr19",34249087,34346224,0
"131","chr19",34270069,34298610,0
"132","chr19",34270069,34305849,0
"133","chr19",34292209,34346224,0
"134","chr19",37135068,37156898,0
"136","chr2",117545216,117666646,0
"138","chr2",128562842,128636642,0
"140","chr2",154520979,154532393,0
"141","chr2",157066595,157105004,0
"143","chr2",20488617,20531444,0
"144","chr2",206534104,206536360,0
"145","chr2",221062375,221072200,0
"146","chr2",22264781,22267377,0
"147","chr2",227293654,227302440,0
"148","chr2",24065908,24073884,0
"149","chr2",247423411,247446708,0
"150","chr2",247836113,247858291,0
"151","chr2",247883196,247883725,0
"153","chr2",33252541,33258660,0
"154","chr2",34373875,34404958,0
"155","chr2",34373875,34503654,0
"156","chr2",47139938,47146434,0
"157","chr2",5636554,5640909,0
"158","chr2",57320683,57321619,0
"160","chr2",80215799,80234308,0
"161","chr2",80226167,80234308,0
"165","chr20",27409750,27415954,0
"166","chr20",27538479,27544812,0
"168","chr20",4772233,4940017,0
"169","chr20",50659751,50687868,0
"172","chr3",10659684,10663946,0
