"","chr","start","end","value"
"1","chr10",57634023,57634588,0
"2","chr17",5524117,5530105,0
"3","chr2",45801786,45859187,0
"4","chr1",198429807,198432232,0
"5","chr9",110908611,110925546,0
"6","chr16",26628565,26633439,0
"7","chr20",3196267,3282058,0
"8","chr19",54803498,54822499,0
"9","chr9",71915420,71927987,0
"10","chr7",41322521,41326655,0
"11","chr4",181396179,181412674,0
"12","chr1",221065774,221067559,0
"13","chr5",105114416,105114740,0
"14","chr3",3399474,3414759,0
"15","chr15",4124785,4129118,0
"16","chr5",113906799,113929853,0
"17","chr1",251455609,251463748,0
"18","chr2",185384780,185394131,0
"19","chr5",161794861,161804292,0
"20","chr17",65826669,65896119,0
"21","chr16",80780733,80793376,0
"22","chr8",33252442,33279218,0
"23","chr6",76576170,76608864,0
"24","chr8",33572918,33597389,0
"25","chr5",129413066,129528945,0
"26","chr1",281834156,281857037,0
"27","chr18",77291625,77308494,0
"28","chr6",135790445,135797661,0
"29","chr18",72189808,72194387,0
"30","chr8",76897417,76904745,0
"31","chr5",160138672,160148528,0
"32","chr5",69844124,69848818,0
"33","chr18",48443339,48537979,0
"34","chr5",119128606,119129476,0
"35","chr19",54803498,54815443,0
"36","chr10",67821172,67828877,0
"37","chr15",70098761,70139170,0
"38","chr13",95230647,95348984,0
"39","chr1",220015523,220016193,0
"40","chr16",74219791,74228826,0
"41","chr8",46728894,46730691,0
"42","chr4",50180977,50200342,0
"43","chr8",57791873,57797597,0
"44","chr6",22362488,22376735,0
"45","chr2",33252541,33258660,0
"46","chr7",18416266,18417952,0
"47","chr18",48443339,48521166,0
"48","chr16",20606480,20606895,0
"49","chr17",90409044,90424571,0
"50","chr1",165646261,165654319,0
"51","chr1",246648294,246657760,0
"52","chrX",75174388,75174831,0
"53","chr6",21351085,21354603,0
"54","chr18",81724770,81726644,0
"55","chr5",36040325,36054615,0
"56","chr7",140415223,140417547,0
"57","chr6",12179226,12179776,0
"58","chr4",96736381,96787475,0
"59","chr2",189364002,189369293,0
"60","chr6",103389817,103393554,0
"61","chr15",2965953,2966833,0
"62","chr15",2849126,2867333,0
"63","chr1",1841452,1846589,0
"64","chr6",3324175,3334117,0
"65","chr17",79573257,79644806,0
"66","chr8",70203322,70206310,0
"67","chr19",34292209,34312530,0
"68","chr11",64795077,64800821,0
"69","chr2",209143856,209152642,0
"70","chr2",34476081,34503654,0
"71","chr4",632256,642336,0
"72","chr11",34611539,34614139,0
"73","chr14",113906516,113922713,0
"74","chr9",66751637,66774536,0
"75","chr2",172312783,172350004,0
"76","chr9",81258380,81275269,0
"77","chr5",103106261,103201011,0
"78","chr6",11219826,11221789,0
"79","chr18",72571325,72611211,0
"80","chr10",38622808,38633058,0
"81","chr5",167486001,167558250,0
"82","chr12",628708,632694,0
"83","chr4",133205267,133215619,0
"84","chr10",96672236,96722491,0
"85","chr14",85057352,85061960,0
"86","chr13",101729059,101732557,0
"87","chr9",1473647,1485363,0
"88","chr8",127289436,127301219,0
"89","chr9",67331634,67341341,0
"90","chr9",70787138,70787910,0
"91","chr12",24285582,24285875,0
"92","chr1",127025462,127025957,0
"93","chr4",66214543,66219277,0
"94","chr17",37911319,37913118,0
"95","chr3",175512077,175516165,0
"96","chr4",66193731,66214585,0
"97","chr3",94736244,94745177,0
"98","chr3",150384228,150387116,0
"99","chr9",75222546,75230161,0
"100","chr5",105185997,105187360,0
"101","chr14",45668936,45691895,0
"102","chr4",66463926,66473208,0
"103","chr2",2903491,2918203,0
"104","chr13",109457218,109588736,0
"105","chr10",4624614,4629886,0
"106","chr10",48460656,48484868,0
"107","chr8",26267895,26294259,0
"108","chr17",86845723,86873000,0
"109","chr10",95327724,95328546,0
"110","chr2",227687641,227700240,0
"111","chr8",26267895,26271172,0
"112","chr1",128621052,128628362,0
"113","chr1",259479327,259488326,0
"114","chr17",65855661,65896119,0
"115","chr17",24032670,24045965,0
"116","chr14",6612028,6622491,0
"117","chr2",231078900,231128709,0
"118","chr1",217779008,217782988,0
"119","chr14",106153575,106167943,0
"120","chr17",79761095,79789485,0
"121","chr8",23508992,23560371,0
"122","chr5",172949060,172965700,0
"123","chr2",23399715,23410608,0
"124","chr2",62955690,62956953,0
"125","chr17",79563596,79575914,0
"126","chr12",51582921,51584301,0
"127","chr5",75968777,75975620,0
"128","chr19",22113525,22179584,0
"129","chr18",69642130,69657373,0
"130","chr6",43309180,43321981,0
"131","chr3",133108204,133122763,0
"132","chr15",41008529,41011344,0
"133","chr10",77765225,77772738,0
"134","chr13",81156728,81162420,0
"135","chr10",66595570,66597359,0
"136","chr12",5733574,5773035,0
"137","chr18",81418662,81428974,0
"138","chr9",38321692,38326937,0
"139","chr4",87186852,87193410,0
"140","chr14",69800154,69819258,0
"141","chr14",4154610,4182331,0
"142","chr1",253120469,253134791,0
"143","chr14",79953865,79974054,0
"144","chr8",130006477,130031678,0
"145","chr2",188301023,188309036,0
"146","chr3",80718406,80732927,0
"147","chr3",60744743,60756038,0
"148","chr8",116609560,116615939,0
"149","chr12",24271680,24273857,0
"150","chr5",144904225,144907761,0
"151","chr12",24513410,24524704,0
"152","chr11",34612627,34614139,0
"153","chr11",34612627,34631134,0
"154","chr7",123685068,123715127,0
"155","chr3",61781151,61813898,0
"156","chr5",29851601,29865341,0
