,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
chr12:120154970-120155719,14.3962655779567,1.80551082825944,0.16213867482614,11.1355963048019,8.41797254581867e-29,1.26017049010906e-25
chr8:127890589-127890998,10.1013809827396,2.88942789500091,0.261935603862487,11.031062033544,2.70649847903694e-28,2.02581411155915e-25
chr9:135881633-135883078,38.7254217397513,1.21626767285397,0.116576628760793,10.4332033425814,1.74890841698417e-25,8.72705300075099e-23
chr6:130926605-130956499,12.4275802866354,-2.05030225800342,0.203913340814185,-10.0547725313948,8.75233251155091e-24,3.27556044244793e-21
chr5:38523419-38530666,4.11765303227001,-3.96973561922912,0.402492988295009,-9.86286900560735,6.03012575651895e-23,1.80541965150177e-20
chr9:110972073-110973558,12.929390236476,-1.72626262615313,0.178880937374031,-9.65034425408675,4.89909877820357e-22,1.22232514516179e-19
chr4:186706563-186709845,24.212817080807,1.46916992994619,0.161241375513928,9.11161868511399,8.11618624652527e-20,1.73570440157833e-17
chr7:100812747-100813208,13.029627590862,1.56011971770684,0.171541311043661,9.09471723292218,9.48329150298168e-20,1.77456092249545e-17
chr5:84060300-84066606,4.88848494325564,-2.86763934789443,0.316031301951076,-9.07390923047985,1.14821768806434e-19,1.90986875448034e-17
chr10:94030683-94032252,9.50670992950272,-1.61289051291973,0.189643735887867,-8.50484465183395,1.81838916162649e-17,2.72212857495485e-15
chr4:71236576-71255399,1.44752572725044,-3.71425016280137,0.448297780008446,-8.28522988164561,1.17881167339956e-16,1.60425552279921e-14
chrX:131749306-131794466,5.80837852963102,6.11488379010421,0.758258535066788,8.06437845050515,7.36094013856515e-16,9.18277282286002e-14
chr13:42285986-42308609,1.95695585474243,3.71918324099666,0.463700267957188,8.02066226396927,1.05176547008217e-15,1.2111483913177e-13
chr14:34551714-34554912,16.4410432607706,-1.97876026595102,0.251229329614758,-7.87631073563468,3.37189052424663e-15,3.60551436771229e-13
chr1:213996469-214011715,3.37656072212422,4.08277748951214,0.527804969742037,7.73539038767972,1.0308628443912e-14,1.02880111870242e-12
chr1:200043774-200120955,1.63478937616973,-3.43780285741747,0.46255806518249,-7.43215417952161,1.06843156704758e-13,9.99651284918895e-12
chr13:21167988-21168399,8.46988130236779,1.40065605134711,0.194256231893487,7.21035324166643,5.58069146735952e-13,4.91429125096306e-11
chr9:110972073-111011690,3.74877720039522,-2.17727893265537,0.304024627241063,-7.16152159255501,7.97864437584503e-13,6.43238848422577e-11
chr8:144190784-144200541,1.90174895017441,4.28257837641885,0.598261421522748,7.15837294926765,8.16402012025983e-13,6.43238848422577e-11
chr19:58392976-58393487,3.52764314321743,2.53078148264885,0.358604042070427,7.05731443526736,1.69751221747218e-12,1.27058789477792e-10
chr4:71339370-71357187,1.27412478978038,-3.32593159028779,0.472748162129054,-7.03531363360405,1.98813289220231e-12,1.41725473315565e-10
chr9:112268049-112297916,3.35851062945019,2.44430167920864,0.349309697707295,6.9975202384929,2.60532438148449e-12,1.77280481776467e-10
chr10:110881233-110890670,3.03327241512892,-2.249848750019,0.326312305557112,-6.89477139447084,5.39514927193993e-12,3.51153846091047e-10
chr4:61934840-61998265,3.20931129450799,-2.4372353847249,0.354900342723091,-6.8673796312069,6.53918859889113e-12,4.07881888855834e-10
chr7:100819557-100820296,1.621095005357,3.39569558108574,0.496335046558964,6.84153900601564,7.8346864821398e-12,4.69141026550531e-10
chr5:74634684-74636498,4.67033577854707,2.09523512683163,0.308557251849654,6.79042581002938,1.11803061087698e-11,6.43727624801095e-10
chr1:95143891-95151419,20.2123340451251,-1.05096382872814,0.155504892333256,-6.75839719869306,1.39526593022975e-11,7.73597443538494e-10
