"","chr","start","end","value"
"1","chrX",131749306,131794466,875.93958588
"2","chr9",16435555,16437524,147.334326516667
"3","chr9",135881633,135883078,4417.6730316
"4","chr9",122280443,122291840,421.24816649
"5","chr9",110972073,110973558,475.689175523333
"6","chr8",47279862,47294030,667.47198475
"7","chr8",127890589,127890998,1415.13142862
"8","chr7",677229,711527,659.101180253333
"9","chr7",35010468,35018596,518.743863233333
"10","chr7",24623666,24668660,1056.4766789
"11","chr7",24623663,24668660,516.275151386667
"12","chr7",100812747,100813208,1550.83138895667
"13","chr6",158583954,158589782,945.164115766667
"14","chr6",130926605,130956499,390.40317852
"15","chr5",84060300,84066606,96.3546376066667
"16","chr5",74634684,74636498,611.417714926667
"17","chr5",69174877,69175537,924.1542015
"18","chr5",128138597,128152805,420.02658562
"19","chr5",128131067,128141981,554.802569676667
"20","chr4",186706563,186709845,2885.0998902
"21","chr3",197104903,197119530,598.288325436667
"22","chr3",170359699,170361429,623.87369094
"23","chr22",41808875,41813822,508.1441235
"24","chr20",56381433,56384324,612.13020405
"25","chr20",51674153,51690819,573.51389916
"26","chr20",35653528,35659014,677.574060406667
"27","chr2",88801099,88804880,499.574345213333
"28","chr2",71396141,71418639,235.537512066667
"29","chr2",214767482,214781509,556.396747023333
"30","chr2",199308760,199328910,331.973813353333
"31","chr2",196912882,196923125,547.12189886
"32","chr2",173358712,173359491,517.356892716667
"33","chr19",21974729,21988909,334.29953951
"34","chr19",11120092,11120522,453.362772423333
"35","chr18",44949881,44953340,188.25550255
"36","chr17",82900651,82911789,602.311821823333
"37","chr17",82563354,82568201,429.016833413333
"38","chr16",30483827,30484263,191.427732756667
"39","chr16",27213585,27215008,200.785983766667
"40","chr14",99257471,99257839,689.146625653333
"41","chr14",96833467,96860735,1305.54190376333
"42","chr14",34551714,34554912,544.946879613333
"43","chr13",24222819,24224582,496.18629449
"44","chr13",21167988,21168399,1003.67790751333
"45","chr12",69251129,69262562,748.258198613333
"46","chr12",120154970,120155719,1817.24496229333
"47","chr11",114580132,114583021,163.734874063333
"48","chr10",97436417,97437750,398.784699073333
"49","chr10",94030683,94032252,373.909747503333
"50","chr10",48401612,48410168,157.62625811
"51","chr1",95143891,95173889,262.865662423333
"52","chr1",95143891,95151419,1067.85799159333
"53","chr1",113848540,113855049,183.52174511
"54","chr1",113829592,113834439,642.440195336667
"55","chr1",103565435,103575540,306.981092186667
