"","chr","start","end","value"
"1","chrX",131749306,131794466,4.56621004666667
"2","chr9",16435555,16437524,447.171113546667
"3","chr9",135881633,135883078,1923.9154969
"4","chr9",122280443,122291840,166.580628549667
"5","chr9",110972073,110973558,1642.16249526667
"6","chr8",47279862,47294030,315.456042703333
"7","chr8",127890589,127890998,193.434389326667
"8","chr7",677229,711527,150.6295999
"9","chr7",35010468,35018596,261.918264416667
"10","chr7",24623666,24668660,461.443486758
"11","chr7",24623663,24668660,169.821763159
"12","chr7",100812747,100813208,545.526833106667
"13","chr6",158583954,158589782,466.294412643333
"14","chr6",130926605,130956499,1649.717479
"15","chr5",84060300,84066606,707.04312657
"16","chr5",74634684,74636498,142.942150495667
"17","chr5",69174877,69175537,390.57668504
"18","chr5",128138597,128152805,189.39046515
"19","chr5",128131067,128141981,162.628979434667
"20","chr4",186706563,186709845,1068.78032902333
"21","chr3",197104903,197119530,255.150049543333
"22","chr3",170359699,170361429,289.16839521
"23","chr22",41808875,41813822,189.688890446667
"24","chr20",56381433,56384324,262.908831543333
"25","chr20",51674153,51690819,269.669092293333
"26","chr20",35653528,35659014,326.386017573333
"27","chr2",88801099,88804880,1221.49344038
"28","chr2",71396141,71418639,526.91150373
"29","chr2",214767482,214781509,229.153645996667
"30","chr2",199308760,199328910,767.75261416
"31","chr2",196912882,196923125,240.44766768
"32","chr2",173358712,173359491,227.881336863333
"33","chr19",21974729,21988909,1276.37992106667
"34","chr19",11120092,11120522,115.046311193333
"35","chr18",44949881,44953340,412.671970466667
"36","chr17",82900651,82911789,182.850397846667
"37","chr17",82563354,82568201,191.169043876667
"38","chr16",30483827,30484263,492.687050173333
"39","chr16",27213585,27215008,453.905743546667
"40","chr14",99257471,99257839,266.560829149
"41","chr14",96833467,96860735,615.20625194
"42","chr14",34551714,34554912,2145.05089284
"43","chr13",24222819,24224582,177.642049296667
"44","chr13",21167988,21168399,381.6212414
"45","chr12",69251129,69262562,359.748894276667
"46","chr12",120154970,120155719,519.564923733333
"47","chr11",114580132,114583021,582.022168376667
"48","chr10",97436417,97437750,930.233446516667
"49","chr10",94030683,94032252,1197.73515116667
"50","chr10",48401612,48410168,421.86114727
"51","chr1",95143891,95173889,675.576152306667
"52","chr1",95143891,95151419,2262.93006763333
"53","chr1",113848540,113855049,458.958281423333
"54","chr1",113829592,113834439,1338.21692116333
"55","chr1",103565435,103575540,673.582200666667
