"","chr","start","end","value"
"1","chr16",19616114,19647882,2.93333333333333
"2","chr11",65502726,65502925,40.2666666666667
"3","chr4",55411614,55417985,5.4
"4","chr21",36338779,36344707,9.33333333333333
"5","chr16",53873786,53888951,10.3333333333333
"6","chr3",195959012,195960086,3.43333333333333
"7","chr7",156826605,156836885,5.13333333333333
"8","chr1",26729651,26732792,20.7
"9","chr3",155829688,155834041,3.03333333333333
"10","chr12",57467333,57468224,2.1
"11","chr16",47497399,47547548,3.1
"12","chrM",14814,14947,1.63333333333333
"13","chr2",108752998,108753563,1.46666666666667
"14","chr2",39336920,39337581,2.13333333333333
"15","chr11",65499628,65499727,2.13333333333333
"16","chr1",70292388,70315566,4.03333333333333
"17","chr17",77402059,77402703,2.43333333333333
"18","chr18",21564203,21568094,2
"19","chr11",36227085,36227430,3.36666666666667
"20","chr17",82563354,82568201,1.86666666666667
"21","chr14",35651805,35659196,2
"22","chr11",65500595,65500639,2.3
"23","chr7",22976210,22991139,2.13333333333333
"24","chrX",10566888,10567603,2
"25","GL000255.2",1906082,1906554,6
"26","chr1",155853276,155853806,8.1
"27","chr1",114463104,114464388,4.7
"28","chr10",67988663,68014186,1.63333333333333
"29","chr4",150761783,150808398,2.9
"30","chr6",2263601,2273417,4.56666666666667
"31","chr3",71493426,71501988,1.83333333333333
"32","chr19",17237699,17239073,1.93333333333333
"33","chr14",49586764,49862844,9.5
"34","chr11",77619606,77625818,6.4
"35","chr19",5047476,5082504,2.93333333333333
"36","chr2",207976651,207977586,6.43333333333333
"37","chr12",6967339,6967519,2.5
"38","chr7",92517276,92518255,1.6
"39","chr8",70213903,70216764,11.1333333333333
"40","chrM",5912,6052,10.5666666666667
"41","chrM",9065,9178,17.9666666666667
"42","chr11",65500635,65500759,5.23333333333333
"43","chr1",155438327,155459898,5.6
"44","chr11",65499639,65499703,1.76666666666667
"45","chr3",138570318,138571356,8.9
"46","chr17",61984171,61985090,3.96666666666667
"47","chr1",28459085,28466535,2.4
"48","chr14",63998914,64022863,3.56666666666667
"49","chr5",103096541,103097781,3.3
"50","chr7",17868407,17875790,6.36666666666667
"51","chr11",86012281,86031611,1.83333333333333
"52","chr11",65499285,65499483,4
"53","chr15",62007308,62013992,6.23333333333333
"54","chrM",9064,9199,7.76666666666667
"55","chr14",49586702,49586879,1.83333333333333
"56","chr14",75046376,75049718,5.73333333333333
"57","chr1",30992390,30995220,3.33333333333333
"58","chr9",77337255,77371149,1.96666666666667
"59","chr10",113876521,113884380,1.8
"60","chr2",61522611,61526521,6.56666666666667
"61","chr3",149895473,149921227,1.86666666666667
"62","chr11",46076754,46092223,2.03333333333333
"63","chr17",59764971,59773885,1.83333333333333
"64","chr18",54277703,54287411,1.96666666666667
"65","chrM",7209,7394,1.96666666666667
"66","chr8",123077111,123105464,3
"67","chrM",8439,8493,3.16666666666667
"68","chr1",632618,632686,7.56666666666667
"69","chr11",65500559,65500598,2.66666666666667
"70","chr16",74459682,74463479,2.03333333333333
"71","chr1",117911994,117918736,2.33333333333333
"72","chr11",86007542,86031611,4.13333333333333
"73","chr11",85974708,85983973,2.03333333333333
"74","chrM",4042,4131,3.63333333333333
"75","chr14",39033517,39033642,2.46666666666667
"76","chr11",85996826,86003451,12.1666666666667
"77","chr9",16727797,16738485,3.73333333333333
"78","chrM",6584,6700,5.63333333333333
"79","chr10",94245946,94246621,7.06666666666667
"80","chr3",119503532,119513719,1.6
"81","chr11",65499715,65499841,2.23333333333333
"82","chr11",65500490,65500684,5.1
"83","chr2",61278165,61281242,1.83333333333333
"84","chr15",76274412,76295737,6.06666666666667
"85","chr12",68650400,68654252,2.36666666666667
"86","chr3",149846011,149895560,1.6
"87","chr1",113834910,113855049,4.46666666666667
"88","chr20",10556231,10560820,4.26666666666667
"89","chr14",102081061,102081179,2.43333333333333
"90","chr6",160046498,160048543,3.66666666666667
"91","chr18",62348168,62349937,10.2666666666667
"92","chr3",119500695,119513719,3.26666666666667
