ID,X1032245.T_bwa.ciri2,X1039868.T_bwa.ciri2,X1042353.T_bwa.ciri2,X1042745.T_bwa.ciri2,X1043773.T_bwa.ciri2,X1045386.T_bwa.ciri2,X1045549.T_bwa.ciri2,X1046191.T_bwa.ciri2,X1046287.T_bwa.ciri2,X1046349.T_bwa.ciri2,X1046499.T_bwa.ciri2,X1047291.T_bwa.ciri2,X1047831.T_bwa.ciri2,X1047912.T_bwa.ciri2,X1048720.T_bwa.ciri2,X1049983.T_bwa.ciri2,X1050700.T_bwa.ciri2,X1051316.T_bwa.ciri2,X1054390.T_bwa.ciri2,X1056166.T_bwa.ciri2,X272577.T_bwa.ciri2,X451368.T_bwa.ciri2,X477022.T_bwa.ciri2,X515975.T_bwa.ciri2,X522638.T_bwa.ciri2,X548142.T_bwa.ciri2,X649867.T_bwa.ciri2,X685749.T_bwa.ciri2,X843725.T_bwa.ciri2,X99272.T_bwa.ciri2,CircRNACount.1032245.T,CircRNACount.1039868.T,CircRNACount.1042353.T,CircRNACount.1042745.T,CircRNACount.1043773.T,CircRNACount.1045386.T,CircRNACount.1045549.T,CircRNACount.1046191.T,CircRNACount.1046287.T,CircRNACount.1046349.T,CircRNACount.1046499.T,CircRNACount.1047291.T,CircRNACount.1047831.T,CircRNACount.1047912.T,CircRNACount.1048720.T,CircRNACount.1049983.T,CircRNACount.1050700.T,CircRNACount.1051316.T,CircRNACount.1054390.T,CircRNACount.1056166.T,CircRNACount.272577.T,CircRNACount.451368.T,CircRNACount.477022.T,CircRNACount.515975.T,CircRNACount.522638.T,CircRNACount.548142.T,CircRNACount.649867.T,CircRNACount.685749.T,CircRNACount.843725.T,CircRNACount.99272.T
chr22:40881770-40882177,5,0,0,2,0,4,0,0,3,4,0,3,3,2,0,2,4,0,0,0,0,0,3,0,5,0,2,4,2,2,2,1,0,2,0,3,0,0,3,2,0,3,3,1,0,2,4,0,0,0,1,0,2,0,3,0,2,2,2,2
chr11:33286413-33287511,114,36,42,92,83,123,44,70,114,88,81,105,81,88,61,56,68,40,75,46,63,70,74,63,52,51,38,77,79,82,84,29,1,77,5,1,36,55,2,2,2,85,2,1,1,1,59,32,2,4,46,1,1,53,45,4,31,7,1,1
chr11:117152441-117163892,5,3,2,7,6,12,0,4,2,2,2,3,8,4,5,7,11,0,3,4,3,3,3,3,4,0,2,5,2,4,4,3,0,4,4,9,1,1,2,0,0,3,4,1,3,4,8,1,2,2,2,2,2,2,4,0,1,4,0,2
chr10:68468123-68470163,3,11,8,8,17,8,2,4,4,8,7,25,6,10,7,11,17,3,6,5,6,11,10,2,11,3,4,12,5,3,2,9,6,6,15,5,2,3,3,3,7,16,4,6,6,9,15,2,6,4,3,9,5,2,9,2,3,7,4,3
chr7:127373342-127377329,6,2,0,2,3,3,3,0,3,5,0,0,9,8,0,3,3,3,0,0,0,0,3,0,5,0,0,3,0,4,5,1,1,2,3,2,3,1,2,3,1,1,6,7,1,2,4,2,1,1,0,1,2,0,4,0,0,3,1,1
chr4:37631385-37638504,13,4,3,0,10,2,3,6,12,5,6,7,9,4,2,2,8,3,6,10,5,11,5,0,5,15,13,16,2,9,6,3,1,0,8,2,2,4,6,3,4,3,6,3,2,1,6,2,5,8,3,9,1,1,3,11,8,7,2,7
chr3:197104903-197119530,10,4,4,15,6,6,5,7,5,4,9,14,3,10,7,8,15,4,2,2,6,0,9,2,11,3,5,4,2,3,4,3,3,11,5,3,3,6,5,4,7,12,2,7,5,7,12,2,0,2,4,1,5,0,9,1,5,2,1,3
chr12:120154970-120155719,19,7,30,33,18,14,9,20,12,22,26,22,20,26,15,29,24,14,16,14,13,11,33,7,22,26,16,26,6,10,12,5,22,24,9,11,7,15,8,12,19,14,10,19,12,20,15,9,11,14,10,8,18,5,12,12,13,17,4,6
chr13:49451553-49451909,4,3,0,2,2,0,0,5,0,2,3,0,0,0,2,0,2,2,4,3,5,3,5,4,0,4,0,4,3,0,3,2,1,1,2,0,0,4,1,1,3,0,0,1,2,0,1,1,3,2,4,3,4,2,1,2,1,2,2,1
chr2:61522611-61533903,54,8,40,20,41,27,15,24,28,39,56,31,19,42,17,17,39,25,21,29,13,30,31,22,24,44,21,44,30,44,35,5,28,14,31,23,15,13,22,30,42,24,16,36,13,14,29,17,19,20,10,25,26,19,22,32,16,31,28,35
chr20:56381433-56384324,3,2,15,6,28,14,0,0,0,10,7,11,4,13,4,5,12,4,11,3,9,5,8,0,7,7,4,13,0,2,3,1,11,8,19,3,2,1,2,4,5,4,4,6,2,4,3,3,9,1,3,1,3,0,4,2,4,4,0,2
chr8:70213903-70216764,8,5,15,15,14,8,0,4,0,6,10,5,6,15,3,3,5,4,13,12,3,4,5,7,6,11,3,9,11,7,7,4,12,15,12,8,0,3,0,5,9,4,4,14,3,3,5,4,10,11,1,4,2,6,5,9,3,7,9,6
chr2:121757240-121761524,4,5,3,0,8,5,0,2,2,0,2,8,5,4,0,0,5,6,0,3,2,7,3,0,4,5,0,9,3,0,3,5,2,1,7,3,1,2,1,1,2,7,4,4,1,1,4,5,0,2,2,6,2,1,3,4,0,8,3,1
chrX:53614534-53615835,5,5,4,0,4,8,2,5,9,4,7,7,3,4,2,2,3,11,4,2,0,6,0,3,10,5,5,7,0,2,3,4,3,1,2,6,2,4,9,3,6,6,3,3,1,2,2,9,4,0,1,4,0,2,7,1,5,5,1,1
chr5:128131067-128141981,2,6,3,2,8,6,6,8,11,11,3,9,3,9,0,13,3,4,4,5,5,7,7,4,2,3,0,9,7,3,1,6,2,1,7,5,3,6,11,10,2,6,3,6,1,11,3,3,4,3,3,6,7,4,1,2,1,6,6,2
chr1:22078429-22086866,4,0,0,5,5,8,0,7,2,3,3,2,0,9,2,5,3,3,3,7,5,2,0,0,0,5,0,7,5,2,3,0,0,3,0,4,0,5,2,2,2,2,1,6,1,1,0,3,1,4,3,2,1,0,0,1,0,2,2,0
chr5:14741827-14758598,3,0,2,4,3,2,3,0,0,3,3,4,0,5,3,0,2,0,0,0,0,4,2,0,0,0,2,2,2,2,2,0,2,3,3,2,2,0,0,2,2,4,1,5,2,0,2,1,1,0,0,3,2,1,0,1,2,1,2,2
chr10:84371014-84373815,2,2,8,8,10,5,5,2,5,0,4,4,9,3,0,0,5,2,2,5,0,5,2,2,2,0,0,7,3,3,2,1,5,6,1,3,2,2,3,1,3,2,4,3,0,1,4,1,2,4,0,3,2,2,2,1,1,5,1,3
chr16:85633914-85634132,25,10,0,2,18,7,4,12,11,11,16,0,5,2,6,0,14,6,10,11,0,7,6,9,3,15,9,19,12,12,14,9,0,3,12,6,3,8,8,7,11,0,4,2,3,0,10,5,9,8,1,6,3,8,2,10,8,13,7,10
chr18:9583117-9595102,7,0,0,8,3,6,0,0,8,2,0,0,7,9,3,5,7,5,4,5,6,4,3,2,3,0,10,4,0,11,4,1,1,7,3,5,0,1,4,2,1,1,5,5,3,4,5,3,3,4,4,3,2,2,1,0,9,4,1,10
chr1:1804419-1817875,9,6,2,3,6,8,2,2,4,6,7,5,3,4,2,3,0,5,9,4,0,3,5,2,6,6,2,6,3,3,1,3,1,2,7,2,1,2,2,3,5,3,0,2,0,1,0,2,4,1,1,1,2,1,4,1,1,3,3,1
chr5:66053406-66054951,6,4,3,3,3,3,0,2,7,2,5,0,4,4,5,2,3,0,4,2,10,2,5,0,5,6,4,7,3,7,5,4,3,3,2,2,1,2,5,1,4,1,4,1,5,2,1,0,3,2,6,1,5,1,5,1,4,4,1,7
chr4:51863437-51877854,3,2,0,2,7,2,2,0,0,4,4,3,2,5,3,3,9,3,5,3,0,6,2,0,6,2,6,13,2,7,1,1,0,1,6,2,2,1,1,4,3,3,2,4,2,2,7,1,3,3,1,3,2,1,4,2,4,9,2,4
chr7:66127704-66134374,0,2,6,0,8,4,2,8,6,0,5,8,5,4,0,7,8,10,5,6,3,7,5,2,0,10,7,4,9,6,0,1,2,0,5,0,1,1,2,0,2,3,3,1,0,3,5,4,2,3,1,6,0,2,0,3,2,2,3,1
chr1:236806144-236816543,6,2,4,2,2,10,3,2,0,5,0,6,3,6,0,2,5,4,3,2,6,0,2,0,3,8,0,5,4,6,6,2,1,2,2,7,2,2,0,4,1,6,3,4,0,2,5,3,2,2,4,0,2,0,3,1,0,4,3,4
chr3:158122103-158123991,6,0,3,4,0,8,2,2,9,3,6,7,8,7,3,6,13,9,0,5,7,8,4,0,9,3,5,9,2,2,5,0,2,4,1,5,1,2,4,2,5,4,3,5,0,5,9,6,1,4,5,2,4,0,4,2,3,6,2,1
chr21:29326059-29329693,9,2,2,9,2,4,0,3,5,2,2,0,2,4,0,3,2,0,0,2,5,2,0,2,0,0,2,4,0,3,9,2,2,7,1,4,1,3,4,2,0,0,2,4,1,3,2,0,1,1,4,2,0,2,1,1,1,4,0,3
chr4:3086939-3107423,6,6,7,5,9,4,0,3,5,4,8,0,7,8,4,4,12,2,7,6,4,5,3,4,10,3,4,10,3,7,4,5,6,3,7,4,0,1,4,4,6,1,5,7,3,3,9,1,4,5,3,4,2,4,9,3,4,8,2,1
chr17:49311312-49312845,4,3,6,3,11,2,2,0,5,3,11,4,2,4,3,0,0,0,4,3,0,6,7,2,7,5,3,5,5,4,2,2,6,2,9,1,1,1,4,1,10,4,2,4,3,1,1,0,2,2,1,5,6,1,4,4,1,2,3,3
chr3:49967470-49975392,5,2,2,3,5,3,0,2,4,3,3,4,2,9,2,2,0,2,3,2,2,0,3,2,5,9,0,5,2,4,3,2,1,1,5,2,0,1,2,3,2,2,2,4,1,1,0,1,2,1,1,0,0,1,3,7,1,4,1,2
chr17:61984171-61985090,2,4,7,4,8,5,3,3,4,0,8,6,3,3,2,4,2,3,4,2,3,3,0,0,7,5,3,7,6,3,1,2,7,3,7,3,2,3,4,0,6,5,3,2,1,2,2,2,2,2,1,3,1,0,6,2,3,6,3,3
chr7:74356410-74357477,7,5,8,3,14,9,2,3,4,11,8,6,9,18,9,5,6,4,5,4,5,4,2,0,7,4,4,12,5,5,5,4,8,1,12,7,2,3,4,7,7,5,9,16,6,1,5,3,4,2,5,4,2,2,7,3,3,12,5,4
chr18:62539681-62550460,7,5,3,2,12,2,0,0,9,2,0,7,9,8,2,0,4,2,3,3,0,6,0,0,5,6,8,11,2,7,5,5,3,2,10,2,1,2,6,2,0,5,8,4,1,1,4,2,2,3,0,6,0,1,2,6,7,8,2,6
chr15:49235851-49239367,9,0,2,6,7,0,2,3,9,2,8,5,5,2,3,0,3,5,6,2,2,0,2,0,0,4,4,10,6,6,3,0,1,6,4,1,2,2,5,1,6,4,4,1,3,0,2,2,5,2,2,0,1,1,1,3,4,9,4,4
chr10:124681607-124682379,16,7,2,10,0,7,0,0,7,5,8,3,9,5,4,8,10,4,6,2,6,6,6,5,6,7,8,12,4,4,14,7,2,8,1,7,0,0,5,5,5,2,8,3,2,6,8,3,4,1,4,3,4,4,5,7,6,11,2,4
chr9:5968019-5988545,8,0,0,2,4,4,0,3,0,0,2,5,3,2,2,2,6,2,3,0,0,3,0,0,4,5,0,2,5,4,5,1,0,2,1,2,0,2,0,0,2,3,3,0,1,1,5,2,2,1,0,1,0,1,3,3,0,2,3,4
