"","chr","start","end","value"
"1","chr2",115309239,115343912,3.13333333333333
"2","chr3",4410865,4420146,2.93333333333333
"3","chr10",21713772,21727928,2.43333333333333
"4","chr10",103438015,103438808,4.26666666666667
"5","chr12",20616230,20635056,1.33333333333333
"6","chr9",33971651,33973237,7.03333333333333
"7","chr21",44855210,44861271,8.33333333333333
"8","chr12",46229153,46243314,26.1666666666667
"9","chr9",33986760,34017189,2.66666666666667
"10","chr8",131940499,131946633,3.16666666666667
"11","chr7",66127704,66134374,5.56666666666667
"12","chrX",119640692,119653040,2.33333333333333
"13","chr2",168138088,168140758,1.63333333333333
"14","chrX",65075474,65113813,5.93333333333333
"15","chr1",206935486,206937188,2.26666666666667
"16","chr15",94298201,94298730,5.36666666666667
"17","chr14",21503173,21503881,17.1
"18","chr3",47610066,47678311,1.7
"19","chr11",85974708,86031611,3.8
"20","chr11",130260856,130261929,23.0333333333333
"21","chr13",42953948,42970670,5.56666666666667
"22","chr12",2820086,2821792,4.86666666666667
"23","chr3",3137260,3144710,3
"24","chr4",39737420,39755739,1.46666666666667
"25","chr12",120557282,120557682,7.36666666666667
"26","chr3",50108070,50108304,2.06666666666667
"27","chr20",32366384,32369123,13.5333333333333
"28","chr1",114463104,114464388,6.56666666666667
"29","chr1",160323431,160332557,5.36666666666667
"30","chr2",190659158,190673152,23.3666666666667
"31","chr2",238182065,238185287,11.2666666666667
"32","chr15",85064370,85067204,2.3
"33","chr4",151174670,151187463,4.13333333333333
"34","chr3",119503532,119513719,1.93333333333333
"35","chr10",67988663,68014186,1.76666666666667
"36","chr5",154033791,154034967,22.7
"37","chr20",35714185,35725155,13.9666666666667
"38","chr2",173954873,173956232,4.06666666666667
"39","chr4",149733244,149815348,1.7
"40","chr15",101235082,101235577,4.4
"41","chr11",117152441,117163892,3.46666666666667
"42","chr3",65429520,65442849,1.56666666666667
"43","chr18",8718424,8720496,2.93333333333333
"44","chr9",20819796,20823115,6.66666666666667
"45","chr7",116110708,116112038,3.3
"46","chr12",32607957,32611283,6.93333333333333
"47","chr4",87195324,87195690,31.7666666666667
"48","chr1",231795242,231818517,6.6
"49","chr12",123345258,123350441,2.1
"50","chr16",68121987,68123121,24.3
"51","chr5",142885298,142932125,3.9
"52","chr4",40594258,40596800,2.86666666666667
"53","chr3",188406112,188524787,1.86666666666667
"54","chr12",27714780,27724186,6.66666666666667
"55","chr1",211353239,211354467,5
"56","chr16",30483827,30484263,7.76666666666667
"57","chr18",24064140,24069271,7.33333333333333
"58","chr10",84371014,84373815,3.4
"59","chr11",77619606,77625818,13.1666666666667
"60","chr5",73074742,73077493,42.0333333333333
"61","chr4",177353308,177353728,1.9
"62","chr2",8939821,8958642,2.7
"63","chr11",17878208,18010139,4.03333333333333
"64","chr6",158583954,158589782,7.53333333333333
"65","chr9",93471141,93476338,15.8666666666667
"66","chr20",47276314,47287284,1.43333333333333
"67","chr22",45689712,45702847,2.53333333333333
"68","chr6",158267234,158314268,2.86666666666667
"69","chr3",31576396,31580096,15.2666666666667
"70","chr2",45546317,45562756,1.53333333333333
"71","chr10",126970702,127061776,2.8
"72","chr7",22291175,22340886,1.23333333333333
"73","chr1",66958059,66963160,4.33333333333333
"74","chr8",67105905,67116122,3.66666666666667
"75","chr8",22196680,22197420,2
"76","chr6",154787861,154792976,2.7
"77","chr11",130109429,130110661,1.9
"78","chr17",3705081,3705645,2.86666666666667
"79","chr5",180261684,180280608,5.26666666666667
"80","chr16",19616114,19647882,4.13333333333333
"81","chr1",167966629,167975015,2.93333333333333
"82","chr2",164692221,164695836,2.3
"83","chr5",52861447,52865817,2.26666666666667
"84","chrX",2953143,2955537,2.23333333333333
"85","chr7",137901354,137916012,1.73333333333333
"86","chr19",50398851,50399484,4.46666666666667
"87","chr13",49168613,49178654,2.03333333333333
"88","chr10",94245946,94246621,10.1333333333333
"89","chr18",75285448,75288648,2.2
"90","chr17",39708321,39710481,9.36666666666667
"91","chr1",26729651,26732792,28.8666666666667
"92","chr8",100259107,100264785,1.86666666666667
"93","chr1",112653598,112659779,4.23333333333333
"94","chr14",88574693,88578140,3.13333333333333
"95","chr14",50150008,50150230,3.03333333333333
"96","chr6",79042843,79060818,4.43333333333333
"97","chr10",93381219,93389154,3.13333333333333
"98","chr4",102304317,102315830,16.4333333333333
"99","chr5",50750151,50763242,2.9
"100","chr8",100287501,100288267,1.76666666666667
"101","chr7",92294889,92319512,1.66666666666667
"102","chr20",35653528,35659014,5.03333333333333
"103","chr1",13731000,13749487,2
"104","chr1",45566569,45567020,2.4
"105","chr2",159169250,159170805,2.16666666666667
"106","chrX",37386599,37426000,1.66666666666667
"107","chr16",30728966,30729572,13.6333333333333
"108","chr21",39218152,39218660,1.4
"109","chr19",45263113,45263367,5.13333333333333
"110","chr6",138943513,138944622,32.2666666666667
"111","chr7",131387120,131399433,3.5
"112","chr15",68141946,68173892,1.43333333333333
"113","chr4",1900626,1918623,2.93333333333333
"114","chr17",47361378,47379253,2.23333333333333
"115","chr9",4286038,4286523,6.46666666666667
"116","chr15",85113873,85115487,23
"117","chr15",90217439,90221765,3.16666666666667
"118","chr5",94868333,94924021,1.83333333333333
"119","chr5",145817894,145826200,19.7
"120","chr10",101939863,101957732,2.53333333333333
"121","chr5",50399107,50411383,15.8
"122","chr9",125657651,125672643,3.9
"123","chr6",161034259,161049979,2.5
"124","chr12",111509549,111510582,6.3
"125","chr13",77205256,77243951,1.5
"126","chr19",45517663,45518094,2.9
"127","chr2",68490190,68545312,9.8
"128","chr9",75016268,75017448,3.3
"129","chr1",117460489,117502970,2.96666666666667
"130","chr2",200856682,200856985,3.83333333333333
"131","chr13",100301460,100309908,4.36666666666667
"132","chr9",112574057,112575251,3.86666666666667
"133","chr4",1225360,1241519,5.66666666666667
"134","chr2",36441258,36442735,2.56666666666667
"135","chr21",39228500,39229436,4.66666666666667
"136","chr2",201145378,201149835,8.56666666666667
"137","chr3",119503532,119517315,4.56666666666667
"138","chr13",28256292,28281379,1.43333333333333
"139","chr18",9583117,9595153,6.36666666666667
"140","chr14",103662116,103662927,2.33333333333333
"141","chr15",85113377,85126374,4.03333333333333
"142","chr22",20933779,20934244,13.0666666666667
"143","chr14",71413948,71467247,2.2
"144","chr11",36393846,36403378,5.93333333333333
"145","chr1",1815756,1839238,3.63333333333333
"146","chr16",19463280,19464024,1.86666666666667
"147","chr6",34606555,34646798,3.36666666666667
"148","chr2",95851694,95860074,1.66666666666667
