"","chr","start","end","value"
"1","chr22",40881770,40882177,1.66666666666667
"2","chr12",70278132,70319364,1.56666666666667
"3","chr11",33286413,33287511,71.8666666666667
"4","chr11",117152441,117163892,3.96666666666667
"5","chr6",47574064,47582065,1.66666666666667
"6","chr10",68468123,68470163,7.9
"7","chr7",127373342,127377329,2.26666666666667
"8","chr13",41811225,41819386,2.56666666666667
"9","chr19",41721106,41729291,1.83333333333333
"10","chr4",37631385,37638504,6.53333333333333
"11","chr3",197104903,197119530,6.16666666666667
"12","chr12",120154970,120155719,18.6666666666667
"13","chr13",49451553,49451909,2.06666666666667
"14","chr2",61522611,61533903,29.8333333333333
"15","chr11",74789626,74817714,2.3
"16","chr20",56381433,56384324,6.9
"17","chr8",70213903,70216764,7.23333333333333
"18","chr2",70179532,70181997,2.3
"19","chr2",121757240,121761524,3.16666666666667
"20","chrX",53614534,53615835,4.3
"21","chr2",196912882,196922186,3.03333333333333
"22","chr5",128131067,128141981,5.43333333333333
"23","chr1",22078429,22086866,3.23333333333333
"24","chr5",14741827,14758598,1.7
"25","chr10",84371014,84373815,3.5
"26","chr16",85633914,85634132,8.73333333333333
"27","chr20",17947486,17957037,2.2
"28","chr16",56385919,56389375,1.73333333333333
"29","chr18",9583117,9595102,4.06666666666667
"30","chr1",1804419,1817875,4.2
"31","chr4",150467673,150491035,6.13333333333333
"32","chr1",59900965,59916100,2.06666666666667
"33","chr5",66053406,66054951,3.7
"34","chr4",51863437,51877854,3.53333333333333
"35","chr7",66127704,66134374,4.9
"36","chr13",45151687,45207505,1.76666666666667
"37","chr1",236806144,236816543,3.36666666666667
"38","chr3",158122103,158123991,5
"39","chr21",29326059,29329693,2.36666666666667
"40","chr4",3086939,3107423,5.33333333333333
"41","chr17",49311312,49312845,3.8
"42","chr3",49967470,49975392,3
"43","chr17",61984171,61985090,3.8
"44","chr4",145845956,145849561,2.23333333333333
"45","chr7",74356410,74357477,6.26666666666667
"46","chr13",40826506,40855815,1.56666666666667
"47","chr18",62539681,62550460,4.16666666666667
"48","chr15",49235851,49239367,3.76666666666667
"49","chr10",124681607,124682379,5.9
"50","chr9",5968019,5988545,2.36666666666667
"51","chr3",170359699,170361429,6.73333333333333
"52","chr7",83134250,83135656,2.13333333333333
"53","chr7",155672867,155680908,33.4333333333333
"54","chr7",100819557,100820296,2.56666666666667
"55","chr7",6814764,6823360,3.3
"56","chr16",67628370,67629533,2.16666666666667
"57","chr15",75411492,75413045,1.9
"58","chr20",47276314,47287284,2.13333333333333
"59","chrX",24172715,24179770,4.46666666666667
"60","chr1",114463104,114464388,5.33333333333333
"61","chr2",69337898,69338565,1.66666666666667
"62","chr4",128074460,128077962,3.9
"63","chr14",71400794,71418196,2.13333333333333
"64","chr8",37870420,37877551,6.26666666666667
"65","chr7",27629371,27649633,6.7
"66","chr9",93471141,93476338,11
"67","chr16",84740309,84745673,2.26666666666667
"68","chr7",92294889,92352642,1.5
"69","chr6",47283938,47286595,36.1333333333333
"70","chr2",147972739,147982081,2.8
"71","chr15",49225205,49292537,2.33333333333333
"72","chr19",18537601,18538433,2
"73","chr7",70762870,70771644,2.5
"74","chr13",100301460,100309908,4.33333333333333
